,model_arch,train_type,layer,image,pred
0,cornet_z_sl,imagenet_vggface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04131690/n04131690_8437.JPEG,6.178695429260872e-08
1,cornet_z_sl,imagenet_vggface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000273/0022_01.jpg,5.844185450318199e-08
2,cornet_z_sl,imagenet_vggface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000330/0012_02.jpg,5.716857213673054e-08
3,cornet_z_sl,imagenet_vggface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000629/0514_01.jpg,5.6690263710432474e-08
4,cornet_z_sl,imagenet_vggface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000283/0254_01.jpg,5.642127825585983e-08
5,cornet_z_sl,imagenet_vggface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000533/0036_01.jpg,5.5238195790241745e-08
6,cornet_z_sl,imagenet_vggface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000185/0061_01.jpg,5.368284824046543e-08
7,cornet_z_sl,imagenet_vggface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000353/0038_01.jpg,5.3615548048235175e-08
8,cornet_z_sl,imagenet_vggface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000041/0023_01.jpg,5.355195873357126e-08
9,cornet_z_sl,imagenet_vggface,V2,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04044716/n04044716_13626.JPEG,5.354809804016826e-08
