,model_arch,train_type,layer,image,pred
0,cornet_z_sl,vggface,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03494278/n03494278_15737.JPEG,1.0295706219886391e-07
1,cornet_z_sl,vggface,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03877845/n03877845_13400.JPEG,1.0224444522213652e-07
2,cornet_z_sl,vggface,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000196/0025_01.jpg,1.0166781729590148e-07
3,cornet_z_sl,vggface,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04591157/n04591157_2419.JPEG,1.0070398101992817e-07
4,cornet_z_sl,vggface,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000077/0149_04.jpg,9.998328665081751e-08
5,cornet_z_sl,vggface,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03642806/n03642806_2017.JPEG,9.980595018893498e-08
6,cornet_z_sl,vggface,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04467665/n04467665_51501.JPEG,9.907193804542577e-08
7,cornet_z_sl,vggface,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03788195/n03788195_6342.JPEG,9.88002870700686e-08
8,cornet_z_sl,vggface,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n02909870/n02909870_17627.JPEG,9.86445229737392e-08
9,cornet_z_sl,vggface,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000156/0072_01.jpg,9.838933465159685e-08
