,model_arch,train_type,layer,image,pred
0,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000076/0194_01.jpg,2.720958269191444e-08
1,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03724870/n03724870_20632.JPEG,2.7004472002077252e-08
2,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n02793495/n02793495_20289.JPEG,2.6846821392627986e-08
3,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03642806/n03642806_20086.JPEG,2.6822172420816495e-08
4,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000054/0458_01.jpg,2.61372441193855e-08
5,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03843555/n03843555_4096.JPEG,2.5769523256524092e-08
6,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n06794110/n06794110_2038.JPEG,2.5499545666453547e-08
7,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04562935/n04562935_3606.JPEG,2.5315300332424292e-08
8,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03976657/n03976657_39886.JPEG,2.463794936571265e-08
9,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04086273/n04086273_38108.JPEG,2.4635524734250424e-08
