seed_age,seed_roi,target_age,target_roi,corr
18,lLO,5,lLO,0.492004062818366
18,lLO,6,lLO,0.6315185315764755
18,lLO,7,lLO,0.6829372695544307
18,lFFA,5,lLO,0.44152648589929994
18,lFFA,6,lLO,0.5601886287169964
18,lFFA,7,lLO,0.5855420346435326
18,lOFA,5,lLO,0.4091518739253548
18,lOFA,6,lLO,0.5305853961340388
18,lOFA,7,lLO,0.554942296830743
18,rLO,5,lLO,0.4622570726133088
18,rLO,6,lLO,0.5877053475640319
18,rLO,7,lLO,0.6441420089434593
18,rFFA,5,lLO,0.47281401546537233
18,rFFA,6,lLO,0.5916444628226609
18,rFFA,7,lLO,0.622957398530334
18,rOFA,5,lLO,0.43137996247768434
18,rOFA,6,lLO,0.5546169461217249
18,rOFA,7,lLO,0.5984662357060326
18,lLO,5,lFFA,0.42554261584183256
18,lLO,6,lFFA,0.571500163218423
18,lLO,7,lFFA,0.6162906841424409
18,lFFA,5,lFFA,0.39388864654377503
18,lFFA,6,lFFA,0.52986896882508
18,lFFA,7,lFFA,0.5649621141298248
18,lOFA,5,lFFA,0.3666006286067591
18,lOFA,6,lFFA,0.4985994253733195
18,lOFA,7,lFFA,0.5257193353966054
18,rLO,5,lFFA,0.39722031304096334
18,rLO,6,lFFA,0.5248145207233439
18,rLO,7,lFFA,0.5724715039291253
18,rFFA,5,lFFA,0.42382009938361287
18,rFFA,6,lFFA,0.5568574565295056
18,rFFA,7,lFFA,0.5952891848431912
18,rOFA,5,lFFA,0.37323058867964487
18,rOFA,6,lFFA,0.5018001451888224
18,rOFA,7,lFFA,0.5408238973843873
18,lLO,5,lOFA,0.3683065124256271
18,lLO,6,lOFA,0.5415430381235531
18,lLO,7,lOFA,0.5858585795034553
18,lFFA,5,lOFA,0.34974418968570303
18,lFFA,6,lOFA,0.5045982000023294
18,lFFA,7,lOFA,0.5358745461559673
18,lOFA,5,lOFA,0.3277652512958573
18,lOFA,6,lOFA,0.4873803361330912
18,lOFA,7,lOFA,0.5223341419377752
18,rLO,5,lOFA,0.33828087611179236
18,rLO,6,lOFA,0.49416811358104223
18,rLO,7,lOFA,0.5402641778047504
18,rFFA,5,lOFA,0.3705818717692858
18,rFFA,6,lOFA,0.5328333857630472
18,rFFA,7,lOFA,0.569036599846701
18,rOFA,5,lOFA,0.32383951848010417
18,rOFA,6,lOFA,0.47950990499991525
18,rOFA,7,lOFA,0.5206976488124236
18,lLO,5,rLO,0.45489460006385507
18,lLO,6,rLO,0.6186532324767602
18,lLO,7,rLO,0.6686272052024826
18,lFFA,5,rLO,0.4161542954594228
18,lFFA,6,rLO,0.5451381545073303
18,lFFA,7,rLO,0.575960103247601
18,lOFA,5,rLO,0.3921372993562765
18,lOFA,6,rLO,0.5164467146838435
18,lOFA,7,rLO,0.5459077660349905
18,rLO,5,rLO,0.43330468065373595
18,rLO,6,rLO,0.5990460427319642
18,rLO,7,rLO,0.6549737417710328
18,rFFA,5,rLO,0.45240167090040573
18,rFFA,6,rLO,0.5915868802746147
18,rFFA,7,rLO,0.6241520510582556
18,rOFA,5,rLO,0.4115264797414114
18,rOFA,6,rLO,0.5635890313755983
18,rOFA,7,rLO,0.6084047338598633
18,lLO,5,rFFA,0.4258983715539834
18,lLO,6,rFFA,0.5870023592636657
18,lLO,7,rFFA,0.6286607918590841
18,lFFA,5,rFFA,0.4005693108523015
18,lFFA,6,rFFA,0.5436427385876907
18,lFFA,7,rFFA,0.5722524448697743
18,lOFA,5,rFFA,0.37270737271957266
18,lOFA,6,rFFA,0.5142714398008323
18,lOFA,7,rFFA,0.5426142195720188
18,rLO,5,rFFA,0.3933051082615113
18,rLO,6,rFFA,0.5498635246164801
18,rLO,7,rFFA,0.589941127808575
18,rFFA,5,rFFA,0.43233407928815054
18,rFFA,6,rFFA,0.5830680414998904
18,rFFA,7,rFFA,0.6151099208891057
18,rOFA,5,rFFA,0.37526186571495596
18,rOFA,6,rFFA,0.528186424215405
18,rOFA,7,rFFA,0.5587665994490872
18,lLO,5,rOFA,0.3970815120343084
18,lLO,6,rOFA,0.5805366735744142
18,lLO,7,rOFA,0.6061497174273933
18,lFFA,5,rOFA,0.36931626927880495
18,lFFA,6,rOFA,0.5244831872090611
18,lFFA,7,rOFA,0.5478257370807486
18,lOFA,5,rOFA,0.35376301431924007
18,lOFA,6,rOFA,0.5010159693389019
18,lOFA,7,rOFA,0.5242488864210681
18,rLO,5,rOFA,0.37358031512728906
18,rLO,6,rOFA,0.5570461626909557
18,rLO,7,rOFA,0.5828656867705698
18,rFFA,5,rOFA,0.3999526594966101
18,rFFA,6,rOFA,0.5686778284021986
18,rFFA,7,rOFA,0.5913212210866855
18,rOFA,5,rOFA,0.3649350814105879
18,rOFA,6,rOFA,0.538773905901747
18,rOFA,7,rOFA,0.5616189255366404
