model_arch,train_type,layer,sub,target_age,target_roi,corr
cornet_z_cl,imagenet_noface,aIT,NDARAD615WLJ,6.0,lOFA,0.07111617620516533
cornet_z_cl,imagenet_noface,aIT,NDARAD615WLJ,6.0,rLO,0.1031290363027875
cornet_z_cl,imagenet_noface,aIT,NDARAD615WLJ,6.0,rFFA,0.11901104040155495
cornet_z_cl,imagenet_noface,aIT,NDARAD615WLJ,6.0,rOFA,0.057942360127452464
cornet_z_cl,imagenet_noface,aIT,NDARBL214YLX,6.0,lLO,0.08384079365170495
cornet_z_cl,imagenet_noface,aIT,NDARBL214YLX,6.0,lFFA,0.07063164034118972
cornet_z_cl,imagenet_noface,aIT,NDARBL214YLX,6.0,lOFA,0.06592821129959195
cornet_z_cl,imagenet_noface,aIT,NDARBL214YLX,6.0,rLO,0.10546341617430609
cornet_z_cl,imagenet_noface,aIT,NDARBL214YLX,6.0,rFFA,0.08132996262497937
cornet_z_cl,imagenet_noface,aIT,NDARBL214YLX,6.0,rOFA,0.08300735189049975
cornet_z_cl,imagenet_noface,aIT,NDARCW497XW2,8.0,lLO,0.12362194871205086
cornet_z_cl,imagenet_noface,aIT,NDARCW497XW2,8.0,lFFA,0.07457858658240667
cornet_z_cl,imagenet_noface,aIT,NDARCW497XW2,8.0,lOFA,0.09778938234564437
cornet_z_cl,imagenet_noface,aIT,NDARCW497XW2,8.0,rLO,0.09174725681498744
cornet_z_cl,imagenet_noface,aIT,NDARCW497XW2,8.0,rFFA,0.0953759789500798
cornet_z_cl,imagenet_noface,aIT,NDARCW497XW2,8.0,rOFA,0.0781311729386115
cornet_z_cl,imagenet_noface,aIT,NDARDN393BJH,8.0,lLO,0.10856193122848118
cornet_z_cl,imagenet_noface,aIT,NDARDN393BJH,8.0,lFFA,0.043885164188445756
cornet_z_cl,imagenet_noface,aIT,NDARDN393BJH,8.0,lOFA,0.07830807930758052
cornet_z_cl,imagenet_noface,aIT,NDARDN393BJH,8.0,rLO,0.09231212254591849
cornet_z_cl,imagenet_noface,aIT,NDARDN393BJH,8.0,rFFA,0.09934772016588285
cornet_z_cl,imagenet_noface,aIT,NDARDN393BJH,8.0,rOFA,0.0894198078172144
cornet_z_cl,imagenet_noface,aIT,NDAREF888EVV,6.0,lLO,0.12161114882165482
cornet_z_cl,imagenet_noface,aIT,NDAREF888EVV,6.0,lFFA,0.09974936547056534
cornet_z_cl,imagenet_noface,aIT,NDAREF888EVV,6.0,lOFA,0.09417070794977334
cornet_z_cl,imagenet_noface,aIT,NDAREF888EVV,6.0,rLO,0.09681136777854808
cornet_z_cl,imagenet_noface,aIT,NDAREF888EVV,6.0,rFFA,0.0546773602381728
cornet_z_cl,imagenet_noface,aIT,NDAREF888EVV,6.0,rOFA,0.06160844302182088
cornet_z_cl,imagenet_noface,aIT,NDAREL410HHK,18.0,lLO,0.10610584973157826
cornet_z_cl,imagenet_noface,aIT,NDAREL410HHK,18.0,lFFA,0.09221963525421191
cornet_z_cl,imagenet_noface,aIT,NDAREL410HHK,18.0,lOFA,0.08132982731758452
cornet_z_cl,imagenet_noface,aIT,NDAREL410HHK,18.0,rLO,0.10667350846734217
cornet_z_cl,imagenet_noface,aIT,NDAREL410HHK,18.0,rFFA,0.09593124951931013
cornet_z_cl,imagenet_noface,aIT,NDAREL410HHK,18.0,rOFA,0.086399392596594
cornet_z_cl,imagenet_noface,aIT,NDAREV342ABE,18.0,lLO,0.1188711479806608
cornet_z_cl,imagenet_noface,aIT,NDAREV342ABE,18.0,lFFA,0.06136734222949244
cornet_z_cl,imagenet_noface,aIT,NDAREV342ABE,18.0,lOFA,0.0855417994495368
cornet_z_cl,imagenet_noface,aIT,NDAREV342ABE,18.0,rLO,0.1226246424719415
cornet_z_cl,imagenet_noface,aIT,NDAREV342ABE,18.0,rFFA,0.09160150965003437
cornet_z_cl,imagenet_noface,aIT,NDAREV342ABE,18.0,rOFA,0.1102282573742279
cornet_z_cl,imagenet_noface,aIT,NDAREX336AC1,6.0,lLO,0.08369257218183548
cornet_z_cl,imagenet_noface,aIT,NDAREX336AC1,6.0,lFFA,0.10935912504658221
cornet_z_cl,imagenet_noface,aIT,NDAREX336AC1,6.0,lOFA,0.06320423586223643
cornet_z_cl,imagenet_noface,aIT,NDAREX336AC1,6.0,rLO,0.13258630710278682
cornet_z_cl,imagenet_noface,aIT,NDAREX336AC1,6.0,rFFA,0.10814868042050756
cornet_z_cl,imagenet_noface,aIT,NDAREX336AC1,6.0,rOFA,0.13391512741934783
cornet_z_cl,imagenet_noface,aIT,NDARFE372VHL,8.0,lLO,0.09060229149553956
cornet_z_cl,imagenet_noface,aIT,NDARFE372VHL,8.0,lFFA,0.08637422496089561
cornet_z_cl,imagenet_noface,aIT,NDARFE372VHL,8.0,lOFA,0.07171472521516449
cornet_z_cl,imagenet_noface,aIT,NDARFE372VHL,8.0,rLO,0.11979580695658922
cornet_z_cl,imagenet_noface,aIT,NDARFE372VHL,8.0,rFFA,0.07884320651686062
cornet_z_cl,imagenet_noface,aIT,NDARFE372VHL,8.0,rOFA,0.09174494034468295
