age,roi,corr,seed_age,seed_roi,se
infant,lLO,0.6605263692451914,adult,lLO,0.013722255755644609
infant,lLO,0.5029761994792945,adult,lFFA,0.018359413523374887
infant,lLO,0.7249396995642048,adult,lA1,0.013740377428307122
infant,lLO,0.6000975690158072,adult,rLO,0.016994831152017175
infant,lLO,0.6072640283218476,adult,rFFA,0.014414219132190709
infant,lLO,0.7015531381777129,adult,rA1,0.013144248809156819
infant,lFFA,0.6124813329205162,adult,lLO,0.016252770202380595
infant,lFFA,0.47668743102923367,adult,lFFA,0.018966392411208618
infant,lFFA,0.6735539214044896,adult,lA1,0.013212187000180195
infant,lFFA,0.564957521728077,adult,rLO,0.015183316878147248
infant,lFFA,0.5700313652325104,adult,rFFA,0.015815221567297626
infant,lFFA,0.6566651564814625,adult,rA1,0.014687911465905285
infant,lA1,0.6210401247298133,adult,lLO,0.016181087843261978
infant,lA1,0.49609188360025247,adult,lFFA,0.018525376348048718
infant,lA1,0.6850109082692076,adult,lA1,0.01555425247676355
infant,lA1,0.567515499057693,adult,rLO,0.01714711195265548
infant,lA1,0.5850683789377756,adult,rFFA,0.016330614596116965
infant,lA1,0.671196233513071,adult,rA1,0.015031457543796433
infant,rLO,0.659679525603441,adult,lLO,0.014716116541547645
infant,rLO,0.5112970983665783,adult,lFFA,0.017516069990435347
infant,rLO,0.7319852400606456,adult,lA1,0.011239613292008588
infant,rLO,0.6015025359454077,adult,rLO,0.016167578967212284
infant,rLO,0.6215145750052596,adult,rFFA,0.014123900852802811
infant,rLO,0.7059222978836627,adult,rA1,0.013652111898576923
infant,rFFA,0.6176175993550285,adult,lLO,0.017151149306145596
infant,rFFA,0.48734762246206353,adult,lFFA,0.019356817777864344
infant,rFFA,0.6967445963591085,adult,lA1,0.01122232089979771
infant,rFFA,0.5636548425520369,adult,rLO,0.01675541677507502
infant,rFFA,0.5803664730866307,adult,rFFA,0.015362961389472045
infant,rFFA,0.6703581442254902,adult,rA1,0.014586389232146287
infant,rA1,0.6369298356824302,adult,lLO,0.015587024860313192
infant,rA1,0.5046041059329044,adult,lFFA,0.019253372206834228
infant,rA1,0.7179497752896205,adult,lA1,0.012667487445516308
infant,rA1,0.5810246685669183,adult,rLO,0.01594216596193489
infant,rA1,0.6065451637854121,adult,rFFA,0.01686123290476978
infant,rA1,0.6955802091898421,adult,rA1,0.01227939540344959
