subj,seed_age,seed_roi,target_age,target_roi,corr
NDARLB162XP2,18,lLO,6.456992,lFFA,0.1330990167804016
NDARLB162XP2,18,lLO,6.456992,lOFA,0.12786387615444628
NDARLB162XP2,18,lLO,6.456992,rLO,0.16209143290905914
NDARLB162XP2,18,lLO,6.456992,rFFA,0.15175187018876032
NDARLB162XP2,18,lLO,6.456992,rOFA,0.11997706154829908
NDARLK551KXD,18,lLO,7.916381,lLO,0.2349031968043882
NDARLK551KXD,18,lLO,7.916381,lFFA,0.14923032427305713
NDARLK551KXD,18,lLO,7.916381,lOFA,0.19084564404094553
NDARLK551KXD,18,lLO,7.916381,rLO,0.2350569760791199
NDARLK551KXD,18,lLO,7.916381,rFFA,0.19845037435798424
NDARLK551KXD,18,lLO,7.916381,rOFA,0.16997345641226674
NDARLY125HMB,18,lLO,5.496577,lLO,0.17741312726731504
NDARLY125HMB,18,lLO,5.496577,lFFA,0.13073183236265137
NDARLY125HMB,18,lLO,5.496577,lOFA,0.10449915964898158
NDARLY125HMB,18,lLO,5.496577,rLO,0.1876496411992471
NDARLY125HMB,18,lLO,5.496577,rFFA,0.14989131494345576
NDARLY125HMB,18,lLO,5.496577,rOFA,0.15073391327813435
NDARMV319CAT,18,lLO,20.466575,lLO,0.3871543467888986
NDARMV319CAT,18,lLO,20.466575,lFFA,0.2188172866460041
NDARMV319CAT,18,lLO,20.466575,lOFA,0.19988254936505864
NDARMV319CAT,18,lLO,20.466575,rLO,0.39165171432894347
NDARMV319CAT,18,lLO,20.466575,rFFA,0.2755182367876554
NDARMV319CAT,18,lLO,20.466575,rOFA,0.21942573681072317
NDARMV822KWR,18,lLO,7.483801,lLO,0.2161199585771245
NDARMV822KWR,18,lLO,7.483801,lFFA,0.1209650112587183
NDARMV822KWR,18,lLO,7.483801,lOFA,0.14453000527523063
NDARMV822KWR,18,lLO,7.483801,rLO,0.16900687455257282
NDARMV822KWR,18,lLO,7.483801,rFFA,0.16929411205006745
NDARMV822KWR,18,lLO,7.483801,rOFA,0.12495275981036323
NDARNF359TBZ,18,lLO,6.955852,lLO,0.12829169316522254
NDARNF359TBZ,18,lLO,6.955852,lFFA,0.12685468821050624
NDARNF359TBZ,18,lLO,6.955852,lOFA,0.10931162990285244
NDARNF359TBZ,18,lLO,6.955852,rLO,0.16566057336948486
NDARNF359TBZ,18,lLO,6.955852,rFFA,0.20387159475706854
NDARNF359TBZ,18,lLO,6.955852,rOFA,0.15691471780338556
NDARNT151UN1,18,lLO,6.509012,lLO,0.2044390343171191
NDARNT151UN1,18,lLO,6.509012,lFFA,0.15288766906063658
NDARNT151UN1,18,lLO,6.509012,lOFA,0.1066105600749428
NDARNT151UN1,18,lLO,6.509012,rLO,0.2210352907696304
NDARNT151UN1,18,lLO,6.509012,rFFA,0.17421406704645612
