model_arc,train_type,layer,target_age,target_roi,corr
cornet_z_cl,vggface_oneobject,pIT,7,rLO,-0.34603150515440484
cornet_z_cl,vggface_oneobject,pIT,18,rFFA,-0.23179048905647348
cornet_z_cl,vggface_oneobject,pIT,5,rFFA,-0.25479159190957673
cornet_z_cl,vggface_oneobject,pIT,6,rFFA,-0.3167853017758367
cornet_z_cl,vggface_oneobject,pIT,7,rFFA,-0.33565213627627316
cornet_z_cl,vggface_oneobject,pIT,18,rOFA,-0.21938809978507964
cornet_z_cl,vggface_oneobject,pIT,5,rOFA,-0.24805178492689053
cornet_z_cl,vggface_oneobject,pIT,6,rOFA,-0.32999931938414423
cornet_z_cl,vggface_oneobject,pIT,7,rOFA,-0.35000983797601626
cornet_z_cl,vggface,aIT,18,lLO,-0.2209385525764658
cornet_z_cl,vggface,aIT,5,lLO,-0.2609385935216227
cornet_z_cl,vggface,aIT,6,lLO,-0.3134384921829857
cornet_z_cl,vggface,aIT,7,lLO,-0.3220763708295847
cornet_z_cl,vggface,aIT,18,lFFA,-0.2001610916441431
cornet_z_cl,vggface,aIT,5,lFFA,-0.2234268415340844
cornet_z_cl,vggface,aIT,6,lFFA,-0.2916121028449117
cornet_z_cl,vggface,aIT,7,lFFA,-0.29301893103341997
cornet_z_cl,vggface,aIT,18,lOFA,-0.20570630517876587
cornet_z_cl,vggface,aIT,5,lOFA,-0.19505984595051126
cornet_z_cl,vggface,aIT,6,lOFA,-0.2934664636658339
cornet_z_cl,vggface,aIT,7,lOFA,-0.31600117086875734
cornet_z_cl,vggface,aIT,18,rLO,-0.20927402185213764
cornet_z_cl,vggface,aIT,5,rLO,-0.25655331708618206
cornet_z_cl,vggface,aIT,6,rLO,-0.31536081197720056
cornet_z_cl,vggface,aIT,7,rLO,-0.31998539269370463
cornet_z_cl,vggface,aIT,18,rFFA,-0.21286734719221237
cornet_z_cl,vggface,aIT,5,rFFA,-0.23736439008449317
cornet_z_cl,vggface,aIT,6,rFFA,-0.2900146226237314
cornet_z_cl,vggface,aIT,7,rFFA,-0.308036109365887
cornet_z_cl,vggface,aIT,18,rOFA,-0.20506397529307233
cornet_z_cl,vggface,aIT,5,rOFA,-0.235674191366655
cornet_z_cl,vggface,aIT,6,rOFA,-0.30418156063092616
cornet_z_cl,vggface,aIT,7,rOFA,-0.3229305354076753
cornet_z_cl,vggface,pIT,18,lLO,-0.23048043812993563
cornet_z_cl,vggface,pIT,5,lLO,-0.2766521145763195
cornet_z_cl,vggface,pIT,6,lLO,-0.33586428139196156
cornet_z_cl,vggface,pIT,7,lLO,-0.34445429954021123
cornet_z_cl,vggface,pIT,18,lFFA,-0.20848053314192672
cornet_z_cl,vggface,pIT,5,lFFA,-0.23655433084238622
cornet_z_cl,vggface,pIT,6,lFFA,-0.3163504470722988
cornet_z_cl,vggface,pIT,7,lFFA,-0.31911290795080516
cornet_z_cl,vggface,pIT,18,lOFA,-0.21870411557695815
cornet_z_cl,vggface,pIT,5,lOFA,-0.21143235694216397
cornet_z_cl,vggface,pIT,6,lOFA,-0.3181808121596378
cornet_z_cl,vggface,pIT,7,lOFA,-0.3416999016481323
cornet_z_cl,vggface,pIT,18,rLO,-0.21412498890171042
cornet_z_cl,vggface,pIT,5,rLO,-0.26924568335397314
cornet_z_cl,vggface,pIT,6,rLO,-0.3320993237244119
cornet_z_cl,vggface,pIT,7,rLO,-0.34015054563370384
cornet_z_cl,vggface,pIT,18,rFFA,-0.2232508336529414
cornet_z_cl,vggface,pIT,5,rFFA,-0.2528461309016464
cornet_z_cl,vggface,pIT,6,rFFA,-0.3090032763224021
cornet_z_cl,vggface,pIT,7,rFFA,-0.33025749913280084
cornet_z_cl,vggface,pIT,18,rOFA,-0.21131167932933168
cornet_z_cl,vggface,pIT,5,rOFA,-0.24652334297369066
cornet_z_cl,vggface,pIT,6,rOFA,-0.32351061425220995
cornet_z_cl,vggface,pIT,7,rOFA,-0.3447771027912179
cornet_z_cl,random,aIT,18,lLO,-0.16525276993698995
cornet_z_cl,random,aIT,5,lLO,-0.19453128037265396
cornet_z_cl,random,aIT,6,lLO,-0.24148330600185672
cornet_z_cl,random,aIT,7,lLO,-0.24812539233522843
cornet_z_cl,random,aIT,18,lFFA,-0.14910947230045357
cornet_z_cl,random,aIT,5,lFFA,-0.16858384631270046
cornet_z_cl,random,aIT,6,lFFA,-0.2201491947039926
cornet_z_cl,random,aIT,7,lFFA,-0.22691137679626958
cornet_z_cl,random,aIT,18,lOFA,-0.16129227222972
cornet_z_cl,random,aIT,5,lOFA,-0.1463335042633703
cornet_z_cl,random,aIT,6,lOFA,-0.2245274611090785
cornet_z_cl,random,aIT,7,lOFA,-0.2544606596111119
cornet_z_cl,random,aIT,18,rLO,-0.14684746788610514
cornet_z_cl,random,aIT,5,rLO,-0.1930887291166836
cornet_z_cl,random,aIT,6,rLO,-0.22668123989164188
cornet_z_cl,random,aIT,7,rLO,-0.24340304450842712
cornet_z_cl,random,aIT,18,rFFA,-0.1556806219238762
cornet_z_cl,random,aIT,5,rFFA,-0.1825245874669142
cornet_z_cl,random,aIT,6,rFFA,-0.2159879083528014
cornet_z_cl,random,aIT,7,rFFA,-0.23763420609167454
cornet_z_cl,random,aIT,18,rOFA,-0.14620310336293635
cornet_z_cl,random,aIT,5,rOFA,-0.17254161978216517
cornet_z_cl,random,aIT,6,rOFA,-0.22215098208228812
cornet_z_cl,random,aIT,7,rOFA,-0.24488136756030918
cornet_z_cl,random,pIT,18,lLO,-0.19068643001068353
cornet_z_cl,random,pIT,5,lLO,-0.22207358468761274
cornet_z_cl,random,pIT,6,lLO,-0.27551455995476465
cornet_z_cl,random,pIT,7,lLO,-0.2848133535647989
cornet_z_cl,random,pIT,18,lFFA,-0.17107268577316223
cornet_z_cl,random,pIT,5,lFFA,-0.195302673447011
cornet_z_cl,random,pIT,6,lFFA,-0.2539571061737521
cornet_z_cl,random,pIT,7,lFFA,-0.2622009266310271
cornet_z_cl,random,pIT,18,lOFA,-0.18312651554814627
cornet_z_cl,random,pIT,5,lOFA,-0.16872735576227244
cornet_z_cl,random,pIT,6,lOFA,-0.254715001382487
cornet_z_cl,random,pIT,7,lOFA,-0.28865689147804946
cornet_z_cl,random,pIT,18,rLO,-0.1740898609415485
cornet_z_cl,random,pIT,5,rLO,-0.22009879394853724
cornet_z_cl,random,pIT,6,rLO,-0.261432853430955
cornet_z_cl,random,pIT,7,rLO,-0.28078433742396847
cornet_z_cl,random,pIT,18,rFFA,-0.182978442107328
cornet_z_cl,random,pIT,5,rFFA,-0.2079244355501457
cornet_z_cl,random,pIT,6,rFFA,-0.24780835950213562
cornet_z_cl,random,pIT,7,rFFA,-0.27429868053748313
cornet_z_cl,random,pIT,18,rOFA,-0.17121943631904182
cornet_z_cl,random,pIT,5,rOFA,-0.19774662181390198
cornet_z_cl,random,pIT,6,rOFA,-0.2538248082203169
cornet_z_cl,random,pIT,7,rOFA,-0.2822778751833395
