model_arch,train_type,layer,sub,target_age,target_roi,corr
cornet_z_sl,imagenet_noface,aIT,NDAREG930XPP,8.0,lLO,0.13355477631401008
cornet_z_sl,imagenet_noface,aIT,NDAREG930XPP,8.0,lFFA,0.11501215349971025
cornet_z_sl,imagenet_noface,aIT,NDAREG930XPP,8.0,lOFA,0.09292276727239467
cornet_z_sl,imagenet_noface,aIT,NDAREG930XPP,8.0,rLO,0.12444759465601307
cornet_z_sl,imagenet_noface,aIT,NDAREG930XPP,8.0,rFFA,0.11416554689955165
cornet_z_sl,imagenet_noface,aIT,NDAREG930XPP,8.0,rOFA,0.10880813383186018
cornet_z_sl,imagenet_noface,aIT,NDAREK255DEE,7.0,lLO,0.12986392179843817
cornet_z_sl,imagenet_noface,aIT,NDAREK255DEE,7.0,lFFA,0.07114370978469545
cornet_z_sl,imagenet_noface,aIT,NDAREK255DEE,7.0,lOFA,0.08275358330233996
cornet_z_sl,imagenet_noface,aIT,NDAREK255DEE,7.0,rLO,0.11704194956160388
cornet_z_sl,imagenet_noface,aIT,NDAREK255DEE,7.0,rFFA,0.07964756232266827
cornet_z_sl,imagenet_noface,aIT,NDAREK255DEE,7.0,rOFA,0.0736300573769099
cornet_z_sl,imagenet_noface,aIT,NDARKG460MWV,7.0,lLO,0.14792359995977636
cornet_z_sl,imagenet_noface,aIT,NDARKG460MWV,7.0,lFFA,0.11001627003473044
cornet_z_sl,imagenet_noface,aIT,NDARKG460MWV,7.0,lOFA,0.10462965827465338
cornet_z_sl,imagenet_noface,aIT,NDARKG460MWV,7.0,rLO,0.1917473581783889
cornet_z_sl,imagenet_noface,aIT,NDARKG460MWV,7.0,rFFA,0.15643526271618696
cornet_z_sl,imagenet_noface,aIT,NDARKG460MWV,7.0,rOFA,0.16746518610494557
cornet_z_sl,imagenet_noface,aIT,NDARAC857HDB,7.0,lLO,0.14339825342829388
cornet_z_sl,imagenet_noface,aIT,NDARAC857HDB,7.0,lFFA,0.08887195832206081
cornet_z_sl,imagenet_noface,aIT,NDARAC857HDB,7.0,lOFA,0.10607607984796359
cornet_z_sl,imagenet_noface,aIT,NDARAC857HDB,7.0,rLO,0.14721744291244795
cornet_z_sl,imagenet_noface,aIT,NDARAC857HDB,7.0,rFFA,0.14404350492694468
cornet_z_sl,imagenet_noface,aIT,NDARAC857HDB,7.0,rOFA,0.1254878460284832
cornet_z_sl,imagenet_noface,aIT,NDARAD615WLJ,6.0,lLO,0.1454482450790089
cornet_z_sl,imagenet_noface,aIT,NDARAD615WLJ,6.0,lFFA,0.1238697110346515
cornet_z_sl,imagenet_noface,aIT,NDARAD615WLJ,6.0,lOFA,0.09607098297596967
cornet_z_sl,imagenet_noface,aIT,NDARAD615WLJ,6.0,rLO,0.1319761509928166
cornet_z_sl,imagenet_noface,aIT,NDARAD615WLJ,6.0,rFFA,0.1457754121477693
cornet_z_sl,imagenet_noface,aIT,NDARAD615WLJ,6.0,rOFA,0.07040238902036454
cornet_z_sl,imagenet_noface,aIT,NDARBL214YLX,6.0,lLO,0.1025018176053416
cornet_z_sl,imagenet_noface,aIT,NDARBL214YLX,6.0,lFFA,0.08708076156389183
cornet_z_sl,imagenet_noface,aIT,NDARBL214YLX,6.0,lOFA,0.08280045282413703
cornet_z_sl,imagenet_noface,aIT,NDARBL214YLX,6.0,rLO,0.11585448883262059
cornet_z_sl,imagenet_noface,aIT,NDARBL214YLX,6.0,rFFA,0.093646686223471
cornet_z_sl,imagenet_noface,aIT,NDARBL214YLX,6.0,rOFA,0.09730333068003064
cornet_z_sl,imagenet_noface,aIT,NDARCW497XW2,8.0,lLO,0.14311295654118542
cornet_z_sl,imagenet_noface,aIT,NDARCW497XW2,8.0,lFFA,0.09625127938950984
cornet_z_sl,imagenet_noface,aIT,NDARCW497XW2,8.0,lOFA,0.11304065194824044
cornet_z_sl,imagenet_noface,aIT,NDARCW497XW2,8.0,rLO,0.10217977350273871
cornet_z_sl,imagenet_noface,aIT,NDARCW497XW2,8.0,rFFA,0.1091113005922809
cornet_z_sl,imagenet_noface,aIT,NDARCW497XW2,8.0,rOFA,0.09089379477055602
cornet_z_sl,imagenet_noface,aIT,NDARDN393BJH,8.0,lLO,0.14426609450886294
cornet_z_sl,imagenet_noface,aIT,NDARDN393BJH,8.0,lFFA,0.06110864105575267
cornet_z_sl,imagenet_noface,aIT,NDARDN393BJH,8.0,lOFA,0.10195507533265463
cornet_z_sl,imagenet_noface,aIT,NDARDN393BJH,8.0,rLO,0.12650451648476907
cornet_z_sl,imagenet_noface,aIT,NDARDN393BJH,8.0,rFFA,0.12339248214576923
cornet_z_sl,imagenet_noface,aIT,NDARDN393BJH,8.0,rOFA,0.1218512114023356
cornet_z_sl,imagenet_noface,aIT,NDAREF888EVV,6.0,lLO,0.14081146486545468
cornet_z_sl,imagenet_noface,aIT,NDAREF888EVV,6.0,lFFA,0.10513568816484652
cornet_z_sl,imagenet_noface,aIT,NDAREF888EVV,6.0,lOFA,0.10630170282129611
cornet_z_sl,imagenet_noface,aIT,NDAREF888EVV,6.0,rLO,0.1164757333300386
cornet_z_sl,imagenet_noface,aIT,NDAREF888EVV,6.0,rFFA,0.0728200124936094
cornet_z_sl,imagenet_noface,aIT,NDAREF888EVV,6.0,rOFA,0.07836394518439029
cornet_z_sl,imagenet_noface,aIT,NDAREL410HHK,18.0,lLO,0.12549503578784146
cornet_z_sl,imagenet_noface,aIT,NDAREL410HHK,18.0,lFFA,0.11360088598631005
cornet_z_sl,imagenet_noface,aIT,NDAREL410HHK,18.0,lOFA,0.10255024966380713
cornet_z_sl,imagenet_noface,aIT,NDAREL410HHK,18.0,rLO,0.1291150993329904
cornet_z_sl,imagenet_noface,aIT,NDAREL410HHK,18.0,rFFA,0.10759784691521102
cornet_z_sl,imagenet_noface,aIT,NDAREL410HHK,18.0,rOFA,0.10936872917375219
cornet_z_sl,imagenet_noface,aIT,NDAREV342ABE,18.0,lLO,0.15346933029400234
cornet_z_sl,imagenet_noface,aIT,NDAREV342ABE,18.0,lFFA,0.0794527073157425
cornet_z_sl,imagenet_noface,aIT,NDAREV342ABE,18.0,lOFA,0.11396540958140365
cornet_z_sl,imagenet_noface,aIT,NDAREV342ABE,18.0,rLO,0.15519307239589586
cornet_z_sl,imagenet_noface,aIT,NDAREV342ABE,18.0,rFFA,0.11534359740388707
cornet_z_sl,imagenet_noface,aIT,NDAREV342ABE,18.0,rOFA,0.14208619900152888
cornet_z_sl,imagenet_noface,aIT,NDAREX336AC1,6.0,lLO,0.12827244057490392
cornet_z_sl,imagenet_noface,aIT,NDAREX336AC1,6.0,lFFA,0.14062821749476193
cornet_z_sl,imagenet_noface,aIT,NDAREX336AC1,6.0,lOFA,0.10504484799478925
cornet_z_sl,imagenet_noface,aIT,NDAREX336AC1,6.0,rLO,0.1605798588933681
cornet_z_sl,imagenet_noface,aIT,NDAREX336AC1,6.0,rFFA,0.13444917073224089
cornet_z_sl,imagenet_noface,aIT,NDAREX336AC1,6.0,rOFA,0.14937255377364864
cornet_z_sl,imagenet_noface,aIT,NDARFE372VHL,8.0,lLO,0.11883712221258153
cornet_z_sl,imagenet_noface,aIT,NDARFE372VHL,8.0,lFFA,0.11839174326688313
cornet_z_sl,imagenet_noface,aIT,NDARFE372VHL,8.0,lOFA,0.09848247093187742
cornet_z_sl,imagenet_noface,aIT,NDARFE372VHL,8.0,rLO,0.15460252801854713
cornet_z_sl,imagenet_noface,aIT,NDARFE372VHL,8.0,rFFA,0.10848442127510652
cornet_z_sl,imagenet_noface,aIT,NDARFE372VHL,8.0,rOFA,0.12313062319615797
cornet_z_sl,imagenet_noface,aIT,NDARFM749LF3,8.0,lLO,0.1250785483506056
cornet_z_sl,imagenet_noface,aIT,NDARFM749LF3,8.0,lFFA,0.07051288533793289
cornet_z_sl,imagenet_noface,aIT,NDARFM749LF3,8.0,lOFA,0.07088674268102156
cornet_z_sl,imagenet_noface,aIT,NDARFM749LF3,8.0,rLO,0.11343328697368744
