age,roi,corr,architecture,train_type,layer,se
infant,lLO,0.6023807772332698,cornet_z_sl,imagenet_noface,aIT,0.022532442842121535
adult,lLO,0.503414673779578,cornet_z_sl,imagenet_noface,aIT,0.02584314201855722
infant,lFFA,0.5478098911233844,cornet_z_sl,imagenet_noface,aIT,0.026231101022732087
adult,lFFA,0.37022502400138435,cornet_z_sl,imagenet_noface,aIT,0.02260591866232619
infant,lA1,0.595258747261639,cornet_z_sl,imagenet_noface,aIT,0.02626321150787363
adult,lA1,0.5182598262393212,cornet_z_sl,imagenet_noface,aIT,0.024740815745730758
infant,rLO,0.5942152203320905,cornet_z_sl,imagenet_noface,aIT,0.02366740579016313
adult,rLO,0.4663013120457358,cornet_z_sl,imagenet_noface,aIT,0.024696401719370004
infant,rFFA,0.5706094095294976,cornet_z_sl,imagenet_noface,aIT,0.02655520925279958
adult,rFFA,0.39629920893543996,cornet_z_sl,imagenet_noface,aIT,0.021052860102705684
infant,rA1,0.5902671840071213,cornet_z_sl,imagenet_noface,aIT,0.02520726249684373
adult,rA1,0.5040192367201601,cornet_z_sl,imagenet_noface,aIT,0.029272940322142137
infant,lLO,0.6000216627965079,cornet_z_sl,imagenet_oneface,aIT,0.022579239564085828
adult,lLO,0.5127973520595444,cornet_z_sl,imagenet_oneface,aIT,0.023310555130888803
infant,lFFA,0.5461120755081823,cornet_z_sl,imagenet_oneface,aIT,0.022460994111656814
adult,lFFA,0.38145406034214296,cornet_z_sl,imagenet_oneface,aIT,0.023705681906830686
infant,lA1,0.5884673261018686,cornet_z_sl,imagenet_oneface,aIT,0.02328855458601782
adult,lA1,0.5258383124845911,cornet_z_sl,imagenet_oneface,aIT,0.0245753252581666
infant,rLO,0.5938470370428386,cornet_z_sl,imagenet_oneface,aIT,0.023038653717778794
adult,rLO,0.4758667245544015,cornet_z_sl,imagenet_oneface,aIT,0.022279512944261195
infant,rFFA,0.5700959375518114,cornet_z_sl,imagenet_oneface,aIT,0.027562198061301186
adult,rFFA,0.4113373277263042,cornet_z_sl,imagenet_oneface,aIT,0.0247654321861142
infant,rA1,0.5870542675704056,cornet_z_sl,imagenet_oneface,aIT,0.02584051147377494
adult,rA1,0.5146729751071395,cornet_z_sl,imagenet_oneface,aIT,0.021507613600986915
infant,lLO,0.5979847677224646,cornet_z_sl,imagenet_vggface,aIT,0.020371811736392437
adult,lLO,0.5102582053540107,cornet_z_sl,imagenet_vggface,aIT,0.022641962753610665
infant,lFFA,0.5439687405249637,cornet_z_sl,imagenet_vggface,aIT,0.02166410148073336
adult,lFFA,0.3737333413578695,cornet_z_sl,imagenet_vggface,aIT,0.025190989189694594
infant,lA1,0.5919694135426418,cornet_z_sl,imagenet_vggface,aIT,0.02637167603616814
adult,lA1,0.5221571139603397,cornet_z_sl,imagenet_vggface,aIT,0.024008779383380793
infant,rLO,0.5975522126912973,cornet_z_sl,imagenet_vggface,aIT,0.022581289090501677
adult,rLO,0.46721075840350523,cornet_z_sl,imagenet_vggface,aIT,0.02443327320706005
