,seed_age,target_age,seed_roi,target_roi,age_cond,roi_cond,isc_mean,isc_se
196,infant,adult,lLOC,lLOC,between,within,-0.061977733070384074,0.16474151853893865
197,infant,adult,lLOC,lFFA,between,between,0.029692035438174235,0.18312798927626625
198,infant,adult,lLOC,lA1,between,between,0.11472030636562076,0.1517357837583478
199,infant,adult,lLOC,lEVC,between,between,0.07020854137633543,0.11445548852138236
200,infant,adult,lLOC,rLOC,between,between,-0.022158885222369917,0.18782081495428918
201,infant,adult,lLOC,rFFA,between,between,0.01511668849310769,0.14426221524334507
202,infant,adult,lLOC,rA1,between,between,0.09579677424647258,0.14554253667189396
203,infant,adult,lLOC,rEVC,between,between,0.0971760164059929,0.13437654016025924
204,infant,adult,lFFA,LOC,between,between,-0.08019903901349851,0.16911488590450477
205,infant,adult,lFFA,FFA,between,between,0.030087101437911212,0.14639366087973676
206,infant,adult,lFFA,A1,between,between,0.10845554273035789,0.12891011129497323
207,infant,adult,lFFA,EVC,between,between,-0.03474997400654221,0.0944446393349345
208,infant,adult,lFFA,lLOC,between,between,-0.09747138240070741,0.15562180062125405
209,infant,adult,lFFA,lFFA,between,within,0.028322909456426126,0.15983778380621072
210,infant,adult,lFFA,lA1,between,between,0.11091008240868812,0.13651576960080095
211,infant,adult,lFFA,lEVC,between,between,-0.042745440055436894,0.0857649981411203
212,infant,adult,lFFA,rLOC,between,between,-0.06008826514404497,0.18229803827576885
213,infant,adult,lFFA,rFFA,between,between,0.02440079697772149,0.13339488807372593
214,infant,adult,lFFA,rA1,between,between,0.09038739365603975,0.11970344393991411
215,infant,adult,lFFA,rEVC,between,between,-0.023130941505287893,0.10120931078338158
216,infant,adult,lA1,LOC,between,between,0.08833986739980691,0.12140946277432467
217,infant,adult,lA1,FFA,between,between,0.028078425422716005,0.12933584725886438
218,infant,adult,lA1,A1,between,between,-0.15441763136098208,0.14638583050767304
219,infant,adult,lA1,EVC,between,between,0.020258045815967577,0.09614308516946718
220,infant,adult,lA1,lLOC,between,between,0.10541127438694577,0.12240256652132553
221,infant,adult,lA1,lFFA,between,between,0.027402495491107143,0.1376611226516884
222,infant,adult,lA1,lA1,between,within,-0.15196383282052248,0.15121404524079132
223,infant,adult,lA1,lEVC,between,between,0.050724042137465196,0.09941186019938178
224,infant,adult,lA1,rLOC,between,between,0.06708928639612026,0.13751290923822942
225,infant,adult,lA1,rFFA,between,between,0.025557176764498316,0.11636881648140147
226,infant,adult,lA1,rA1,between,between,-0.13487731941783712,0.14761612700375706
227,infant,adult,lA1,rEVC,between,between,-0.011622614323436496,0.1030551768278309
228,infant,adult,lEVC,LOC,between,between,-0.013564884873225387,0.1705033272560648
229,infant,adult,lEVC,FFA,between,between,0.07958294220814686,0.1820501095789247
230,infant,adult,lEVC,A1,between,between,0.11264674660542641,0.1464997716141782
231,infant,adult,lEVC,EVC,between,between,0.22622643018711772,0.1470760976994603
232,infant,adult,lEVC,lLOC,between,between,-0.03863144562899375,0.14961133776649738
233,infant,adult,lEVC,lFFA,between,between,0.07102740098617381,0.20067965308121774
234,infant,adult,lEVC,lA1,between,between,0.10229318088592869,0.1449877484162747
235,infant,adult,lEVC,lEVC,between,within,0.20767488108780116,0.13741355417880483
236,infant,adult,lEVC,rLOC,between,between,0.00428043601417081,0.1906958973122267
237,infant,adult,lEVC,rFFA,between,between,0.07235512710449993,0.14950627889692705
238,infant,adult,lEVC,rA1,between,between,0.10759464020372732,0.14276646326615036
239,infant,adult,lEVC,rEVC,between,between,0.22633062475862128,0.1542134817711146
240,infant,adult,rLOC,LOC,between,between,-0.03854959672024456,0.1502174443473096
241,infant,adult,rLOC,FFA,between,between,0.05341742836366443,0.1658665865233759
242,infant,adult,rLOC,A1,between,between,0.06969020811619155,0.1440116219652768
243,infant,adult,rLOC,EVC,between,between,0.10820461943748094,0.11577630885920556
244,infant,adult,rLOC,lLOC,between,between,-0.05262603078196001,0.14971360020707916
245,infant,adult,rLOC,lFFA,between,between,0.047998126717727095,0.16651137305581235
246,infant,adult,rLOC,lA1,between,between,0.06407020357935019,0.13940810895158157
247,infant,adult,rLOC,lEVC,between,between,0.08624579181301854,0.11188674519925085
248,infant,adult,rLOC,rLOC,between,within,-0.02842404398935158,0.15786665849274945
249,infant,adult,rLOC,rFFA,between,between,0.04672596938364559,0.15447944480712375
250,infant,adult,rLOC,rA1,between,between,0.06422550236688207,0.1424247482476261
251,infant,adult,rLOC,rEVC,between,between,0.12110290156084934,0.11889737084053499
252,infant,adult,rFFA,LOC,between,between,-0.10985304245673304,0.1784137992755163
253,infant,adult,rFFA,FFA,between,between,0.003806057062807675,0.1659537453364493
254,infant,adult,rFFA,A1,between,between,0.15764420250634104,0.16077105186137694
255,infant,adult,rFFA,EVC,between,between,-0.010059248584324698,0.1323437027584973
256,infant,adult,rFFA,lLOC,between,between,-0.1338945811421731,0.15858700870624973
257,infant,adult,rFFA,lFFA,between,between,-0.020417021107022287,0.16673775483122108
258,infant,adult,rFFA,lA1,between,between,0.14251972007229619,0.1661983246226467
259,infant,adult,rFFA,lEVC,between,between,-0.02870523025334593,0.12217383498713157
260,infant,adult,rFFA,rLOC,between,between,-0.08440888093326022,0.19742616758545709
261,infant,adult,rFFA,rFFA,between,within,0.0173952890303956,0.15457739261729855
262,infant,adult,rFFA,rA1,between,between,0.14979205673149013,0.14505441865974097
263,infant,adult,rFFA,rEVC,between,between,0.009096250960909616,0.1395271271734568
264,infant,adult,rA1,LOC,between,between,0.07062894631417314,0.08882374606194267
265,infant,adult,rA1,FFA,between,between,0.020548765372879706,0.08696363602293944
266,infant,adult,rA1,A1,between,between,-0.07727553380283156,0.10951770752870031
267,infant,adult,rA1,EVC,between,between,0.0837379019087227,0.09779974185876127
268,infant,adult,rA1,lLOC,between,between,0.047609399635380474,0.08718929121608898
269,infant,adult,rA1,lFFA,between,between,0.013888960695391944,0.08377161434520132
270,infant,adult,rA1,lA1,between,between,-0.0850025846313221,0.11497415776151058
271,infant,adult,rA1,lEVC,between,between,0.10073588230261554,0.08298411940963274
272,infant,adult,rA1,rLOC,between,between,0.08202709107572874,0.10604737941228812
273,infant,adult,rA1,rFFA,between,between,0.021564179670857442,0.09337662064497503
274,infant,adult,rA1,rA1,between,within,-0.05889412707311261,0.10549214535956936
275,infant,adult,rA1,rEVC,between,between,0.06038794839013865,0.11579972027516255
276,infant,adult,rEVC,LOC,between,between,-0.00201450425186148,0.15404548331983173
277,infant,adult,rEVC,FFA,between,between,0.08522994724889117,0.16767153516628383
278,infant,adult,rEVC,A1,between,between,0.10068612223472186,0.14744075415277602
279,infant,adult,rEVC,EVC,between,between,0.23454726055809652,0.14622609659980046
280,infant,adult,rEVC,lLOC,between,between,-0.020553645724049486,0.13874317837617564
281,infant,adult,rEVC,lFFA,between,between,0.07777977048150735,0.18728519415005102
282,infant,adult,rEVC,lA1,between,between,0.0868260791987972,0.14564657637794318
283,infant,adult,rEVC,lEVC,between,between,0.20460003840648688,0.13850688763516575
284,infant,adult,rEVC,rLOC,between,between,0.009487843764193446,0.17009439916459296
285,infant,adult,rEVC,rFFA,between,between,0.07693525349897105,0.13679018806681653
286,infant,adult,rEVC,rA1,between,between,0.1004379028784539,0.1445711507869521
287,infant,adult,rEVC,rEVC,between,within,0.24504688114946402,0.15258363978665115
288,adult,infant,LOC,LOC,between,within,-0.019157536209947455,0.15916378639557988
289,adult,infant,LOC,FFA,between,between,-0.05438611851585919,0.1883213267876905
290,adult,infant,LOC,A1,between,between,0.03719897592120996,0.14729983775034314
291,adult,infant,LOC,EVC,between,between,-0.0016871277876271084,0.1523952034427953
292,adult,infant,LOC,lLOC,between,between,-0.0084745734359895,0.13758421527274087
293,adult,infant,LOC,lFFA,between,between,-0.0388661184556602,0.16948176293022144
294,adult,infant,LOC,lA1,between,between,0.03968807105874766,0.12649832322561896
295,adult,infant,LOC,lEVC,between,between,-0.003550601606544078,0.15232690804536722
296,adult,infant,LOC,rLOC,between,between,-0.026697745900880504,0.16495090530811088
297,adult,infant,LOC,rFFA,between,between,-0.05388903335372783,0.18533646364255324
298,adult,infant,LOC,rA1,between,between,0.030106205303074052,0.15758634365387253
299,adult,infant,LOC,rEVC,between,between,0.0012898633545348388,0.15493478029708804
300,adult,infant,FFA,LOC,between,between,0.025305317933838407,0.16515822956754975
301,adult,infant,FFA,FFA,between,within,0.0007198435888843002,0.14037474298184702
302,adult,infant,FFA,A1,between,between,0.006850342825757559,0.15424306287058756
303,adult,infant,FFA,EVC,between,between,0.059339067011521474,0.16143020884136558
304,adult,infant,FFA,lLOC,between,between,0.019720673843452014,0.13222173098193357
305,adult,infant,FFA,lFFA,between,between,0.008854011890458166,0.11839675248011428
306,adult,infant,FFA,lA1,between,between,0.011233169248477457,0.14167268733991722
307,adult,infant,FFA,lEVC,between,between,0.0537677153644461,0.15025671444410782
308,adult,infant,FFA,rLOC,between,between,0.017623115937582964,0.1747858184559194
309,adult,infant,FFA,rFFA,between,between,-0.004309623412068237,0.14475051516160253
310,adult,infant,FFA,rA1,between,between,0.0038521992174445027,0.13713692282687276
311,adult,infant,FFA,rEVC,between,between,0.061179367029541694,0.17319698662441302
312,adult,infant,A1,LOC,between,between,0.05889559460677398,0.15466533327902304
313,adult,infant,A1,FFA,between,between,0.09712678004252306,0.146750319471408
314,adult,infant,A1,A1,between,within,-0.07552808170609097,0.14242366916835428
315,adult,infant,A1,EVC,between,between,0.09057867206449145,0.17779193710555294
316,adult,infant,A1,lLOC,between,between,0.0711899579168888,0.13517890858980972
317,adult,infant,A1,lFFA,between,between,0.06260150845157897,0.15358833360561125
318,adult,infant,A1,lA1,between,between,-0.08538152873889532,0.1654435489084335
319,adult,infant,A1,lEVC,between,between,0.09039458888777978,0.17381878998214104
320,adult,infant,A1,rLOC,between,between,0.04657652063241941,0.17180291791018676
321,adult,infant,A1,rFFA,between,between,0.09930724138982522,0.1679897403263656
322,adult,infant,A1,rA1,between,between,-0.04635761104286087,0.13956557924135415
323,adult,infant,A1,rEVC,between,between,0.08280491772367769,0.18291063394995097
324,adult,infant,EVC,LOC,between,between,0.039586174714253554,0.11819142972686154
325,adult,infant,EVC,FFA,between,between,-0.010747709651304824,0.13987859215123824
326,adult,infant,EVC,A1,between,between,0.02062569783315007,0.16190516359191265
327,adult,infant,EVC,EVC,between,within,0.1242564569001986,0.1450925375199051
328,adult,infant,EVC,lLOC,between,between,0.03523046467769037,0.12651610282645862
329,adult,infant,EVC,lFFA,between,between,-0.013548533986227055,0.144700846175037
330,adult,infant,EVC,lA1,between,between,0.013293844357400853,0.14287509816385113
331,adult,infant,EVC,lEVC,between,between,0.11938849549588348,0.16469858227429923
332,adult,infant,EVC,rLOC,between,between,0.0401321249454769,0.1142564799992662
333,adult,infant,EVC,rFFA,between,between,-0.008286524085332205,0.12614507288447807
334,adult,infant,EVC,rA1,between,between,0.02948028599883618,0.1733867992840693
335,adult,infant,EVC,rEVC,between,between,0.1257572565535259,0.14108973383194856
336,adult,infant,lLOC,LOC,between,between,-0.029857273813292687,0.15946511980354286
337,adult,infant,lLOC,FFA,between,between,-0.06547186528832283,0.19778849034003335
338,adult,infant,lLOC,A1,between,between,0.03670130120260685,0.14518582617292472
339,adult,infant,lLOC,EVC,between,between,-0.015873341192056432,0.15492902194468133
340,adult,infant,lLOC,lLOC,between,within,-0.019236736900263406,0.14471527289169123
341,adult,infant,lLOC,lFFA,between,between,-0.04749170120325432,0.16822141556760298
342,adult,infant,lLOC,lA1,between,between,0.04577473100730683,0.13484352721687176
343,adult,infant,lLOC,lEVC,between,between,-0.018741057186307346,0.15595627407535434
344,adult,infant,lLOC,rLOC,between,between,-0.03507790679080586,0.16341226031385417
345,adult,infant,lLOC,rFFA,between,between,-0.06446153408666117,0.19478540852810028
346,adult,infant,lLOC,rA1,between,between,0.021272732303687838,0.1572553090931991
347,adult,infant,lLOC,rEVC,between,between,-0.010751398774214637,0.15581745596672383
348,adult,infant,lFFA,LOC,between,between,0.023474012552150092,0.16569464019887484
349,adult,infant,lFFA,FFA,between,between,-0.011247168906348186,0.15485291324343198
350,adult,infant,lFFA,A1,between,between,0.0058124793062237405,0.15877836305026385
351,adult,infant,lFFA,EVC,between,between,0.05252748106647756,0.15995339715859652
352,adult,infant,lFFA,lLOC,between,between,0.02340243833078053,0.1373528320782189
353,adult,infant,lFFA,lFFA,between,within,0.005795166498222985,0.12549788448668434
