seed_age,target_age,seed_roi,target_roi,age_cond,roi_cond,isc_mean,isc_se
infant,infant,LOC,LOC,within,within,0.8216883878207962,0.027641808233709896
infant,infant,LOC,FFA,within,between,0.8190755433735637,0.030773768836243554
infant,infant,LOC,A1,within,between,0.7280688605738606,0.029679742381762523
infant,infant,LOC,EVC,within,between,0.8038576858485236,0.0556349724609546
infant,infant,LOC,lLOC,within,between,0.797018078166308,0.04001657933419254
infant,infant,LOC,lFFA,within,between,0.7818039361179876,0.0335094339687039
infant,infant,LOC,lA1,within,between,0.6318132853712234,0.07022662093009853
infant,infant,LOC,lEVC,within,between,0.7963908138123014,0.03737243437333239
infant,infant,LOC,rLOC,within,between,0.8147484915063602,0.034737117280696866
infant,infant,LOC,rFFA,within,between,0.8067879244208616,0.035152582583814054
infant,infant,LOC,rA1,within,between,0.703272875016021,0.04850329252570667
infant,infant,LOC,rEVC,within,between,0.8320945404211457,0.032627561828886105
infant,infant,FFA,LOC,within,between,0.8109415530854577,0.03333404274674368
infant,infant,FFA,FFA,within,within,0.8040273710575457,0.0429044846623542
infant,infant,FFA,A1,within,between,0.7112073929249444,0.03803542968504282
infant,infant,FFA,EVC,within,between,0.7990417805219376,0.03522496999746935
infant,infant,FFA,lLOC,within,between,0.7911457378913798,0.032273139928068614
infant,infant,FFA,lFFA,within,between,0.7625101128596011,0.03154697950144624
infant,infant,FFA,lA1,within,between,0.5913884013417696,0.06714453055069804
infant,infant,FFA,lEVC,within,between,0.7791794765827963,0.046014155012257876
infant,infant,FFA,rLOC,within,between,0.8002472319659361,0.0340707902203183
infant,infant,FFA,rFFA,within,between,0.7985497194997991,0.029660442145552815
infant,infant,FFA,rA1,within,between,0.672679581342145,0.03566578455039681
infant,infant,FFA,rEVC,within,between,0.7892780622406491,0.031721954609182174
infant,infant,A1,LOC,within,between,0.7153574010250395,0.0424152631478214
infant,infant,A1,FFA,within,between,0.7102952196698132,0.035351174238565465
infant,infant,A1,A1,within,within,0.6666326044705283,0.04430746916670967
infant,infant,A1,EVC,within,between,0.6846979613316213,0.05160558081710908
infant,infant,A1,lLOC,within,between,0.680792727262836,0.03371314970427285
infant,infant,A1,lFFA,within,between,0.6756883492498877,0.04128426321732585
infant,infant,A1,lA1,within,between,0.588682369725278,0.05571513953973523
infant,infant,A1,lEVC,within,between,0.6594015113299831,0.04781777160532272
infant,infant,A1,rLOC,within,between,0.7044943398832624,0.059903715816738354
infant,infant,A1,rFFA,within,between,0.6754673933183323,0.052982346978081886
infant,infant,A1,rA1,within,between,0.6348049294075124,0.05391935374628071
infant,infant,A1,rEVC,within,between,0.6954178872787108,0.05507328555668458
infant,infant,EVC,LOC,within,between,0.7950589021129614,0.03652581323323937
infant,infant,EVC,FFA,within,between,0.7986612095644411,0.03464427444600217
infant,infant,EVC,A1,within,between,0.6988207560537324,0.050915808314839404
infant,infant,EVC,EVC,within,within,0.8099448866752746,0.029692159127089335
infant,infant,EVC,lLOC,within,between,0.7766304641891807,0.04581614722144283
infant,infant,EVC,lFFA,within,between,0.737298755164509,0.0394798096055581
infant,infant,EVC,lA1,within,between,0.5798988838217879,0.04991158323140807
infant,infant,EVC,lEVC,within,between,0.7867570642905757,0.03792939390478993
infant,infant,EVC,rLOC,within,between,0.8090466109926355,0.030603559329682454
infant,infant,EVC,rFFA,within,between,0.7963499154076702,0.037816562741142486
infant,infant,EVC,rA1,within,between,0.6468755681242956,0.045644186314493525
infant,infant,EVC,rEVC,within,between,0.8028263338806546,0.03129011957820838
infant,infant,lLOC,LOC,within,between,0.8156264629431439,0.038708704755288446
infant,infant,lLOC,FFA,within,between,0.8166275048391706,0.03936548865238962
infant,infant,lLOC,A1,within,between,0.6977199937104689,0.03800143344343311
infant,infant,lLOC,EVC,within,between,0.7986564324365908,0.034425472729951036
infant,infant,lLOC,lLOC,within,within,0.7564837768815416,0.05111263453114304
infant,infant,lLOC,lFFA,within,between,0.751771895523874,0.05155308540664584
infant,infant,lLOC,lA1,within,between,0.6088462623728363,0.05692675164604085
infant,infant,lLOC,lEVC,within,between,0.7682494661869302,0.04490020845573111
infant,infant,lLOC,rLOC,within,between,0.7802177467680647,0.0626986221292957
infant,infant,lLOC,rFFA,within,between,0.77342413575577,0.03959226892070647
infant,infant,lLOC,rA1,within,between,0.6453753711601019,0.05904960278286856
infant,infant,lLOC,rEVC,within,between,0.7819691385480553,0.03849091314509376
infant,infant,lFFA,LOC,within,between,0.7621145803292172,0.052500765882335335
infant,infant,lFFA,FFA,within,between,0.7545141563574762,0.04369293561317292
infant,infant,lFFA,A1,within,between,0.7087131619427565,0.03587122009886099
infant,infant,lFFA,EVC,within,between,0.730962363545396,0.029585353238239027
infant,infant,lFFA,lLOC,within,between,0.7313492171665601,0.056699252876991006
infant,infant,lFFA,lFFA,within,within,0.6951778535972227,0.0415782533136939
infant,infant,lFFA,lA1,within,between,0.600786139669656,0.05922224875390011
infant,infant,lFFA,lEVC,within,between,0.7013668911149787,0.04822003018972669
infant,infant,lFFA,rLOC,within,between,0.7541884213057198,0.0509084232718921
infant,infant,lFFA,rFFA,within,between,0.7529977565026048,0.03101503642134621
infant,infant,lFFA,rA1,within,between,0.6649799897021422,0.04304360839167445
infant,infant,lFFA,rEVC,within,between,0.7334649967168576,0.0405810194492766
infant,infant,lA1,LOC,within,between,0.6503628028943956,0.04694027307614451
