,seed_age,target_age,seed_roi,target_roi,age_cond,roi_cond,isc_mean,isc_se
0,infant,infant,LOC,LOC,within,within,0.8352367555177143,0.04554607334541153
1,infant,infant,LOC,FFA,within,between,0.8250669780189406,0.028010876875982884
2,infant,infant,LOC,A1,within,between,0.7122072045584616,0.04093306917159841
3,infant,infant,LOC,EVC,within,between,0.8217323896884219,0.03634829257601009
4,infant,infant,LOC,lLOC,within,between,0.799768862755617,0.0344301557017118
5,infant,infant,LOC,lFFA,within,between,0.7626086645679752,0.04154857393474732
6,infant,infant,LOC,lA1,within,between,0.6206308947891616,0.05255496812941152
7,infant,infant,LOC,lEVC,within,between,0.8031663129100176,0.03781331555870376
8,infant,infant,LOC,rLOC,within,between,0.8118496008069475,0.03098752659025536
9,infant,infant,LOC,rFFA,within,between,0.7962233134689471,0.03358581102307447
10,infant,infant,LOC,rA1,within,between,0.6927632630873609,0.05017772401156243
11,infant,infant,LOC,rEVC,within,between,0.8171096618841326,0.034408048560271555
12,infant,infant,FFA,LOC,within,between,0.8265786407897382,0.04211215120795484
13,infant,infant,FFA,FFA,within,within,0.8058041999539766,0.02741931731754582
14,infant,infant,FFA,A1,within,between,0.7190823725986917,0.040073095614336536
15,infant,infant,FFA,EVC,within,between,0.8143965977189227,0.031150142549825725
16,infant,infant,FFA,lLOC,within,between,0.793985527669569,0.04863490157689873
17,infant,infant,FFA,lFFA,within,between,0.7469326741425428,0.044230516142550365
18,infant,infant,FFA,lA1,within,between,0.6138095024086557,0.061270581932578
19,infant,infant,FFA,lEVC,within,between,0.7788864294932761,0.03614216586921032
20,infant,infant,FFA,rLOC,within,between,0.7998000154899009,0.04183879030987935
21,infant,infant,FFA,rFFA,within,between,0.7897424395670821,0.033509303308364685
22,infant,infant,FFA,rA1,within,between,0.6613595931567364,0.03904950413270694
23,infant,infant,FFA,rEVC,within,between,0.7891321590684134,0.032857740289305555
24,infant,infant,A1,LOC,within,between,0.7302419604121552,0.045346217168883866
25,infant,infant,A1,FFA,within,between,0.7203547102698312,0.026720912486270423
26,infant,infant,A1,A1,within,within,0.6433664057487264,0.05064411364041092
27,infant,infant,A1,EVC,within,between,0.6852677457282454,0.04932776615864635
28,infant,infant,A1,lLOC,within,between,0.6950100404955922,0.026055200137128608
29,infant,infant,A1,lFFA,within,between,0.6898078544658491,0.043990177364324846
30,infant,infant,A1,lA1,within,between,0.5885952151038855,0.06149203991355187
31,infant,infant,A1,lEVC,within,between,0.681054738426839,0.0528023590621186
32,infant,infant,A1,rLOC,within,between,0.6866235416525006,0.04646456474512474
33,infant,infant,A1,rFFA,within,between,0.6749749176298173,0.047636340269717706
34,infant,infant,A1,rA1,within,between,0.6403335863197438,0.057811136098554594
35,infant,infant,A1,rEVC,within,between,0.6829985197047691,0.05114256517017249
36,infant,infant,EVC,LOC,within,between,0.8125107578317191,0.04082938478245487
37,infant,infant,EVC,FFA,within,between,0.8070548799435121,0.027778709432826718
38,infant,infant,EVC,A1,within,between,0.667212405851059,0.03692011728830853
39,infant,infant,EVC,EVC,within,within,0.8096196745554011,0.032466255404368975
40,infant,infant,EVC,lLOC,within,between,0.7845313031983219,0.04764640695048628
41,infant,infant,EVC,lFFA,within,between,0.7406431371570156,0.04303247630954419
42,infant,infant,EVC,lA1,within,between,0.6040525431285283,0.051574570755035826
43,infant,infant,EVC,lEVC,within,between,0.7920413016216435,0.03752059328998365
44,infant,infant,EVC,rLOC,within,between,0.7972766723742412,0.04241074422144649
45,infant,infant,EVC,rFFA,within,between,0.7960797336186172,0.0346602594112893
46,infant,infant,EVC,rA1,within,between,0.670163575235042,0.04483995029942198
47,infant,infant,EVC,rEVC,within,between,0.8079052193624303,0.03939309579588112
