,model_arch,train_type,layer,image,pred
0,cornet_z_sl,random,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04372370/n04372370_14651.JPEG,2.575530259590483e-08
1,cornet_z_sl,random,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03903868/n03903868_6401.JPEG,2.539080532864075e-08
2,cornet_z_sl,random,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03690938/n03690938_2295.JPEG,2.535386583216361e-08
3,cornet_z_sl,random,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n02825657/n02825657_200.JPEG,2.5315432874911314e-08
4,cornet_z_sl,random,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03445777/n03445777_7670.JPEG,2.5243387298406932e-08
5,cornet_z_sl,random,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04074963/n04074963_21570.JPEG,2.5166903724148546e-08
6,cornet_z_sl,random,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03690938/n03690938_7436.JPEG,2.516639219323908e-08
7,cornet_z_sl,random,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04550184/n04550184_11152.JPEG,2.5054520854338323e-08
8,cornet_z_sl,random,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04049303/n04049303_10796.JPEG,2.4998240363861327e-08
9,cornet_z_sl,random,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03920288/n03920288_4182.JPEG,2.494767354172154e-08
