,model_arch,train_type,layer,image,pred
0,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03388043/n03388043_3090.JPEG,1.3265230632154698e-07
1,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000241/0140_01.jpg,1.321246771929617e-07
2,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03291819/n03291819_8006.JPEG,1.296351060420322e-07
3,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000054/0173_01.jpg,1.27133984492094e-07
4,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04116512/n04116512_102.JPEG,1.2689534395928826e-07
5,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03595614/n03595614_47491.JPEG,1.2586980171864437e-07
6,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03196217/n03196217_6436.JPEG,1.2528172676766525e-07
7,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04033901/n04033901_7393.JPEG,1.2504313577231522e-07
8,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03494278/n03494278_3172.JPEG,1.226702393904808e-07
9,cornet_z_sl,vggface_oneobject,aIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n07745940/n07745940_18935.JPEG,1.2228219254261356e-07
