,model_arch,train_type,layer,image,pred
0,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04008634/n04008634_48845.JPEG,4.20574874601981e-08
1,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n02692877/n02692877_45889.JPEG,3.854096921860089e-08
2,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03494278/n03494278_1344.JPEG,3.7320342447429374e-08
3,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n09193705/n09193705_37922.JPEG,3.7250074799550255e-08
4,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n06874185/n06874185_7690.JPEG,3.574787452949914e-08
5,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03773504/n03773504_12790.JPEG,3.5364136072476575e-08
6,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03777754/n03777754_3996.JPEG,3.428442766628072e-08
7,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n02981792/n02981792_12249.JPEG,3.377373549443824e-08
8,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03944341/n03944341_10519.JPEG,3.374910689527915e-08
9,cornet_z_sl,random,decoder,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n02963159/n02963159_9521.JPEG,3.3410196690865015e-08
