,model_arch,train_type,layer,image,pred
11,cornet_z_sl,imagenet_oneface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n13054560/n13054560_13230.JPEG,7.855507706388921e-08
12,cornet_z_sl,imagenet_oneface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n13054560/n13054560_13235.JPEG,7.855507706388921e-08
10,cornet_z_sl,imagenet_oneface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n13054560/n13054560_13228.JPEG,7.515250125519189e-08
0,cornet_z_sl,imagenet_oneface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000002/0002_01.jpg,6.951204441610762e-08
1,cornet_z_sl,imagenet_oneface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000002/0003_01.jpg,6.951204441610762e-08
2,cornet_z_sl,imagenet_oneface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000002/0004_01.jpg,6.951204441610762e-08
3,cornet_z_sl,imagenet_oneface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000002/0005_01.jpg,6.951204441610762e-08
4,cornet_z_sl,imagenet_oneface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000002/0008_01.jpg,6.951204441610762e-08
5,cornet_z_sl,imagenet_oneface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000002/0010_01.jpg,6.951204441610762e-08
6,cornet_z_sl,imagenet_oneface,V4,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000002/0011_01.jpg,6.951204441610762e-08
