,model_arch,train_type,layer,image,pred
0,cornet_z_sl,imagenet_oneface,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03673027/n03673027_30917.JPEG,1.7581344572309748e-07
1,cornet_z_sl,imagenet_oneface,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04254680/n04254680_13250.JPEG,1.6965437695858158e-07
2,cornet_z_sl,imagenet_oneface,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n02795169/n02795169_1217.JPEG,1.6835518666000536e-07
3,cornet_z_sl,imagenet_oneface,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03794056/n03794056_16507.JPEG,1.6753435350143446e-07
4,cornet_z_sl,imagenet_oneface,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04263257/n04263257_4889.JPEG,1.6261520724365635e-07
5,cornet_z_sl,imagenet_oneface,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n09472597/n09472597_7167.JPEG,1.619489569210758e-07
6,cornet_z_sl,imagenet_oneface,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04258138/n04258138_6716.JPEG,1.6163339948766863e-07
7,cornet_z_sl,imagenet_oneface,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03877845/n03877845_4137.JPEG,1.6126124110431796e-07
8,cornet_z_sl,imagenet_oneface,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04447861/n04447861_4520.JPEG,1.607567060529503e-07
9,cornet_z_sl,imagenet_oneface,V1,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n000192/0448_01.jpg,1.6041842322587656e-07
