,model_arch,train_type,layer,image,pred
0,cornet_z_sl,imagenet_oneface,pIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03201208/n03201208_10619.JPEG,1.6646019234967907e-16
1,cornet_z_sl,imagenet_oneface,pIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03920288/n03920288_75.JPEG,1.6598948538202843e-16
2,cornet_z_sl,imagenet_oneface,pIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n04355338/n04355338_18752.JPEG,1.642520499383899e-16
3,cornet_z_sl,imagenet_oneface,pIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03954731/n03954731_18218.JPEG,1.6207910003571159e-16
4,cornet_z_sl,imagenet_oneface,pIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03832673/n03832673_12435.JPEG,1.6041644487843594e-16
5,cornet_z_sl,imagenet_oneface,pIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03937543/n03937543_6227.JPEG,1.588542961933212e-16
6,cornet_z_sl,imagenet_oneface,pIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03691459/n03691459_13009.JPEG,1.583153611682733e-16
7,cornet_z_sl,imagenet_oneface,pIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n07860988/n07860988_14919.JPEG,1.5819121001806067e-16
8,cornet_z_sl,imagenet_oneface,pIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n03868863/n03868863_3667.JPEG,1.5814657274665362e-16
9,cornet_z_sl,imagenet_oneface,pIT,/lab_data/behrmannlab/image_sets/imagenet_vggface/train/n02834397/n02834397_1463.JPEG,1.580174875994667e-16
