age,roi,corr,seed_age,seed_roi,se
infant,lLO,0.33193704474915237,adult,lLO,0.02058475361367179
infant,rLO,0.266199429148662,adult,lLO,0.021903751220572698
infant,lFFA,0.33512136044544977,adult,lLO,0.01797861412812047
infant,rFFA,0.33993451007673475,adult,lLO,0.020240760236150804
infant,lA1,0.07157417454625607,adult,lLO,0.024792955824319136
infant,rA1,0.07646439881077713,adult,lLO,0.02904218706983397
adult,lLO,0.9237403361748168,adult,lLO,0.004884198315937985
adult,rLO,0.8492078474324964,adult,lLO,0.007547677875391203
adult,lFFA,0.8078468852968481,adult,lLO,0.010427780697152588
adult,rFFA,0.6240214051228457,adult,lLO,0.015732970470092665
adult,lA1,0.7825167208109977,adult,lLO,0.010448964177312189
adult,rA1,0.7925631638028179,adult,lLO,0.007778323033397036
infant,lLO,0.30049532729173245,adult,rLO,0.015516301400871034
infant,rLO,0.32768238143689,adult,rLO,0.018428468465950455
infant,lFFA,0.23814750147416905,adult,rLO,0.020440187745883846
infant,rFFA,0.3135676597058256,adult,rLO,0.01946052330671425
infant,lA1,0.08050100566737625,adult,rLO,0.013886427812321559
infant,rA1,0.2150921758605065,adult,rLO,0.024495927207733734
adult,lLO,0.8793983537013459,adult,rLO,0.005686067487438659
adult,rLO,0.9119373640918695,adult,rLO,0.004240734565540266
adult,lFFA,0.7552606088500602,adult,rLO,0.011333543424852016
adult,rFFA,0.7260244044715568,adult,rLO,0.01242664079442807
adult,lA1,0.7141813322661548,adult,rLO,0.010513361526597455
adult,rA1,0.780878948231791,adult,rLO,0.008141919394032875
infant,lLO,0.35693168685514864,adult,lFFA,0.011364338013690082
infant,rLO,0.3594734382494219,adult,lFFA,0.013384641851513704
infant,lFFA,0.2506469415381525,adult,lFFA,0.02047452621422373
infant,rFFA,0.31324744913659924,adult,lFFA,0.013948254079446488
infant,lA1,0.15316388643763784,adult,lFFA,0.01792201908728125
infant,rA1,0.2654181065041628,adult,lFFA,0.0189170281057651
adult,lLO,0.8158444521023698,adult,lFFA,0.004817046098306066
adult,rLO,0.7593134224862765,adult,lFFA,0.00532099167145121
adult,lFFA,0.8840397799250741,adult,lFFA,0.00739719949948672
adult,rFFA,0.7023475344993004,adult,lFFA,0.01889729850612479
adult,lA1,0.5128622290731556,adult,lFFA,0.011673435989829006
adult,rA1,0.5392472245936134,adult,lFFA,0.012752082164762982
infant,lLO,0.38183803702348207,adult,rFFA,0.0123849954691414
infant,rLO,0.2734062335173885,adult,rFFA,0.01637913910295147
infant,lFFA,0.28892795913234354,adult,rFFA,0.017012373532992026
infant,rFFA,0.3173764443393066,adult,rFFA,0.019154233347005667
infant,lA1,0.2076220077967157,adult,rFFA,0.018322515824225928
infant,rA1,0.1269767300561731,adult,rFFA,0.017784069433358567
adult,lLO,0.7688755247496559,adult,rFFA,0.008079836148036906
adult,rLO,0.7696267941395667,adult,rFFA,0.007358450659199403
adult,lFFA,0.7380036467400165,adult,rFFA,0.0095990583974552
adult,rFFA,0.7804657665029302,adult,rFFA,0.014385953764386034
adult,lA1,0.6296618356896055,adult,rFFA,0.009804217208539788
adult,rA1,0.7402933943443952,adult,rFFA,0.0066497032650685425
infant,lLO,0.43753559222113375,adult,lA1,0.013233030408700433
infant,rLO,0.36363417388571906,adult,lA1,0.02452000985700163
infant,lFFA,0.2519177095582278,adult,lA1,0.024273991004104933
infant,rFFA,0.4327717949805687,adult,lA1,0.02142310908258984
infant,lA1,0.17103304029731048,adult,lA1,0.018645389085928287
infant,rA1,0.19599984643163004,adult,lA1,0.026207301754851652
adult,lLO,0.839473710532731,adult,lA1,0.004839156433751635
adult,rLO,0.8061903132500801,adult,lA1,0.007973495226905911
adult,lFFA,0.671241106667573,adult,lA1,0.013690179086533546
adult,rFFA,0.5519153141802454,adult,lA1,0.014043545693442683
adult,lA1,0.8074618689387064,adult,lA1,0.011268694117724652
adult,rA1,0.8158749896520611,adult,lA1,0.004610607474155389
infant,lLO,0.37756645244745146,adult,rA1,0.018116249729887453
infant,rLO,0.32237866976944907,adult,rA1,0.01728791651457254
infant,lFFA,0.3360809370417618,adult,rA1,0.01607128044380925
infant,rFFA,0.44465535202713663,adult,rA1,0.015232735074310721
infant,lA1,0.05000866327472642,adult,rA1,0.017500312602875233
infant,rA1,0.1686207209457033,adult,rA1,0.01920591054376229
adult,lLO,0.7855470326138075,adult,rA1,0.007225033044428593
adult,rLO,0.6847954116128164,adult,rA1,0.006470906979109934
adult,lFFA,0.6160340030506174,adult,rA1,0.010017609802668437
adult,rFFA,0.5349036425124988,adult,rA1,0.018588812092288652
adult,lA1,0.7917862831733189,adult,rA1,0.009420663902099223
adult,rA1,0.8891080853914503,adult,rA1,0.007484255351384628
