,sub,age,roi,r2,architecture,train_type,layer,corr,se
19,,18,rLO,,cornet_z_cl,vggface_oneobject,aIT,0.5268638290982997,0.0060356557016844675
20,,18,lFFA,,cornet_z_cl,vggface_oneobject,aIT,0.5119315438320073,0.004299576813196112
21,,18,rFFA,,cornet_z_cl,vggface_oneobject,aIT,0.5150808029475321,0.0015534675858302086
22,,18,lA1,,cornet_z_cl,vggface_oneobject,aIT,0.5163720581109559,0.0024000571422280836
23,,18,rA1,,cornet_z_cl,vggface_oneobject,aIT,0.523868519128154,0.003676921511575544
0,,5,lLO,,cornet_z_cl,vggface,aIT,0.5148677998496878,0.004489529655716157
1,,5,rLO,,cornet_z_cl,vggface,aIT,0.5141904361555288,0.006427023905673762
2,,5,lFFA,,cornet_z_cl,vggface,aIT,0.5086052706132291,0.0028154105039137345
3,,5,rFFA,,cornet_z_cl,vggface,aIT,0.49701004550582334,0.003804497915476061
4,,5,lA1,,cornet_z_cl,vggface,aIT,0.49899538235413843,0.0032885755983094772
5,,5,rA1,,cornet_z_cl,vggface,aIT,0.5055407607019714,0.004034488376894422
6,,6,lLO,,cornet_z_cl,vggface,aIT,0.4984045963834509,0.004961849648607423
7,,6,rLO,,cornet_z_cl,vggface,aIT,0.510593377695496,0.005611616634345953
8,,6,lFFA,,cornet_z_cl,vggface,aIT,0.5063011036173973,0.005637294138730607
9,,6,rFFA,,cornet_z_cl,vggface,aIT,0.5085854709496973,0.0023838102997365907
10,,6,lA1,,cornet_z_cl,vggface,aIT,0.5128893175531644,0.0011354757243025359
11,,6,rA1,,cornet_z_cl,vggface,aIT,0.5088662027081379,0.005581874393042855
12,,7,lLO,,cornet_z_cl,vggface,aIT,0.5184445112173184,0.006237010509795686
13,,7,rLO,,cornet_z_cl,vggface,aIT,0.521064402301621,0.003355083488643534
14,,7,lFFA,,cornet_z_cl,vggface,aIT,0.5118311409904995,0.006237986461113809
15,,7,rFFA,,cornet_z_cl,vggface,aIT,0.5155771515175819,0.007127541222532618
16,,7,lA1,,cornet_z_cl,vggface,aIT,0.5095101376578162,0.005526787052274825
17,,7,rA1,,cornet_z_cl,vggface,aIT,0.5169417905319336,0.003017950411315575
18,,18,lLO,,cornet_z_cl,vggface,aIT,0.5262283113896875,0.003116614554466043
19,,18,rLO,,cornet_z_cl,vggface,aIT,0.5264614675227304,0.0042567310668978125
20,,18,lFFA,,cornet_z_cl,vggface,aIT,0.513222710898456,0.005241463649294838
21,,18,rFFA,,cornet_z_cl,vggface,aIT,0.5188158765184175,0.006100808051872952
22,,18,lA1,,cornet_z_cl,vggface,aIT,0.5203619048732145,0.007280826485272881
23,,18,rA1,,cornet_z_cl,vggface,aIT,0.5207589150569059,0.006454283695983917
0,,5,lLO,,cornet_z_cl,random,aIT,0.5126822520239426,0.005822370221449521
1,,5,rLO,,cornet_z_cl,random,aIT,0.5104984052228463,0.004330301101663219
2,,5,lFFA,,cornet_z_cl,random,aIT,0.5104885597940584,0.002349454335758313
3,,5,rFFA,,cornet_z_cl,random,aIT,0.5041349408957296,0.0062493802059678805
4,,5,lA1,,cornet_z_cl,random,aIT,0.5010575830959884,0.002412828752396496
5,,5,rA1,,cornet_z_cl,random,aIT,0.5110203805698206,0.002810473847873651
6,,6,lLO,,cornet_z_cl,random,aIT,0.5147281957245352,0.003162520391480941
7,,6,rLO,,cornet_z_cl,random,aIT,0.5169383149948478,0.005240796267350639
8,,6,lFFA,,cornet_z_cl,random,aIT,0.5181874914174981,0.003656856829992614
9,,6,rFFA,,cornet_z_cl,random,aIT,0.508872923964962,0.0026043488673928245
10,,6,lA1,,cornet_z_cl,random,aIT,0.5156847393479063,0.0038019602473867106
11,,6,rA1,,cornet_z_cl,random,aIT,0.5133208041611558,0.0038192297663882132
12,,7,lLO,,cornet_z_cl,random,aIT,0.5173486584577773,0.001330172845074734
13,,7,rLO,,cornet_z_cl,random,aIT,0.5079324459726174,0.006041596318135934
14,,7,lFFA,,cornet_z_cl,random,aIT,0.5101564105422524,0.004209559648691757
15,,7,rFFA,,cornet_z_cl,random,aIT,0.5082663964649654,0.005107109201886757
16,,7,lA1,,cornet_z_cl,random,aIT,0.5100019745367131,0.0035217975147187803
17,,7,rA1,,cornet_z_cl,random,aIT,0.5193995756333245,0.00895365882138339
18,,18,lLO,,cornet_z_cl,random,aIT,0.5182768813617507,0.0036433532006476714
19,,18,rLO,,cornet_z_cl,random,aIT,0.5276790914271037,0.0031523335535947974
20,,18,lFFA,,cornet_z_cl,random,aIT,0.5168787870563964,0.004092728915924205
21,,18,rFFA,,cornet_z_cl,random,aIT,0.513563844078902,0.005488040467411675
22,,18,lA1,,cornet_z_cl,random,aIT,0.5102933708421122,0.00614883461332721
23,,18,rA1,,cornet_z_cl,random,aIT,0.5166815157197323,0.00786766536798042
