sub,age,roi,corr,architecture,train_type,layer
s0057_1_3,0.75,lLO,-0.03244878267879508,cornet_z_sl,imagenet_noface,aIT
s0057_1_3,0.75,rLO,0.128037644462897,cornet_z_sl,imagenet_noface,aIT
s0057_1_3,0.75,lFFA,0.2621697905058124,cornet_z_sl,imagenet_noface,aIT
s0057_1_3,0.75,rFFA,0.45419367149795387,cornet_z_sl,imagenet_noface,aIT
s0057_1_3,0.75,lA1,0.05083122116318002,cornet_z_sl,imagenet_noface,aIT
s0057_1_3,0.75,rA1,-0.03277391277009339,cornet_z_sl,imagenet_noface,aIT
s0607_1_2,1.058333333,lLO,0.22253140785839337,cornet_z_sl,imagenet_noface,aIT
s0607_1_2,1.058333333,rLO,0.08861830807322484,cornet_z_sl,imagenet_noface,aIT
s0607_1_2,1.058333333,lFFA,0.2136681970078247,cornet_z_sl,imagenet_noface,aIT
s0607_1_2,1.058333333,rFFA,0.15022158293923865,cornet_z_sl,imagenet_noface,aIT
s0607_1_2,1.058333333,lA1,0.010481625223036667,cornet_z_sl,imagenet_noface,aIT
s0607_1_2,1.058333333,rA1,0.08191565157481684,cornet_z_sl,imagenet_noface,aIT
s1607_1_2,0.891666667,lLO,0.1183505511095545,cornet_z_sl,imagenet_noface,aIT
s1607_1_2,0.891666667,rLO,0.1014230668790345,cornet_z_sl,imagenet_noface,aIT
s1607_1_2,0.891666667,lFFA,0.03543011927453758,cornet_z_sl,imagenet_noface,aIT
s1607_1_2,0.891666667,rFFA,0.04826586667255732,cornet_z_sl,imagenet_noface,aIT
s1607_1_2,0.891666667,lA1,0.07449222513225992,cornet_z_sl,imagenet_noface,aIT
s1607_1_2,0.891666667,rA1,-0.011948189773637409,cornet_z_sl,imagenet_noface,aIT
s2037_1_1,0.466666667,lLO,0.08448991381877388,cornet_z_sl,imagenet_noface,aIT
s2037_1_1,0.466666667,rLO,0.10640305110736385,cornet_z_sl,imagenet_noface,aIT
s2037_1_1,0.466666667,lFFA,-0.09108872054724157,cornet_z_sl,imagenet_noface,aIT
s2037_1_1,0.466666667,rFFA,0.003396838084032343,cornet_z_sl,imagenet_noface,aIT
s2037_1_1,0.466666667,lA1,0.02589677169643706,cornet_z_sl,imagenet_noface,aIT
s2037_1_1,0.466666667,rA1,0.10745384656994361,cornet_z_sl,imagenet_noface,aIT
s2047_1_1,0.391666667,lLO,-0.04567819024882572,cornet_z_sl,imagenet_noface,aIT
s2047_1_1,0.391666667,rLO,-0.059776943418879874,cornet_z_sl,imagenet_noface,aIT
s2047_1_1,0.391666667,lFFA,-0.10904931246237372,cornet_z_sl,imagenet_noface,aIT
s2047_1_1,0.391666667,rFFA,0.017842654870456165,cornet_z_sl,imagenet_noface,aIT
s2047_1_1,0.391666667,lA1,-0.17679219579765718,cornet_z_sl,imagenet_noface,aIT
s2047_1_1,0.391666667,rA1,-0.07479269317960939,cornet_z_sl,imagenet_noface,aIT
s2057_1_2,0.641666667,lLO,-8.594901289136342e-05,cornet_z_sl,imagenet_noface,aIT
