sub,age,roi,r2,architecture,train_type,layer,corr
s0057_1_3,0.75,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.031104941880604184
s0057_1_3,0.75,rLO,,cornet_z_sl,imagenet_noface,aIT,0.12832142534822275
s0057_1_3,0.75,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.26020529511317236
s0057_1_3,0.75,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.4546488816978369
s0057_1_3,0.75,lA1,,cornet_z_sl,imagenet_noface,aIT,0.04868174229393897
s0057_1_3,0.75,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.03320730737365636
s0607_1_2,1.058333333,lLO,,cornet_z_sl,imagenet_noface,aIT,0.22222370370010636
s0607_1_2,1.058333333,rLO,,cornet_z_sl,imagenet_noface,aIT,0.08822605302495029
s0607_1_2,1.058333333,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.21002500199835947
s0607_1_2,1.058333333,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.15028083613773008
s0607_1_2,1.058333333,lA1,,cornet_z_sl,imagenet_noface,aIT,0.010959942740412565
s0607_1_2,1.058333333,rA1,,cornet_z_sl,imagenet_noface,aIT,0.08122509771684264
s1607_1_2,0.891666667,lLO,,cornet_z_sl,imagenet_noface,aIT,0.11708135948641836
s1607_1_2,0.891666667,rLO,,cornet_z_sl,imagenet_noface,aIT,0.09862197951476753
s1607_1_2,0.891666667,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.0358851627237301
s1607_1_2,0.891666667,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.0468183658278918
s1607_1_2,0.891666667,lA1,,cornet_z_sl,imagenet_noface,aIT,0.07289650145127967
s1607_1_2,0.891666667,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.012603980619190096
s2037_1_1,0.466666667,lLO,,cornet_z_sl,imagenet_noface,aIT,0.08432584246614944
s2037_1_1,0.466666667,rLO,,cornet_z_sl,imagenet_noface,aIT,0.10706367228691586
