sub,age,roi,corr,architecture,train_type,layer
s0057_1_3,0.75,lLO,-0.02960223107584977,cornet_z_sl,imagenet_noface,aIT
s0057_1_3,0.75,rLO,0.13140650943691468,cornet_z_sl,imagenet_noface,aIT
s0057_1_3,0.75,lFFA,0.26974225961581544,cornet_z_sl,imagenet_noface,aIT
s0057_1_3,0.75,rFFA,0.4545518786058955,cornet_z_sl,imagenet_noface,aIT
s0057_1_3,0.75,lA1,0.05260819060163774,cornet_z_sl,imagenet_noface,aIT
s0057_1_3,0.75,rA1,-0.03138281513096413,cornet_z_sl,imagenet_noface,aIT
s0607_1_2,1.058333333,lLO,0.22303399494635723,cornet_z_sl,imagenet_noface,aIT
s0607_1_2,1.058333333,rLO,0.08897077175002197,cornet_z_sl,imagenet_noface,aIT
s0607_1_2,1.058333333,lFFA,0.21475535225130318,cornet_z_sl,imagenet_noface,aIT
s0607_1_2,1.058333333,rFFA,0.15088076985840934,cornet_z_sl,imagenet_noface,aIT
s0607_1_2,1.058333333,lA1,0.0087868013437324,cornet_z_sl,imagenet_noface,aIT
s0607_1_2,1.058333333,rA1,0.08162132755382742,cornet_z_sl,imagenet_noface,aIT
s1607_1_2,0.891666667,lLO,0.11817356037241983,cornet_z_sl,imagenet_noface,aIT
s1607_1_2,0.891666667,rLO,0.10486621822678976,cornet_z_sl,imagenet_noface,aIT
s1607_1_2,0.891666667,lFFA,0.038683696653751945,cornet_z_sl,imagenet_noface,aIT
s1607_1_2,0.891666667,rFFA,0.05052159216615251,cornet_z_sl,imagenet_noface,aIT
s1607_1_2,0.891666667,lA1,0.07400329751460107,cornet_z_sl,imagenet_noface,aIT
s1607_1_2,0.891666667,rA1,-0.01183812292912756,cornet_z_sl,imagenet_noface,aIT
s2037_1_1,0.466666667,lLO,0.08157102026734928,cornet_z_sl,imagenet_noface,aIT
s2037_1_1,0.466666667,rLO,0.10538296709362001,cornet_z_sl,imagenet_noface,aIT
s2037_1_1,0.466666667,lFFA,-0.08970535182861818,cornet_z_sl,imagenet_noface,aIT
s2037_1_1,0.466666667,rFFA,0.0005010864489538441,cornet_z_sl,imagenet_noface,aIT
s2037_1_1,0.466666667,lA1,0.02340498944941032,cornet_z_sl,imagenet_noface,aIT
s2037_1_1,0.466666667,rA1,0.10348090501874083,cornet_z_sl,imagenet_noface,aIT
s2047_1_1,0.391666667,lLO,-0.04292640822880123,cornet_z_sl,imagenet_noface,aIT
s2047_1_1,0.391666667,rLO,-0.05764082133107512,cornet_z_sl,imagenet_noface,aIT
s2047_1_1,0.391666667,lFFA,-0.10807023400036152,cornet_z_sl,imagenet_noface,aIT
s2047_1_1,0.391666667,rFFA,0.013016911413157348,cornet_z_sl,imagenet_noface,aIT
s2047_1_1,0.391666667,lA1,-0.17525273130775407,cornet_z_sl,imagenet_noface,aIT
s2047_1_1,0.391666667,rA1,-0.07418467505821742,cornet_z_sl,imagenet_noface,aIT
s2057_1_2,0.641666667,lLO,-0.0005502703869009959,cornet_z_sl,imagenet_noface,aIT
s2057_1_2,0.641666667,rLO,0.029579730526829606,cornet_z_sl,imagenet_noface,aIT
s2057_1_2,0.641666667,lFFA,0.031495664685683294,cornet_z_sl,imagenet_noface,aIT
s2057_1_2,0.641666667,rFFA,0.08307783677442404,cornet_z_sl,imagenet_noface,aIT
s2057_1_2,0.641666667,lA1,0.1743341437991896,cornet_z_sl,imagenet_noface,aIT
s2057_1_2,0.641666667,rA1,0.02165960418336507,cornet_z_sl,imagenet_noface,aIT
s2067_1_1,0.35,lLO,-0.006465719994334675,cornet_z_sl,imagenet_noface,aIT
s2067_1_1,0.35,rLO,-0.024086148112256046,cornet_z_sl,imagenet_noface,aIT
s2067_1_1,0.35,lFFA,0.0540634496860442,cornet_z_sl,imagenet_noface,aIT
s2067_1_1,0.35,rFFA,-0.06495303152584299,cornet_z_sl,imagenet_noface,aIT
s2067_1_1,0.35,lA1,0.04052381923569154,cornet_z_sl,imagenet_noface,aIT
s2067_1_1,0.35,rA1,-0.1158444717483759,cornet_z_sl,imagenet_noface,aIT
s2097_1_1,0.433333333,lLO,0.09807674068500928,cornet_z_sl,imagenet_noface,aIT
s2097_1_1,0.433333333,rLO,-0.13487846074055498,cornet_z_sl,imagenet_noface,aIT
s2097_1_1,0.433333333,lFFA,0.07591851810772474,cornet_z_sl,imagenet_noface,aIT
s2097_1_1,0.433333333,rFFA,-0.15182318193448552,cornet_z_sl,imagenet_noface,aIT
s2097_1_1,0.433333333,lA1,-0.11187850084378051,cornet_z_sl,imagenet_noface,aIT
s2097_1_1,0.433333333,rA1,-0.08093155530112045,cornet_z_sl,imagenet_noface,aIT
s2687_1_3,0.825,lLO,0.15352236341935632,cornet_z_sl,imagenet_noface,aIT
s2687_1_3,0.825,rLO,0.17467501097185745,cornet_z_sl,imagenet_noface,aIT
s2687_1_3,0.825,lFFA,0.17109562193368857,cornet_z_sl,imagenet_noface,aIT
s2687_1_3,0.825,rFFA,0.17710119107339456,cornet_z_sl,imagenet_noface,aIT
