sub,age,roi,r2,architecture,train_type,layer,corr
sub-pixar012,3.786447639,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.0017876071818232944
sub-pixar012,3.786447639,rA1,,cornet_z_sl,imagenet_noface,aIT,0.0051146271658493656
sub-pixar013,3.849418207,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.10953686151051803
sub-pixar013,3.849418207,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.1621927032127494
sub-pixar013,3.849418207,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.05856767120109273
sub-pixar013,3.849418207,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.06318673658223059
sub-pixar013,3.849418207,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.03085074477152214
sub-pixar013,3.849418207,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.09375904337378393
sub-pixar014,3.635865845,lLO,,cornet_z_sl,imagenet_noface,aIT,0.008436205723889093
sub-pixar014,3.635865845,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.06072288877814969
sub-pixar014,3.635865845,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.052196296803926685
sub-pixar014,3.635865845,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.018455273799327952
sub-pixar014,3.635865845,lA1,,cornet_z_sl,imagenet_noface,aIT,0.006233964120266245
sub-pixar014,3.635865845,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.17898229145166084
sub-pixar015,4.76659822,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.022446785396412417
sub-pixar015,4.76659822,rLO,,cornet_z_sl,imagenet_noface,aIT,0.04677659186178888
sub-pixar015,4.76659822,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.09550138761175177
sub-pixar015,4.76659822,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.006101863414550407
sub-pixar015,4.76659822,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.056326663772598
sub-pixar015,4.76659822,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.006983653391070493
sub-pixar016,3.622176591,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.012900162129161799
sub-pixar016,3.622176591,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.006422886760662654
sub-pixar016,3.622176591,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.004099839870803288
sub-pixar016,3.622176591,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.03754378122490641
sub-pixar016,3.622176591,lA1,,cornet_z_sl,imagenet_noface,aIT,0.03810210041968659
