sub,age,roi,r2,architecture,train_type,layer,corr
sub-pixar047,5.47,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.030221981028883016
sub-pixar048,5.99,lLO,,cornet_z_sl,imagenet_noface,aIT,0.07269424370374902
sub-pixar048,5.99,rLO,,cornet_z_sl,imagenet_noface,aIT,0.05823483186351303
sub-pixar048,5.99,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.15138826055290994
sub-pixar048,5.99,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.11333615916786546
sub-pixar048,5.99,lA1,,cornet_z_sl,imagenet_noface,aIT,0.0530234441967545
sub-pixar048,5.99,rA1,,cornet_z_sl,imagenet_noface,aIT,0.06445416483909636
sub-pixar049,5.23,lLO,,cornet_z_sl,imagenet_noface,aIT,0.049969540583983486
sub-pixar049,5.23,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.02044639253589444
sub-pixar049,5.23,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.12518323180326868
sub-pixar049,5.23,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.046570071707455835
sub-pixar049,5.23,lA1,,cornet_z_sl,imagenet_noface,aIT,0.018350674605674657
sub-pixar049,5.23,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.04202060246203041
sub-pixar050,5.31,lLO,,cornet_z_sl,imagenet_noface,aIT,0.10622939500574452
sub-pixar050,5.31,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.006812109940643874
sub-pixar050,5.31,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.17567077701847994
sub-pixar050,5.31,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.07647236668562508
sub-pixar050,5.31,lA1,,cornet_z_sl,imagenet_noface,aIT,0.036470198278682475
sub-pixar050,5.31,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.08106138457914908
sub-pixar051,5.38,lLO,,cornet_z_sl,imagenet_noface,aIT,0.15479465020199185
sub-pixar051,5.38,rLO,,cornet_z_sl,imagenet_noface,aIT,0.059733932342621934
sub-pixar051,5.38,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.09363795192804533
sub-pixar051,5.38,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.028537310898871238
sub-pixar051,5.38,lA1,,cornet_z_sl,imagenet_noface,aIT,0.08823164158404047
sub-pixar051,5.38,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.03820416876576485
sub-pixar052,5.46,lLO,,cornet_z_sl,imagenet_noface,aIT,0.04484087076895248
sub-pixar052,5.46,rLO,,cornet_z_sl,imagenet_noface,aIT,0.007585644428568622
sub-pixar052,5.46,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.06486749545158281
sub-pixar052,5.46,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.008549160016394934
sub-pixar052,5.46,lA1,,cornet_z_sl,imagenet_noface,aIT,0.0327645905146515
sub-pixar052,5.46,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.04092938595125026
sub-pixar053,5.46,lLO,,cornet_z_sl,imagenet_noface,aIT,0.05684908763128065
sub-pixar053,5.46,rLO,,cornet_z_sl,imagenet_noface,aIT,0.14196825294231796
sub-pixar053,5.46,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.11875413750380867
sub-pixar053,5.46,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.13113020832261815
sub-pixar053,5.46,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.10462245184292586
sub-pixar053,5.46,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.02534703064316371
sub-pixar054,5.99,lLO,,cornet_z_sl,imagenet_noface,aIT,0.13177442690476715
