,age,roi,corr,seed_age,seed_roi
0,3,lLO,0.5370905979595448,18,lLO
1,3,rLO,0.52511374989418,18,lLO
2,3,lFFA,0.5357344132520585,18,lLO
3,3,rFFA,0.5505924553220989,18,lLO
4,3,lA1,0.5286075199218156,18,lLO
5,3,rA1,0.5293653498150257,18,lLO
6,18,lLO,0.8639142565186606,18,lLO
7,18,rLO,0.6547866472503779,18,lLO
8,18,lFFA,0.6146358181406302,18,lLO
9,18,rFFA,0.5867044295834272,18,lLO
10,18,lA1,0.6039768183157481,18,lLO
11,18,rA1,0.5897308772926776,18,lLO
0,3,lLO,0.5381909668566351,18,rLO
1,3,rLO,0.5370223882732443,18,rLO
2,3,lFFA,0.5026738870437125,18,rLO
3,3,rFFA,0.5388350990108953,18,rLO
4,3,lA1,0.5415075361027752,18,rLO
5,3,rA1,0.5206093950490841,18,rLO
6,18,lLO,0.6502959574425962,18,rLO
7,18,rLO,0.8497282614518664,18,rLO
8,18,lFFA,0.5773938865269532,18,rLO
9,18,rFFA,0.6105751205492955,18,rLO
10,18,lA1,0.5672965444054214,18,rLO
11,18,rA1,0.6025460525691984,18,rLO
0,3,lLO,0.5435198659019895,18,lFFA
1,3,rLO,0.5390151572523607,18,lFFA
2,3,lFFA,0.5271828209715965,18,lFFA
3,3,rFFA,0.5554679285685905,18,lFFA
4,3,lA1,0.5503602837163455,18,lFFA
5,3,rA1,0.5360589810069332,18,lFFA
6,18,lLO,0.6419755713705029,18,lFFA
7,18,rLO,0.614998717177615,18,lFFA
8,18,lFFA,0.9415546120635836,18,lFFA
9,18,rFFA,0.6178975361984982,18,lFFA
10,18,lA1,0.590013883320333,18,lFFA
11,18,rA1,0.5896025359914563,18,lFFA
0,3,lLO,0.5365944763706362,18,rFFA
1,3,rLO,0.5179292436141986,18,rFFA
2,3,lFFA,0.5754538391526938,18,rFFA
3,3,rFFA,0.5662236772853285,18,rFFA
4,3,lA1,0.5387294220445351,18,rFFA
5,3,rA1,0.5165810816672454,18,rFFA
6,18,lLO,0.6358306601856716,18,rFFA
7,18,rLO,0.6406737469919475,18,rFFA
8,18,lFFA,0.6343422668058785,18,rFFA
9,18,rFFA,0.907959421415291,18,rFFA
10,18,lA1,0.5727694099157636,18,rFFA
11,18,rA1,0.6046219392699124,18,rFFA
