,age,roi,corr,architecture,train_type,layer
0,3,lLO,-0.03392984731531517,cornet_z_sl,imagenet_noface,aIT
1,3,rLO,0.013857728129000556,cornet_z_sl,imagenet_noface,aIT
2,3,lFFA,0.029338551793738305,cornet_z_sl,imagenet_noface,aIT
3,3,rFFA,0.005190656624730013,cornet_z_sl,imagenet_noface,aIT
4,3,lA1,-0.003989631611474682,cornet_z_sl,imagenet_noface,aIT
5,3,rA1,0.012951520835012567,cornet_z_sl,imagenet_noface,aIT
6,4,lLO,0.009235847468766403,cornet_z_sl,imagenet_noface,aIT
7,4,rLO,-0.05892917321531383,cornet_z_sl,imagenet_noface,aIT
8,4,lFFA,-0.04129536583795057,cornet_z_sl,imagenet_noface,aIT
9,4,rFFA,-0.00851271226757334,cornet_z_sl,imagenet_noface,aIT
10,4,lA1,0.04195018704768731,cornet_z_sl,imagenet_noface,aIT
11,4,rA1,0.05084762728435274,cornet_z_sl,imagenet_noface,aIT
12,5,lLO,-0.036883463453991086,cornet_z_sl,imagenet_noface,aIT
13,5,rLO,-0.0546903579843544,cornet_z_sl,imagenet_noface,aIT
14,5,lFFA,0.047427567000695725,cornet_z_sl,imagenet_noface,aIT
15,5,rFFA,-0.08647329135816922,cornet_z_sl,imagenet_noface,aIT
16,5,lA1,-0.0035215723937134045,cornet_z_sl,imagenet_noface,aIT
17,5,rA1,-0.004472504247447998,cornet_z_sl,imagenet_noface,aIT
18,18,lLO,0.01648494756406272,cornet_z_sl,imagenet_noface,aIT
19,18,rLO,-0.047894242942146566,cornet_z_sl,imagenet_noface,aIT
20,18,lFFA,-0.006222411746151232,cornet_z_sl,imagenet_noface,aIT
21,18,rFFA,0.039921112499684795,cornet_z_sl,imagenet_noface,aIT
22,18,lA1,0.034482192780697786,cornet_z_sl,imagenet_noface,aIT
23,18,rA1,0.014861469200311183,cornet_z_sl,imagenet_noface,aIT
0,3,lLO,0.06210413040113011,cornet_z_sl,imagenet_oneface,aIT
1,3,rLO,0.05264734968984325,cornet_z_sl,imagenet_oneface,aIT
2,3,lFFA,-0.04001780111532281,cornet_z_sl,imagenet_oneface,aIT
3,3,rFFA,0.12828540684362008,cornet_z_sl,imagenet_oneface,aIT
4,3,lA1,0.029602638082672356,cornet_z_sl,imagenet_oneface,aIT
5,3,rA1,0.0805484583891666,cornet_z_sl,imagenet_oneface,aIT
6,4,lLO,-0.03712081546651078,cornet_z_sl,imagenet_oneface,aIT
7,4,rLO,-0.0023399826130218043,cornet_z_sl,imagenet_oneface,aIT
8,4,lFFA,0.05869629175107052,cornet_z_sl,imagenet_oneface,aIT
9,4,rFFA,-0.05525636031679997,cornet_z_sl,imagenet_oneface,aIT
10,4,lA1,0.027019673747872505,cornet_z_sl,imagenet_oneface,aIT
11,4,rA1,0.08661613317597143,cornet_z_sl,imagenet_oneface,aIT
12,5,lLO,-0.04581378751899126,cornet_z_sl,imagenet_oneface,aIT
13,5,rLO,-0.06827987220445846,cornet_z_sl,imagenet_oneface,aIT
14,5,lFFA,-0.019096649430345745,cornet_z_sl,imagenet_oneface,aIT
15,5,rFFA,-0.05925506555971414,cornet_z_sl,imagenet_oneface,aIT
16,5,lA1,0.017960854284408752,cornet_z_sl,imagenet_oneface,aIT
17,5,rA1,-0.004848499598959005,cornet_z_sl,imagenet_oneface,aIT
18,18,lLO,0.03356039135814217,cornet_z_sl,imagenet_oneface,aIT
19,18,rLO,-0.026645479538745204,cornet_z_sl,imagenet_oneface,aIT
20,18,lFFA,0.027339725158676303,cornet_z_sl,imagenet_oneface,aIT
21,18,rFFA,0.013124218762103883,cornet_z_sl,imagenet_oneface,aIT
22,18,lA1,0.005753513670448594,cornet_z_sl,imagenet_oneface,aIT
23,18,rA1,0.04019770359272043,cornet_z_sl,imagenet_oneface,aIT
0,3,lLO,-0.021678068530893692,cornet_z_sl,imagenet_vggface,aIT
1,3,rLO,-0.030324613648432815,cornet_z_sl,imagenet_vggface,aIT
