sub,age,roi,corr,seed_age,seed_roi
s5037_1_1,0.725,lA1,-0.006665302917866881,adult,lLO
s5037_1_1,0.725,rA1,0.1221021733475426,adult,lLO
s6057_1_1,0.3,lLO,0.08712815412671678,adult,lLO
s6057_1_1,0.3,rLO,0.05235421067935396,adult,lLO
s6057_1_1,0.3,lFFA,0.13514849144268767,adult,lLO
s6057_1_1,0.3,rFFA,0.11481124407504467,adult,lLO
s6057_1_1,0.3,lA1,0.09515101995030031,adult,lLO
s6057_1_1,0.3,rA1,0.09121311251577709,adult,lLO
s6607_1_2,0.616666667,lLO,-0.004449188055332773,adult,lLO
s6607_1_2,0.616666667,rLO,-0.014113272138141206,adult,lLO
s6607_1_2,0.616666667,lFFA,0.03511469227799405,adult,lLO
s6607_1_2,0.616666667,rFFA,-0.05789447963530894,adult,lLO
s6607_1_2,0.616666667,lA1,-0.10448514420617491,adult,lLO
s6607_1_2,0.616666667,rA1,-0.07465890828213267,adult,lLO
s6687_1_3,0.941666667,lLO,0.04201021268194236,adult,lLO
s6687_1_3,0.941666667,rLO,0.04649647813412819,adult,lLO
s6687_1_3,0.941666667,lFFA,-0.011047962706919656,adult,lLO
s6687_1_3,0.941666667,rFFA,0.027608117192597946,adult,lLO
s6687_1_3,0.941666667,lA1,0.08909929578074159,adult,lLO
s6687_1_3,0.941666667,rA1,0.05899603030273826,adult,lLO
s7017_1_1,0.433333333,lLO,-0.1192607161512105,adult,lLO
s7017_1_1,0.433333333,rLO,-0.05966757233036729,adult,lLO
s7017_1_1,0.433333333,lFFA,0.02080221798683328,adult,lLO
s7017_1_1,0.433333333,rFFA,-0.03993990874601775,adult,lLO
s7017_1_1,0.433333333,lA1,-0.036785027184929216,adult,lLO
s7017_1_1,0.433333333,rA1,-0.049129650448434724,adult,lLO
s7057_1_1,0.441666667,lLO,-0.15907058329501395,adult,lLO
s7057_1_1,0.441666667,rLO,-0.0984377428492611,adult,lLO
s7057_1_1,0.441666667,lFFA,-0.09950743341256184,adult,lLO
s7057_1_1,0.441666667,rFFA,-0.05071669788177239,adult,lLO
s7057_1_1,0.441666667,lA1,-0.05884505950033457,adult,lLO
s7057_1_1,0.441666667,rA1,-0.08784228969062059,adult,lLO
s7067_1_3,0.766666667,lLO,-0.22803919407180206,adult,lLO
s7067_1_3,0.766666667,rLO,-0.27180395995572953,adult,lLO
s7067_1_3,0.766666667,lFFA,-0.32240542311665366,adult,lLO
s7067_1_3,0.766666667,rFFA,-0.30938209412447976,adult,lLO
s7067_1_3,0.766666667,lA1,-0.06749525779828734,adult,lLO
s7067_1_3,0.766666667,rA1,-0.08838635183032266,adult,lLO
s8037_1_1,0.666666667,lLO,-0.08157026196159109,adult,lLO
s8037_1_1,0.666666667,rLO,-0.1319274905288173,adult,lLO
s8037_1_1,0.666666667,lFFA,-0.057236820572678065,adult,lLO
s8037_1_1,0.666666667,rFFA,-0.10712776831604753,adult,lLO
s8037_1_1,0.666666667,lA1,-0.14459737391171787,adult,lLO
s8037_1_1,0.666666667,rA1,-0.2508721171123025,adult,lLO
s8077_1_1,0.391666667,lLO,-0.01179111116492333,adult,lLO
s8077_1_1,0.391666667,rLO,-0.157291986334238,adult,lLO
s8077_1_1,0.391666667,lFFA,0.02782238943886337,adult,lLO
s8077_1_1,0.391666667,rFFA,-0.03078477436101719,adult,lLO
s8077_1_1,0.391666667,lA1,0.0915840888587711,adult,lLO
s8077_1_1,0.391666667,rA1,0.03405872901170784,adult,lLO
s8687_1_3,0.916666667,lLO,0.021775694916494046,adult,lLO
s8687_1_3,0.916666667,rLO,0.11424391980270909,adult,lLO
s8687_1_3,0.916666667,lFFA,0.000772935911518946,adult,lLO
s8687_1_3,0.916666667,rFFA,0.10493206035772734,adult,lLO
s8687_1_3,0.916666667,lA1,0.19325875745496673,adult,lLO
s8687_1_3,0.916666667,rA1,0.1410351583748703,adult,lLO
s9057_1_1,0.391666667,lLO,-0.20586601234992424,adult,lLO
s9057_1_1,0.391666667,rLO,-0.02125206037314847,adult,lLO
s9057_1_1,0.391666667,lFFA,-0.21324199446340947,adult,lLO
s9057_1_1,0.391666667,rFFA,-0.020942469889491805,adult,lLO
s9057_1_1,0.391666667,lA1,-0.24433193886510682,adult,lLO
s9057_1_1,0.391666667,rA1,-0.04087744195590552,adult,lLO
mov_01,20.0,lLO,0.030665157497086065,adult,lLO
mov_01,20.0,rLO,-0.05014838208941385,adult,lLO
mov_01,20.0,lFFA,0.0884488709070726,adult,lLO
mov_01,20.0,rFFA,-0.004574395424263224,adult,lLO
mov_01,20.0,lA1,0.07755215729443661,adult,lLO
mov_01,20.0,rA1,-0.019084171198666858,adult,lLO
mov_02,20.0,lLO,-0.054239442574349664,adult,lLO
mov_02,20.0,rLO,-0.06361724127193061,adult,lLO
mov_02,20.0,lFFA,-0.17572764657653805,adult,lLO
mov_02,20.0,rFFA,0.013659610641275731,adult,lLO
mov_02,20.0,lA1,-0.10763339639932745,adult,lLO
mov_02,20.0,rA1,-0.06867883433363643,adult,lLO
mov_03,19.0,lLO,-0.00041453855824553215,adult,lLO
mov_03,19.0,rLO,-0.0408940328930011,adult,lLO
mov_03,19.0,lFFA,-0.09008850766644798,adult,lLO
mov_03,19.0,rFFA,-0.01791405240397499,adult,lLO
mov_03,19.0,lA1,-0.08977184494527207,adult,lLO
mov_03,19.0,rA1,-0.07015012699343537,adult,lLO
mov_04,21.0,lLO,-0.027784934038553543,adult,lLO
mov_04,21.0,rLO,-0.09079802570318893,adult,lLO
mov_04,21.0,lFFA,-0.02471975196835409,adult,lLO
mov_04,21.0,rFFA,-0.034403626327932015,adult,lLO
mov_04,21.0,lA1,0.0646177179726289,adult,lLO
mov_04,21.0,rA1,-0.028616316757720726,adult,lLO
mov_05,21.0,lLO,-0.10789642532023144,adult,lLO
mov_05,21.0,rLO,-0.09349779467861291,adult,lLO
mov_05,21.0,lFFA,-0.06058916065422697,adult,lLO
mov_05,21.0,rFFA,-0.08272542287889631,adult,lLO
mov_05,21.0,lA1,-0.05605899165722961,adult,lLO
mov_05,21.0,rA1,-0.0275670324755388,adult,lLO
mov_06,18.0,lLO,0.06447445666034644,adult,lLO
mov_06,18.0,rLO,0.09684381878851003,adult,lLO
mov_06,18.0,lFFA,-0.005384726995096095,adult,lLO
mov_06,18.0,rFFA,0.026828475724614203,adult,lLO
mov_06,18.0,lA1,0.055568453904473236,adult,lLO
mov_06,18.0,rA1,-0.016563925305492673,adult,lLO
mov_07,23.0,lLO,-0.08563315721313082,adult,lLO
mov_07,23.0,rLO,-0.16457083633524966,adult,lLO
mov_07,23.0,lFFA,-0.2519448369980849,adult,lLO
mov_07,23.0,rFFA,-0.19685497182056635,adult,lLO
mov_07,23.0,lA1,-0.06038297424007208,adult,lLO
mov_07,23.0,rA1,-0.09741842413356554,adult,lLO
mov_08,21.0,lLO,-0.13877268701825465,adult,lLO
mov_08,21.0,rLO,-0.2720985135098738,adult,lLO
mov_08,21.0,lFFA,-0.27148099227034755,adult,lLO
mov_08,21.0,rFFA,-0.17860352058372916,adult,lLO
mov_08,21.0,lA1,0.005570388449844501,adult,lLO
mov_08,21.0,rA1,-0.028850462908613074,adult,lLO
mov_09,22.0,lLO,-0.044430944196377616,adult,lLO
mov_09,22.0,rLO,-0.1171891738001402,adult,lLO
mov_09,22.0,lFFA,-0.1470352858059112,adult,lLO
mov_09,22.0,rFFA,-0.12510652550752915,adult,lLO
mov_09,22.0,lA1,-0.1287665423416371,adult,lLO
mov_09,22.0,rA1,-0.023362741322582023,adult,lLO
mov_10,23.0,lLO,-0.10466324001162103,adult,lLO
mov_10,23.0,rLO,-0.06914933361890668,adult,lLO
mov_10,23.0,lFFA,-0.07011461854401747,adult,lLO
mov_10,23.0,rFFA,-0.0522093268673431,adult,lLO
mov_10,23.0,lA1,-0.04760863119956561,adult,lLO
mov_10,23.0,rA1,-0.0382691009148003,adult,lLO
mov_11,32.0,lLO,-0.07528746998610267,adult,lLO
mov_11,32.0,rLO,-0.15916300702090483,adult,lLO
mov_11,32.0,lFFA,-0.07833124070192077,adult,lLO
mov_11,32.0,rFFA,-0.10557860425440821,adult,lLO
mov_11,32.0,lA1,-0.09068114170092235,adult,lLO
mov_11,32.0,rA1,-0.10483722794006642,adult,lLO
mov_12,20.0,lLO,0.0007589214786459866,adult,lLO
mov_12,20.0,rLO,-0.08131999273516582,adult,lLO
mov_12,20.0,lFFA,-0.04940783125116095,adult,lLO
mov_12,20.0,rFFA,-0.07961282157748681,adult,lLO
mov_12,20.0,lA1,0.08743919024181382,adult,lLO
mov_12,20.0,rA1,0.015353121614054742,adult,lLO
mov_13,18.0,lLO,-0.011116515958928945,adult,lLO
mov_13,18.0,rLO,-0.09267792158613687,adult,lLO
mov_13,18.0,lFFA,0.012943756390581655,adult,lLO
mov_13,18.0,rFFA,-0.022161228791196773,adult,lLO
mov_13,18.0,lA1,-0.04047250418891474,adult,lLO
mov_13,18.0,rA1,-0.0422199201845914,adult,lLO
mov_14,20.0,lLO,-0.1259106989466392,adult,lLO
mov_14,20.0,rLO,-0.22226917479535982,adult,lLO
mov_14,20.0,lFFA,-0.02750854630455969,adult,lLO
mov_14,20.0,rFFA,0.02540089489688229,adult,lLO
mov_14,20.0,lA1,0.08925761547971835,adult,lLO
mov_14,20.0,rA1,-0.010276053201290731,adult,lLO
mov_15,25.0,lLO,-0.024343604263191793,adult,lLO
mov_15,25.0,rLO,-0.12275449998605942,adult,lLO
mov_15,25.0,lFFA,-0.13496055497216589,adult,lLO
mov_15,25.0,rFFA,-0.04675095607073882,adult,lLO
mov_15,25.0,lA1,-0.04988912088561624,adult,lLO
mov_15,25.0,rA1,-0.0982135756640714,adult,lLO
mov_16,19.0,lLO,-0.17012671345814856,adult,lLO
mov_16,19.0,rLO,-0.12838397462213583,adult,lLO
mov_16,19.0,lFFA,-0.015216751293919039,adult,lLO
mov_16,19.0,rFFA,-0.09123722749429225,adult,lLO
mov_16,19.0,lA1,-0.09493114192181096,adult,lLO
mov_16,19.0,rA1,-0.11994750068280971,adult,lLO
mov_17,22.0,lLO,-0.06575283545173397,adult,lLO
mov_17,22.0,rLO,-0.06476755851044731,adult,lLO
mov_17,22.0,lFFA,-0.03608384517025763,adult,lLO
mov_17,22.0,rFFA,-0.046881293776022986,adult,lLO
mov_17,22.0,lA1,-0.010165123504889025,adult,lLO
mov_17,22.0,rA1,-0.029379925707434272,adult,lLO
mov_18,24.0,lLO,-0.027439833285854687,adult,lLO
mov_18,24.0,rLO,-0.07620761113077074,adult,lLO
mov_18,24.0,lFFA,0.059166141156586013,adult,lLO
mov_18,24.0,rFFA,-0.003971583450714425,adult,lLO
mov_18,24.0,lA1,0.04326276343668688,adult,lLO
mov_18,24.0,rA1,0.06550209105050891,adult,lLO
mov_19,22.0,lLO,-0.07079525819460165,adult,lLO
mov_19,22.0,rLO,-0.08010669869228108,adult,lLO
mov_19,22.0,lFFA,-0.1025578253449051,adult,lLO
mov_19,22.0,rFFA,-0.012402527714322183,adult,lLO
mov_19,22.0,lA1,-0.12844560510197273,adult,lLO
mov_19,22.0,rA1,-0.1354841120435335,adult,lLO
mov_20,24.0,lLO,-0.03841939578776537,adult,lLO
mov_20,24.0,rLO,-0.05769793879767404,adult,lLO
mov_20,24.0,lFFA,-0.16943337867880878,adult,lLO
mov_20,24.0,rFFA,0.01625741793476664,adult,lLO
mov_20,24.0,lA1,-0.11141599966996565,adult,lLO
mov_20,24.0,rA1,-0.05291917147575753,adult,lLO
mov_22,22.0,lLO,-0.06783467848366347,adult,lLO
mov_22,22.0,rLO,-0.05182009595311825,adult,lLO
mov_22,22.0,lFFA,-0.16827986032225487,adult,lLO
mov_22,22.0,rFFA,-0.05161366562839521,adult,lLO
mov_22,22.0,lA1,-0.010557662013917234,adult,lLO
mov_22,22.0,rA1,-0.10042428475626843,adult,lLO
mov_24,26.0,lLO,-0.06351442694411584,adult,lLO
mov_24,26.0,rLO,-0.08891782233183101,adult,lLO
mov_24,26.0,lFFA,-0.07884742644516701,adult,lLO
mov_24,26.0,rFFA,-0.016670847640174496,adult,lLO
mov_24,26.0,lA1,-0.03322088080964592,adult,lLO
mov_24,26.0,rA1,0.08523958045529098,adult,lLO
mov_25,27.0,lLO,-0.0630548460954206,adult,lLO
mov_25,27.0,rLO,-0.13787310003743228,adult,lLO
mov_25,27.0,lFFA,-0.12420627179029925,adult,lLO
mov_25,27.0,rFFA,-0.08035480534901089,adult,lLO
mov_25,27.0,lA1,-0.04842424239869835,adult,lLO
mov_25,27.0,rA1,-0.08877297978586901,adult,lLO
mov_26,32.0,lLO,-0.15608034672352433,adult,lLO
mov_26,32.0,rLO,-0.14071436696282247,adult,lLO
mov_26,32.0,lFFA,-0.20848645944514715,adult,lLO
mov_26,32.0,rFFA,-0.0066220427586073,adult,lLO
mov_26,32.0,lA1,-0.0415890163390212,adult,lLO
mov_26,32.0,rA1,-0.058516526818608076,adult,lLO
s0057_1_3,0.75,lLO,-0.15189723777506128,adult,rLO
s0057_1_3,0.75,rLO,-0.16289924182103704,adult,rLO
s0057_1_3,0.75,lFFA,-0.1407704998656344,adult,rLO
s0057_1_3,0.75,rFFA,-0.08130141469398988,adult,rLO
s0057_1_3,0.75,lA1,-0.05157474117490088,adult,rLO
s0057_1_3,0.75,rA1,0.13082161102487597,adult,rLO
s0607_1_2,1.058333333,lLO,-0.03306369839938775,adult,rLO
s0607_1_2,1.058333333,rLO,-0.07518357257857514,adult,rLO
s0607_1_2,1.058333333,lFFA,-0.060382978294317546,adult,rLO
s0607_1_2,1.058333333,rFFA,-0.1703968088732758,adult,rLO
s0607_1_2,1.058333333,lA1,-0.16072751299225063,adult,rLO
s0607_1_2,1.058333333,rA1,-0.17094784048651007,adult,rLO
s1607_1_2,0.891666667,lLO,0.060584329427361826,adult,rLO
s1607_1_2,0.891666667,rLO,-0.1622370300072825,adult,rLO
