age,roi,corr,architecture,train_type,layer,se
infant,lLO,0.0629677148927234,cornet_z_sl,imagenet_noface,aIT,0.016593059844453643
infant,rLO,0.05931247895485762,cornet_z_sl,imagenet_noface,aIT,0.0106300940687524
infant,lFFA,0.042248645857009014,cornet_z_sl,imagenet_noface,aIT,0.022540148816807687
infant,rFFA,0.03948147899911546,cornet_z_sl,imagenet_noface,aIT,0.010272958840461591
infant,lA1,0.012985235037270438,cornet_z_sl,imagenet_noface,aIT,0.01421428045486992
infant,rA1,0.04337527908161291,cornet_z_sl,imagenet_noface,aIT,0.012888741320484454
adult,lLO,0.06397779305401455,cornet_z_sl,imagenet_noface,aIT,0.013829766489396525
adult,rLO,0.08497185752737516,cornet_z_sl,imagenet_noface,aIT,0.012250817814630725
adult,lFFA,0.05118168094539469,cornet_z_sl,imagenet_noface,aIT,0.01726697019023878
adult,rFFA,0.038977798497342155,cornet_z_sl,imagenet_noface,aIT,0.013611277479347912
adult,lA1,0.04833075442596052,cornet_z_sl,imagenet_noface,aIT,0.011325471317861113
adult,rA1,0.0519587656316595,cornet_z_sl,imagenet_noface,aIT,0.00976922228622038
infant,lLO,0.035167689921491135,cornet_z_sl,imagenet_oneface,aIT,0.014306294285657275
infant,rLO,0.04707225667080301,cornet_z_sl,imagenet_oneface,aIT,0.011928920951309775
infant,lFFA,0.024862167288255667,cornet_z_sl,imagenet_oneface,aIT,0.011721004220497312
infant,rFFA,0.032287104988171736,cornet_z_sl,imagenet_oneface,aIT,0.015661333371843847
infant,lA1,0.024744389421454925,cornet_z_sl,imagenet_oneface,aIT,0.011118499269181625
infant,rA1,0.022254617854461846,cornet_z_sl,imagenet_oneface,aIT,0.012719786582305891
adult,lLO,0.042317831652041685,cornet_z_sl,imagenet_oneface,aIT,0.009455590332873095
adult,rLO,0.0833287233006703,cornet_z_sl,imagenet_oneface,aIT,0.011488377211445615
adult,lFFA,0.06666852960239458,cornet_z_sl,imagenet_oneface,aIT,0.015732674717364222
adult,rFFA,0.05153540702500713,cornet_z_sl,imagenet_oneface,aIT,0.014846476598269357
adult,lA1,0.019752846706795835,cornet_z_sl,imagenet_oneface,aIT,0.016766847542613667
adult,rA1,0.052598791848756196,cornet_z_sl,imagenet_oneface,aIT,0.007552702305818044
infant,lLO,0.05743135136113884,cornet_z_sl,imagenet_vggface,aIT,0.01333145900838117
infant,rLO,0.024494347347449357,cornet_z_sl,imagenet_vggface,aIT,0.008858241147194933
infant,lFFA,0.04082816629291669,cornet_z_sl,imagenet_vggface,aIT,0.0181049784492534
infant,rFFA,0.028097195772650373,cornet_z_sl,imagenet_vggface,aIT,0.012958679963192324
infant,lA1,0.013730298624650746,cornet_z_sl,imagenet_vggface,aIT,0.016512558204745228
infant,rA1,0.029523601429790176,cornet_z_sl,imagenet_vggface,aIT,0.014160056752848186
adult,lLO,0.043826683858127505,cornet_z_sl,imagenet_vggface,aIT,0.010556934193728745
adult,rLO,0.09240421226234811,cornet_z_sl,imagenet_vggface,aIT,0.013681241643015242
adult,lFFA,0.06818663464924876,cornet_z_sl,imagenet_vggface,aIT,0.015362663372211557
adult,rFFA,0.055997090999024536,cornet_z_sl,imagenet_vggface,aIT,0.011262020943560767
adult,lA1,0.0648578648159369,cornet_z_sl,imagenet_vggface,aIT,0.01073246724028731
adult,rA1,0.04284142001585992,cornet_z_sl,imagenet_vggface,aIT,0.011279278963034557
infant,lLO,0.043995303499630725,cornet_z_sl,vggface_oneobject,aIT,0.013432210507021241
infant,rLO,0.02158357330084554,cornet_z_sl,vggface_oneobject,aIT,0.01768952590861769
infant,lFFA,0.02773093910613576,cornet_z_sl,vggface_oneobject,aIT,0.012831753830949052
infant,rFFA,0.023698013497309094,cornet_z_sl,vggface_oneobject,aIT,0.008132246213571363
infant,lA1,0.04417939992788343,cornet_z_sl,vggface_oneobject,aIT,0.019107340714801226
infant,rA1,0.046990527486076905,cornet_z_sl,vggface_oneobject,aIT,0.01226887470252242
adult,lLO,0.06152819251178837,cornet_z_sl,vggface_oneobject,aIT,0.01416180828500272
adult,rLO,0.0754849286874428,cornet_z_sl,vggface_oneobject,aIT,0.00981499107746755
adult,lFFA,0.05737321507810604,cornet_z_sl,vggface_oneobject,aIT,0.011355288930544874
adult,rFFA,0.042276192102224316,cornet_z_sl,vggface_oneobject,aIT,0.009161480238416396
adult,lA1,0.06156981049340415,cornet_z_sl,vggface_oneobject,aIT,0.009332819683642976
adult,rA1,0.06579577009814053,cornet_z_sl,vggface_oneobject,aIT,0.010442172460370292
infant,lLO,0.05761333800624184,cornet_z_sl,vggface,aIT,0.015454765307245162
infant,rLO,0.0291023672616482,cornet_z_sl,vggface,aIT,0.00800003827915563
infant,lFFA,0.03238604825495493,cornet_z_sl,vggface,aIT,0.014644926408870324
infant,rFFA,0.0646541485306806,cornet_z_sl,vggface,aIT,0.013490809322816053
infant,lA1,-0.0024445088205568713,cornet_z_sl,vggface,aIT,0.008966994412707858
infant,rA1,0.020563147297632155,cornet_z_sl,vggface,aIT,0.009108259807038374
adult,lLO,0.07223253858982155,cornet_z_sl,vggface,aIT,0.014404663224887326
adult,rLO,0.08632258558807603,cornet_z_sl,vggface,aIT,0.01179313831708352
