,age,roi,corr,architecture,train_type,layer,,,,,,,,,
3,infant,rFFA,0.036235447,cornet_z_sl,imagenet_oneface,aIT,,,,,,,,,
4,infant,lA1,0.098296148,cornet_z_sl,imagenet_oneface,aIT,,,,,,,,,
5,infant,rA1,0.004237092,cornet_z_sl,imagenet_oneface,aIT,,,,,,,,,
6,adult,lLO,0.09794282,cornet_z_sl,imagenet_oneface,aIT,,,,,,,,,
7,adult,rLO,-0.055984277,cornet_z_sl,imagenet_oneface,aIT,,,,,,,,,
8,adult,lFFA,0.059999778,cornet_z_sl,imagenet_oneface,aIT,,,,,,,,,
9,adult,rFFA,0.01960323,cornet_z_sl,imagenet_oneface,aIT,,,,,,,,,
10,adult,lA1,0.058309429,cornet_z_sl,imagenet_oneface,aIT,,,,,,,,,
11,adult,rA1,0.017399095,cornet_z_sl,imagenet_oneface,aIT,,,,,,,,,
0,infant,lLO,0.013733356,cornet_z_sl,imagenet_vggface,aIT,,,,,,,,,
1,infant,rLO,0.121273046,cornet_z_sl,imagenet_vggface,aIT,,,,,,,,,
2,infant,lFFA,-0.007679846,cornet_z_sl,imagenet_vggface,aIT,,,,,,,,,
3,infant,rFFA,-0.079960395,cornet_z_sl,imagenet_vggface,aIT,,,,,,,,,
4,infant,lA1,0.0775895,cornet_z_sl,imagenet_vggface,aIT,,,,,,,,,
5,infant,rA1,-0.047885508,cornet_z_sl,imagenet_vggface,aIT,,,,,,,,,
6,adult,lLO,0.050869102,cornet_z_sl,imagenet_vggface,aIT,,,,,,,,,
7,adult,rLO,-0.065279574,cornet_z_sl,imagenet_vggface,aIT,,,,,,,,,
8,adult,lFFA,-0.025253691,cornet_z_sl,imagenet_vggface,aIT,,,,,,,,,
9,adult,rFFA,0.053644528,cornet_z_sl,imagenet_vggface,aIT,,,,,,,,,
10,adult,lA1,-0.022103762,cornet_z_sl,imagenet_vggface,aIT,,,,,,,,,
11,adult,rA1,0.033020985,cornet_z_sl,imagenet_vggface,aIT,,,,,,,,,
0,infant,lLO,0.009825656,cornet_z_sl,vggface_oneobject,aIT,,,,,,,,,
1,infant,rLO,-0.096707243,cornet_z_sl,vggface_oneobject,aIT,,,,,,,,,
2,infant,lFFA,0.018535954,cornet_z_sl,vggface_oneobject,aIT,,,,,,,,,
3,infant,rFFA,0.123914743,cornet_z_sl,vggface_oneobject,aIT,,,,,,,,,
4,infant,lA1,0.025231435,cornet_z_sl,vggface_oneobject,aIT,,,,,,,,,
5,infant,rA1,0.015815508,cornet_z_sl,vggface_oneobject,aIT,,,,,,,,,
6,adult,lLO,0.029599942,cornet_z_sl,vggface_oneobject,aIT,,,,,,,,,
7,adult,rLO,-0.074764459,cornet_z_sl,vggface_oneobject,aIT,,,,,,,,,
8,adult,lFFA,0.07388676,cornet_z_sl,vggface_oneobject,aIT,,,,,,,,,
9,adult,rFFA,0.011614334,cornet_z_sl,vggface_oneobject,aIT,,,,,,,,,
10,adult,lA1,-0.063878081,cornet_z_sl,vggface_oneobject,aIT,,,,,,,,,
11,adult,rA1,-0.030595074,cornet_z_sl,vggface_oneobject,aIT,,,,,,,,,
0,infant,lLO,-0.061625223,cornet_z_sl,vggface,aIT,,,,,,,,,
1,infant,rLO,-0.000477985,cornet_z_sl,vggface,aIT,,,,,,,,,
2,infant,lFFA,0.041057521,cornet_z_sl,vggface,aIT,,,,,,,,,
3,infant,rFFA,0.107580672,cornet_z_sl,vggface,aIT,,,,,,,,,
4,infant,lA1,0.091218772,cornet_z_sl,vggface,aIT,,,,,,,,,
5,infant,rA1,0.057973162,cornet_z_sl,vggface,aIT,,,,,,,,,
