sub,age,roi,corr,seed_age,seed_roi
s0057_1_3,0.75,lLO,0.13912096716771796,adult,lLO
s0057_1_3,0.75,rLO,0.23963071486618048,adult,lLO
s0057_1_3,0.75,lFFA,0.05463934122317005,adult,lLO
s0057_1_3,0.75,rFFA,0.2292892427774416,adult,lLO
s0057_1_3,0.75,lA1,0.15143982392949878,adult,lLO
s0057_1_3,0.75,rA1,0.12387215518708106,adult,lLO
s0607_1_2,1.058333333,lLO,-0.018891009882030872,adult,lLO
s0607_1_2,1.058333333,rLO,0.03872271465050495,adult,lLO
s0607_1_2,1.058333333,lFFA,-0.037300106546445264,adult,lLO
s0607_1_2,1.058333333,rFFA,0.15708235251376892,adult,lLO
s0607_1_2,1.058333333,lA1,0.06180776845135334,adult,lLO
s0607_1_2,1.058333333,rA1,0.10925495782494907,adult,lLO
s1607_1_2,0.891666667,lLO,-0.01599337614355515,adult,lLO
s1607_1_2,0.891666667,rLO,-0.07789030542654313,adult,lLO
s1607_1_2,0.891666667,lFFA,0.2696375386377386,adult,lLO
s1607_1_2,0.891666667,rFFA,0.00617863646791871,adult,lLO
s1607_1_2,0.891666667,lA1,0.13302787553349998,adult,lLO
s1607_1_2,0.891666667,rA1,0.07377057565951967,adult,lLO
s2037_1_1,0.466666667,lLO,0.16724605584571564,adult,lLO
s2037_1_1,0.466666667,rLO,0.19299129319220415,adult,lLO
s2037_1_1,0.466666667,lFFA,0.14948510867285514,adult,lLO
s2037_1_1,0.466666667,rFFA,0.35112737837486274,adult,lLO
s2037_1_1,0.466666667,lA1,0.23469935065950676,adult,lLO
s2037_1_1,0.466666667,rA1,0.3965270219118281,adult,lLO
s2047_1_1,0.391666667,lLO,0.10827598001911212,adult,lLO
s2047_1_1,0.391666667,rLO,0.09727172617501578,adult,lLO
s2047_1_1,0.391666667,lFFA,0.04153490085477672,adult,lLO
s2047_1_1,0.391666667,rFFA,0.22964573247496223,adult,lLO
s2047_1_1,0.391666667,lA1,-0.14227962887947337,adult,lLO
s2047_1_1,0.391666667,rA1,0.09768411588611195,adult,lLO
s2057_1_2,0.641666667,lLO,-0.11583903096047761,adult,lLO
s2057_1_2,0.641666667,rLO,-0.15054043923559687,adult,lLO
s2057_1_2,0.641666667,lFFA,-0.3120830098575192,adult,lLO
s2057_1_2,0.641666667,rFFA,-0.06795902636023488,adult,lLO
s2057_1_2,0.641666667,lA1,0.06822625119798591,adult,lLO
s2057_1_2,0.641666667,rA1,-0.13843628014968828,adult,lLO
s2067_1_1,0.35,lLO,-0.04021434857721493,adult,lLO
s2067_1_1,0.35,rLO,-0.02780389144562505,adult,lLO
s2067_1_1,0.35,lFFA,0.06961456842632396,adult,lLO
s2067_1_1,0.35,rFFA,-0.0535719013706105,adult,lLO
s2067_1_1,0.35,lA1,-0.06142872651646053,adult,lLO
s2067_1_1,0.35,rA1,-0.1408797648315257,adult,lLO
s2097_1_1,0.433333333,lLO,0.06417621413850967,adult,lLO
s2097_1_1,0.433333333,rLO,-0.002818931464048338,adult,lLO
s2097_1_1,0.433333333,lFFA,-0.08580686228087313,adult,lLO
s2097_1_1,0.433333333,rFFA,0.037860479807663806,adult,lLO
s2097_1_1,0.433333333,lA1,-0.0706954443609132,adult,lLO
s2097_1_1,0.433333333,rA1,0.00679653349093641,adult,lLO
s2687_1_3,0.825,lLO,0.2939600825207874,adult,lLO
s2687_1_3,0.825,rLO,0.2853701968540546,adult,lLO
s2687_1_3,0.825,lFFA,0.2989846731073269,adult,lLO
s2687_1_3,0.825,rFFA,0.24690521579451297,adult,lLO
s2687_1_3,0.825,lA1,0.23167976151704095,adult,lLO
s2687_1_3,0.825,rA1,0.2831265197462769,adult,lLO
s3097_1_1,0.325,lLO,0.165431024842205,adult,lLO
s3097_1_1,0.325,rLO,0.0797770618716992,adult,lLO
s3097_1_1,0.325,lFFA,0.28553536064286233,adult,lLO
s3097_1_1,0.325,rFFA,-0.015209018557055046,adult,lLO
s3097_1_1,0.325,lA1,0.1506643574201164,adult,lLO
s3097_1_1,0.325,rA1,0.012234899541039627,adult,lLO
s3607_1_2,0.866666667,lLO,0.1406639057113335,adult,lLO
s3607_1_2,0.866666667,rLO,0.08350493725069555,adult,lLO
s3607_1_2,0.866666667,lFFA,0.2115422495535264,adult,lLO
s3607_1_2,0.866666667,rFFA,0.046085626988583386,adult,lLO
s3607_1_2,0.866666667,lA1,0.05448885199061413,adult,lLO
s3607_1_2,0.866666667,rA1,0.1208091219702512,adult,lLO
s4047_1_1,0.458333333,lLO,-0.07157214473385694,adult,lLO
s4047_1_1,0.458333333,rLO,0.004523458032016443,adult,lLO
s4047_1_1,0.458333333,lFFA,-0.10160479947047257,adult,lLO
s4047_1_1,0.458333333,rFFA,-0.0708877609408464,adult,lLO
s4047_1_1,0.458333333,lA1,-0.08574743403613347,adult,lLO
s4047_1_1,0.458333333,rA1,-0.13706297233723375,adult,lLO
s4607_1_3,0.808333333,lLO,0.010821069039199872,adult,lLO
s4607_1_3,0.808333333,rLO,0.05531219732104117,adult,lLO
s4607_1_3,0.808333333,lFFA,-0.0535634788027165,adult,lLO
s4607_1_3,0.808333333,rFFA,0.02653978162984865,adult,lLO
s4607_1_3,0.808333333,lA1,0.15343449818297267,adult,lLO
s4607_1_3,0.808333333,rA1,-0.0004631406246768527,adult,lLO
s5037_1_1,0.725,lLO,0.11446937450420853,adult,lLO
s5037_1_1,0.725,rLO,0.170830585836862,adult,lLO
s5037_1_1,0.725,lFFA,0.2676317440359911,adult,lLO
s5037_1_1,0.725,rFFA,0.30652211702037757,adult,lLO
s5037_1_1,0.725,lA1,0.14969645424179767,adult,lLO
s5037_1_1,0.725,rA1,0.12940500954513492,adult,lLO
s6057_1_1,0.3,lLO,-0.01256104131431993,adult,lLO
s6057_1_1,0.3,rLO,-0.044235902986126154,adult,lLO
s6057_1_1,0.3,lFFA,-0.06748074333656871,adult,lLO
s6057_1_1,0.3,rFFA,-0.07505751304478346,adult,lLO
s6057_1_1,0.3,lA1,-0.15803275608018086,adult,lLO
s6057_1_1,0.3,rA1,-0.059646234234744286,adult,lLO
s6607_1_2,0.616666667,lLO,-0.0071887386988144985,adult,lLO
s6607_1_2,0.616666667,rLO,0.16156565636203168,adult,lLO
s6607_1_2,0.616666667,lFFA,-0.07636339958217926,adult,lLO
s6607_1_2,0.616666667,rFFA,0.09399491130902506,adult,lLO
s6607_1_2,0.616666667,lA1,0.2076774561430887,adult,lLO
s6607_1_2,0.616666667,rA1,0.1724089264929824,adult,lLO
s6687_1_3,0.941666667,lLO,0.005071639663338151,adult,lLO
s6687_1_3,0.941666667,rLO,-0.021528469034159163,adult,lLO
s6687_1_3,0.941666667,lFFA,-0.11697283313013787,adult,lLO
s6687_1_3,0.941666667,rFFA,0.011639970001247321,adult,lLO
s6687_1_3,0.941666667,lA1,0.11314806724151666,adult,lLO
s6687_1_3,0.941666667,rA1,0.0996083417984763,adult,lLO
s7017_1_1,0.433333333,lLO,0.13773631397039796,adult,lLO
s7017_1_1,0.433333333,rLO,0.2526120518697229,adult,lLO
s7017_1_1,0.433333333,lFFA,0.13556720964227262,adult,lLO
s7017_1_1,0.433333333,rFFA,0.1808604643250435,adult,lLO
s7017_1_1,0.433333333,lA1,0.010299350716017987,adult,lLO
s7017_1_1,0.433333333,rA1,-0.010277774594668575,adult,lLO
s7057_1_1,0.441666667,lLO,0.1732437623162738,adult,lLO
s7057_1_1,0.441666667,rLO,0.089193281433793,adult,lLO
s7057_1_1,0.441666667,lFFA,-0.2619059738290733,adult,lLO
s7057_1_1,0.441666667,rFFA,0.13084879478707007,adult,lLO
s7057_1_1,0.441666667,lA1,0.2296758336657774,adult,lLO
s7057_1_1,0.441666667,rA1,0.32324625076513,adult,lLO
s7067_1_3,0.766666667,lLO,0.1581201782935525,adult,lLO
s7067_1_3,0.766666667,rLO,0.02873697437894578,adult,lLO
s7067_1_3,0.766666667,lFFA,0.45609970708595626,adult,lLO
s7067_1_3,0.766666667,rFFA,0.12375962000368679,adult,lLO
s7067_1_3,0.766666667,lA1,-0.1205917976096475,adult,lLO
s7067_1_3,0.766666667,rA1,-0.14669272726705707,adult,lLO
s8037_1_1,0.666666667,lLO,0.06691462689329179,adult,lLO
s8037_1_1,0.666666667,rLO,-0.0023197873356785095,adult,lLO
s8037_1_1,0.666666667,lFFA,-0.25747079886295743,adult,lLO
s8037_1_1,0.666666667,rFFA,0.13494504856519846,adult,lLO
s8037_1_1,0.666666667,lA1,0.20985098807724256,adult,lLO
s8037_1_1,0.666666667,rA1,0.24979196622943056,adult,lLO
s8077_1_1,0.391666667,lLO,0.007014594325436184,adult,lLO
s8077_1_1,0.391666667,rLO,0.003931233638253831,adult,lLO
s8077_1_1,0.391666667,lFFA,0.1103345662369161,adult,lLO
s8077_1_1,0.391666667,rFFA,-0.028121231034547632,adult,lLO
s8077_1_1,0.391666667,lA1,-0.010443237938738262,adult,lLO
s8077_1_1,0.391666667,rA1,0.02963869970823526,adult,lLO
s8687_1_3,0.916666667,lLO,0.029023428767694634,adult,lLO
s8687_1_3,0.916666667,rLO,-0.1519448199571232,adult,lLO
s8687_1_3,0.916666667,lFFA,0.1359911676510551,adult,lLO
s8687_1_3,0.916666667,rFFA,0.017659787075874418,adult,lLO
s8687_1_3,0.916666667,lA1,0.07276493003621926,adult,lLO
s8687_1_3,0.916666667,rA1,-0.07163119257314576,adult,lLO
s9057_1_1,0.391666667,lLO,-0.16677843092724676,adult,lLO
s9057_1_1,0.391666667,rLO,0.013089131550026376,adult,lLO
s9057_1_1,0.391666667,lFFA,0.0003573832641345885,adult,lLO
s9057_1_1,0.391666667,rFFA,0.08539046136155232,adult,lLO
s9057_1_1,0.391666667,lA1,-0.1811976210110566,adult,lLO
s9057_1_1,0.391666667,rA1,0.16592049135807319,adult,lLO
mov_01,20.0,lLO,0.4134192382942704,adult,lLO
mov_01,20.0,rLO,0.45760491012656157,adult,lLO
mov_01,20.0,lFFA,0.26237500458266216,adult,lLO
mov_01,20.0,rFFA,0.22374965650505815,adult,lLO
mov_01,20.0,lA1,0.09641376798583981,adult,lLO
mov_01,20.0,rA1,0.16663920651574443,adult,lLO
mov_02,20.0,lLO,0.09570449439212574,adult,lLO
mov_02,20.0,rLO,-0.018881480473625534,adult,lLO
mov_02,20.0,lFFA,-0.06163148812746489,adult,lLO
mov_02,20.0,rFFA,0.11132432718370873,adult,lLO
mov_02,20.0,lA1,0.1024181318036399,adult,lLO
mov_02,20.0,rA1,0.0943971430192741,adult,lLO
mov_03,19.0,lLO,0.30253418687898814,adult,lLO
mov_03,19.0,rLO,0.31630861217477135,adult,lLO
mov_03,19.0,lFFA,0.3956527000151244,adult,lLO
mov_03,19.0,rFFA,0.35635147175054627,adult,lLO
mov_03,19.0,lA1,0.0692256568824256,adult,lLO
mov_03,19.0,rA1,0.21603397526819745,adult,lLO
mov_04,21.0,lLO,0.3844170563939703,adult,lLO
mov_04,21.0,rLO,0.4059593817653908,adult,lLO
mov_04,21.0,lFFA,0.35516301152569285,adult,lLO
mov_04,21.0,rFFA,0.1172159090728459,adult,lLO
mov_04,21.0,lA1,0.12865508104732737,adult,lLO
mov_04,21.0,rA1,0.05270315667365166,adult,lLO
mov_05,21.0,lLO,0.3482706121069325,adult,lLO
mov_05,21.0,rLO,0.21706719299033767,adult,lLO
mov_05,21.0,lFFA,0.17156592899897571,adult,lLO
mov_05,21.0,rFFA,0.06377487990790441,adult,lLO
mov_05,21.0,lA1,0.07662929884049681,adult,lLO
mov_05,21.0,rA1,0.06960504658771513,adult,lLO
mov_06,18.0,lLO,0.259958012592423,adult,lLO
mov_06,18.0,rLO,0.08103038458220237,adult,lLO
mov_06,18.0,lFFA,0.324996720965146,adult,lLO
mov_06,18.0,rFFA,0.14126054328379398,adult,lLO
mov_06,18.0,lA1,0.14861752896264346,adult,lLO
mov_06,18.0,rA1,0.14134978135660764,adult,lLO
mov_07,23.0,lLO,0.33754049328990277,adult,lLO
mov_07,23.0,rLO,0.265001315021643,adult,lLO
mov_07,23.0,lFFA,0.3514818323114598,adult,lLO
mov_07,23.0,rFFA,0.1783095714978815,adult,lLO
mov_07,23.0,lA1,0.02187806734515582,adult,lLO
mov_07,23.0,rA1,0.02804744922003001,adult,lLO
