,age,roi,corr,seed_age,seed_roi
0,infant,lLO,-0.0737236060009231,adult,lLO
1,infant,rLO,-0.07530247726922885,adult,lLO
2,infant,lFFA,0.04924827958534013,adult,lLO
3,infant,rFFA,0.049536939664802215,adult,lLO
4,infant,lA1,0.013359868125867608,adult,lLO
5,infant,rA1,-0.10235330860223427,adult,lLO
0,infant,lLO,0.023018850420004382,adult,rLO
1,infant,rLO,-0.05420884821755,adult,rLO
2,infant,lFFA,0.0023980242978048905,adult,rLO
3,infant,rFFA,-0.04023400656434503,adult,rLO
4,infant,lA1,-0.07285530177416848,adult,rLO
5,infant,rA1,-0.06456479875681022,adult,rLO
0,infant,lLO,-0.024217777988700347,adult,lFFA
1,infant,rLO,0.09603655420689408,adult,lFFA
2,infant,lFFA,-0.036503591072577904,adult,lFFA
3,infant,rFFA,0.0018006040101616605,adult,lFFA
4,infant,lA1,0.05479680919283279,adult,lFFA
5,infant,rA1,0.032225137125794556,adult,lFFA
0,infant,lLO,-0.09016411581280634,adult,rFFA
1,infant,rLO,-0.059629373183940584,adult,rFFA
2,infant,lFFA,-0.05583733193918247,adult,rFFA
3,infant,rFFA,0.008698669077412392,adult,rFFA
4,infant,lA1,-0.1161349316755125,adult,rFFA
5,infant,rA1,-0.13914881713684712,adult,rFFA
0,infant,lLO,-0.07653330832919969,adult,lA1
1,infant,rLO,-0.12150461646973823,adult,lA1
2,infant,lFFA,0.09227112339531672,adult,lA1
3,infant,rFFA,-0.042540230896480194,adult,lA1
4,infant,lA1,-0.05071472968672969,adult,lA1
5,infant,rA1,-0.1706001511466815,adult,lA1
0,infant,lLO,-0.07160066982030441,adult,rA1
1,infant,rLO,-0.04851082521692052,adult,rA1
2,infant,lFFA,-0.018197786858421286,adult,rA1
3,infant,rFFA,-0.05152344941058852,adult,rA1
4,infant,lA1,0.0095404969974014,adult,rA1
5,infant,rA1,-0.05495105356489365,adult,rA1
