age,roi,corr,seed_age,seed_roi,se
infant,lLO,0.044141042587309755,adult,lLO,0.012649943961224343
infant,rLO,0.030753246452482213,adult,lLO,0.019159909239727192
infant,lFFA,0.011290883663573387,adult,lLO,0.01178868023447943
infant,rFFA,0.03388471551196455,adult,lLO,0.013327698515122948
infant,lA1,0.018175044432780212,adult,lLO,0.006445723194032651
infant,rA1,0.0107775940532095,adult,lLO,0.009141032387680284
adult,lLO,0.07783546831665764,adult,lLO,0.015554010131312121
adult,rLO,0.12027267149086651,adult,lLO,0.010749765566158993
adult,lFFA,0.07464818355818956,adult,lLO,0.020443683907932556
adult,rFFA,0.06399874528061092,adult,lLO,0.01981811133875378
adult,lA1,0.06606318110048554,adult,lLO,0.007122124119040983
adult,rA1,0.053268263699983075,adult,lLO,0.011030268454187558
infant,lLO,0.016556732234286914,adult,rLO,0.013035443954241915
infant,rLO,0.009488656913416441,adult,rLO,0.012722177821071963
infant,lFFA,-0.009773982375344891,adult,rLO,0.011032711002105813
infant,rFFA,0.01557123532637127,adult,rLO,0.009167389952012382
infant,lA1,0.010690526432258705,adult,rLO,0.006759137931336427
infant,rA1,0.017975461366466192,adult,rLO,0.009968843166480992
adult,lLO,0.0662438140495992,adult,rLO,0.01519273613769409
adult,rLO,0.11382213719633491,adult,rLO,0.012375478928286457
adult,lFFA,0.04844711676716199,adult,rLO,0.013824209738137264
adult,rFFA,0.054490967782977906,adult,rLO,0.016474350222829323
adult,lA1,0.035022080371900556,adult,rLO,0.014280168840758261
adult,rA1,0.05797124352651176,adult,rLO,0.011968097156610418
infant,lLO,0.007150241729305141,adult,lFFA,0.009636146273069874
infant,rLO,0.012502341528218209,adult,lFFA,0.011544925094354922
infant,lFFA,0.01148921552520853,adult,lFFA,0.01025233455906209
infant,rFFA,0.0005166559636950667,adult,lFFA,0.012913676497133581
infant,lA1,0.003405158116970026,adult,lFFA,0.010489739249565653
infant,rA1,0.009334722642845874,adult,lFFA,0.009079217218366565
adult,lLO,0.08366474015921965,adult,lFFA,0.014125932268120199
adult,rLO,0.06397401883267458,adult,lFFA,0.006649212607519742
adult,lFFA,0.09840931493909526,adult,lFFA,0.017654331283277647
adult,rFFA,0.07077677389808942,adult,lFFA,0.011777696057513876
adult,lA1,0.023985471072246488,adult,lFFA,0.012414950019318914
adult,rA1,0.05160574696457785,adult,lFFA,0.008670502845443875
infant,lLO,0.009545023957208926,adult,rFFA,0.018180422945352232
infant,rLO,0.04451627950520901,adult,rFFA,0.008205621299069356
infant,lFFA,0.016416392485710952,adult,rFFA,0.01262966462440022
infant,rFFA,0.036830544711904264,adult,rFFA,0.01280637894997806
infant,lA1,0.04084697654203488,adult,rFFA,0.009319462860281154
infant,rA1,0.00717675303480908,adult,rFFA,0.011720167575958031
adult,lLO,0.08610457628111265,adult,rFFA,0.010613967359198477
adult,rLO,0.07559846771500331,adult,rFFA,0.012793154242925616
adult,lFFA,0.03746754253303349,adult,rFFA,0.008993611102176153
adult,rFFA,0.06672723942318522,adult,rFFA,0.009574599252878192
adult,lA1,0.02618216856161376,adult,rFFA,0.010849718586699206
adult,rA1,0.060983798128017776,adult,rFFA,0.008138541700017028
