,age,roi,corr,seed_age,seed_roi
0,3,lLO,-0.07491443022894766,18,lLO
1,3,rLO,-0.04567362153261656,18,lLO
2,3,lFFA,0.05627993705388393,18,lLO
3,3,rFFA,-0.005516485834254627,18,lLO
4,3,lA1,-0.04640538068756725,18,lLO
5,3,rA1,0.005344727185191757,18,lLO
6,4,lLO,0.1112839526228048,18,lLO
7,4,rLO,0.058435427615094154,18,lLO
8,4,lFFA,0.024063324520503204,18,lLO
9,4,rFFA,0.08015527342955417,18,lLO
10,4,lA1,0.040432627761312734,18,lLO
11,4,rA1,0.04006273401686983,18,lLO
12,5,lLO,0.1696901495534601,18,lLO
13,5,rLO,0.14004726174916138,18,lLO
14,5,lFFA,0.1669608652306438,18,lLO
15,5,rFFA,0.061231804802985054,18,lLO
16,5,lA1,0.08020735661309822,18,lLO
17,5,rA1,0.06813559700987531,18,lLO
18,18,lLO,0.3989507117545065,18,lLO
19,18,rLO,0.2784402921367346,18,lLO
20,18,lFFA,0.08483282582268412,18,lLO
21,18,rFFA,0.14060076098746876,18,lLO
22,18,lA1,0.1205820472906537,18,lLO
23,18,rA1,0.05751272714421492,18,lLO
0,3,lLO,-0.039032736988318835,18,rLO
1,3,rLO,-0.07034803181612237,18,rLO
2,3,lFFA,-0.03687689264990763,18,rLO
3,3,rFFA,-0.05101739663283658,18,rLO
4,3,lA1,0.034615997097845456,18,rLO
5,3,rA1,-0.02385872964118526,18,rLO
6,4,lLO,0.08182245966886102,18,rLO
7,4,rLO,0.09891746642741009,18,rLO
8,4,lFFA,0.02072069452163253,18,rLO
9,4,rFFA,0.02626053774628543,18,rLO
10,4,lA1,0.04645682267766875,18,rLO
11,4,rA1,0.06144629978822684,18,rLO
12,5,lLO,0.16710304608571996,18,rLO
13,5,rLO,0.1630433192929392,18,rLO
14,5,lFFA,0.07971885711299181,18,rLO
15,5,rFFA,0.03807392686075352,18,rLO
16,5,lA1,0.1140399667664424,18,rLO
17,5,rA1,0.15985701358645998,18,rLO
18,18,lLO,0.27773571199273095,18,rLO
19,18,rLO,0.445204477878904,18,rLO
20,18,lFFA,0.07828120191768217,18,rLO
21,18,rFFA,0.16546413895271767,18,rLO
22,18,lA1,0.11706297181881783,18,rLO
23,18,rA1,0.047314807535984604,18,rLO
0,3,lLO,-0.004334800775110555,18,lFFA
1,3,rLO,-0.0644475998208248,18,lFFA
2,3,lFFA,0.01479698376489398,18,lFFA
3,3,rFFA,-0.041551795879367574,18,lFFA
4,3,lA1,-0.004024403558842555,18,lFFA
5,3,rA1,0.004946489192010871,18,lFFA
6,4,lLO,0.020079382495065735,18,lFFA
7,4,rLO,0.05533577566779452,18,lFFA
8,4,lFFA,-0.07748846463642634,18,lFFA
9,4,rFFA,0.0742178984571131,18,lFFA
10,4,lA1,0.07555316158030181,18,lFFA
11,4,rA1,0.012539883473371831,18,lFFA
12,5,lLO,0.07126855252006692,18,lFFA
