,age,model,epoch,noise_ceil,noise_ceil_se,fit,fit_se
0,3yo,random,0,0.650813934948567,0.021889445203179595,0.07367677161332721,0.021054236477535338
1,3yo,imagenet_objects,0,0.6244951630756603,0.024130102391785778,-0.017745978863392093,0.018346085363990062
2,3yo,imagenet_objects,1,0.6291821363030916,0.017673557440235965,0.24158065934561118,0.014281114470136146
3,3yo,imagenet_objects,5,0.6492367337606155,0.0202358787530197,0.20975870907594454,0.023844198738832652
4,3yo,imagenet_objects,10,0.6376841258362729,0.026045081910782825,0.13624524575535943,0.027619057656920548
5,3yo,imagenet_objects,15,0.6467511689870609,0.026180488882925304,0.2347356156333915,0.027706225511133928
6,3yo,imagenet_objects,20,0.659315696769424,0.018392066943011032,0.28324342689726906,0.02198666802278376
7,3yo,imagenet_objects,25,0.6544159375409394,0.021186529639438404,0.2524293497712414,0.023698106005919397
8,3yo,imagenet_objects,30,0.6133139606988324,0.01808832683154583,0.24381165819130218,0.02713716622805486
9,3yo,imagenet_oneface,0,0.6305354383951379,0.018549749695457352,0.06655377861895848,0.0228851902176143
10,3yo,imagenet_oneface,1,0.6203986063397492,0.022444750790635404,-0.10601308463902682,0.012030000650736
11,3yo,imagenet_oneface,5,0.6236011735337499,0.023333730665115418,0.21878824548259915,0.026370829135046472
12,3yo,imagenet_oneface,10,0.5972453207735781,0.018253853038917696,0.17729531090224676,0.020502970093106747
13,3yo,imagenet_oneface,15,0.6020078275470377,0.02345175585489762,0.18317280112676065,0.03050874540698847
14,3yo,imagenet_oneface,20,0.6326434133971414,0.019670524055427893,0.2781553257407301,0.017771587532862464
15,3yo,imagenet_oneface,25,0.6568046318340062,0.018367259447022447,0.2525394828011973,0.022986537624873148
16,3yo,imagenet_oneface,30,0.6301497058608226,0.016788708210638305,0.2979073750710455,0.02222363959622486
17,3yo,vggface,0,0.6576596893534801,0.017154159175499523,-0.01377695036609566,0.019104555303263937
18,3yo,vggface,1,0.644298451981469,0.027875251678031242,-0.03172013025253153,0.022342081962278937
19,3yo,vggface,5,0.6444789784525361,0.022303430226163688,0.022499842330139803,0.019558862209284728
20,3yo,vggface,10,0.6603583393436872,0.012771190882112222,-0.04180905332313995,0.020507750043237568
21,3yo,vggface,15,0.6327940713448743,0.017201302507001675,-0.10599785757424911,0.015397969969500885
22,3yo,vggface,20,0.6543342482790205,0.019290178985342032,-0.0080008412502006,0.022148305451090835
23,3yo,vggface,25,0.6307882706188139,0.01891544648641314,0.009900325459023945,0.02337026539356794
24,3yo,vggface,30,0.6090073765376935,0.02639099497240985,-0.016782316583958953,0.025542904111755513
25,4yo,random,0,0.4746534702049008,0.03389499644815728,-0.13454565135533594,0.018604475894093454
26,4yo,imagenet_objects,0,0.5012322917604073,0.025209771840584094,-0.022409348350526083,0.01901631818220014
27,4yo,imagenet_objects,1,0.5328261097189533,0.027630059177929392,0.18373777510724143,0.02185216461678623
28,4yo,imagenet_objects,5,0.5529751012134909,0.029391329638002738,0.08455891547894262,0.02532662551316981
29,4yo,imagenet_objects,10,0.5460480737479687,0.022009618223657334,0.0637677371578557,0.02752494377695254
30,4yo,imagenet_objects,15,0.48296376820427595,0.027130749018006176,0.1991132916834856,0.028110086567724915
31,4yo,imagenet_objects,20,0.559239863850692,0.01535169767246515,0.1807404608775633,0.023499122560198687
32,4yo,imagenet_objects,25,0.561308902108752,0.01878504628594885,0.18442747827103145,0.025108859250957783
33,4yo,imagenet_objects,30,0.5191070013087092,0.02491955259600227,0.15439371000061905,0.025578930447048277
34,4yo,imagenet_oneface,0,0.5181960342510341,0.0210540638716805,-0.12307072669893102,0.013704508686926187
35,4yo,imagenet_oneface,1,0.5740817237097018,0.016591812973470153,0.004263452751722194,0.021744049688313363
36,4yo,imagenet_oneface,5,0.5363325042452384,0.019297487832132237,0.1618674316052924,0.02479045821144327
37,4yo,imagenet_oneface,10,0.5220781841088938,0.028213582527306273,0.1830847649654538,0.029871022126081753
38,4yo,imagenet_oneface,15,0.5402269305316093,0.02801511420865283,0.1492749001707292,0.031003337033945946
39,4yo,imagenet_oneface,20,0.5302408856903602,0.02566310278077831,0.1834299393009521,0.02524846824469469
40,4yo,imagenet_oneface,25,0.5158824684658191,0.02765439109762108,0.20904869898220865,0.028794547233855022
41,4yo,imagenet_oneface,30,0.5319388654372531,0.02694525544382665,0.17728497605324808,0.03123391918681903
42,4yo,vggface,0,0.5000417993597255,0.025659495323831365,-0.053373299790951546,0.015645199236331578
43,4yo,vggface,1,0.46208966989556194,0.032471619843829694,-0.034572081974101804,0.028189728446954037
44,4yo,vggface,5,0.5438509672601878,0.022626263418263584,-0.04131690347567612,0.01681529003250049
45,4yo,vggface,10,0.5222662347870091,0.022715802930011762,-0.045414322479693285,0.028187740275928613
46,4yo,vggface,15,0.5338504608196987,0.02507432608379127,-0.010712688949550735,0.02452791362571348
47,4yo,vggface,20,0.4991647352654052,0.02368889666148209,-0.04713288845513928,0.024772349189844927
48,4yo,vggface,25,0.48027394763339576,0.029954692816352366,-0.07410170117209151,0.022563135013907696
49,4yo,vggface,30,0.5526433880018178,0.01858459785478169,-0.060268651407473076,0.022546766523730822
50,5yo,random,0,0.9292887870992144,0.0035705436603773945,0.1366151142125596,0.012729191676119056
51,5yo,imagenet_objects,0,0.9304886786744841,0.003193371883254816,0.01319781729150283,0.013616971036373778
52,5yo,imagenet_objects,1,0.9227659540434427,0.003883688942554443,0.3229403221970528,0.009157009743898744
53,5yo,imagenet_objects,5,0.9295371894172909,0.004140625971508755,0.37410828840269467,0.00823845572619271
54,5yo,imagenet_objects,10,0.9248876605042261,0.004050586956183411,0.3419395691836062,0.011962564962872634
55,5yo,imagenet_objects,15,0.9244899120081748,0.004888810655000228,0.3872035355008952,0.00924634349105746
56,5yo,imagenet_objects,20,0.9285408059449133,0.0035004508429552226,0.4070717051277972,0.010255125698445071
57,5yo,imagenet_objects,25,0.9191933210717423,0.007531370662285198,0.41093942425242713,0.009881710961967771
58,5yo,imagenet_objects,30,0.9290681515826772,0.0032195401754094373,0.39682447562724904,0.008735266964737299
59,5yo,imagenet_oneface,0,0.922332362306171,0.004163561813329037,0.17062754339605632,0.015568571358296748
60,5yo,imagenet_oneface,1,0.9252124466817518,0.0043453963686378265,0.11171136647963523,0.013002472665779903
61,5yo,imagenet_oneface,5,0.9292015927294592,0.0036801240993643517,0.38522034083103507,0.007275841297593811
62,5yo,imagenet_oneface,10,0.9275833272898243,0.0039091982854600445,0.3671631533602181,0.008453865740634357
