model_arch,train_type,test_stim,test_cond,fold_n,acc
cornet_z_sl,imagenet_vggface,faces,upright,1,0.7603305785123967
cornet_z_sl,imagenet_vggface,faces,upright,2,0.7768595041322314
cornet_z_sl,imagenet_vggface,faces,upright,3,0.7851239669421488
cornet_z_sl,imagenet_vggface,faces,upright,4,0.8099173553719008
cornet_z_sl,imagenet_vggface,faces,upright,5,0.8099173553719008
