model_arch,train_type,test_stim,test_cond,fold_n,acc
cornet_z_sl,imagenet_vggface,objects,upright,1,0.7215601300108342
cornet_z_sl,imagenet_vggface,objects,upright,2,0.7215601300108342
cornet_z_sl,imagenet_vggface,objects,upright,3,0.6971830985915493
cornet_z_sl,imagenet_vggface,objects,upright,4,0.7215601300108342
cornet_z_sl,imagenet_vggface,objects,upright,5,0.7280606717226435
