age,roi,corr,se,ci_low,ci_high,architecture,train_type,layer
infant,FFA,0.028365939665890728,0.006931965469231308,-0.3261808370859139,0.38284359149053016,cornet_z_sl,imagenet_noface,aIT
infant,A1,-0.013195853983890104,0.004982916034784526,-0.2569788930993668,0.2644412051030348,cornet_z_sl,imagenet_noface,aIT
infant,EVC,0.10734484415332372,0.007047812205647447,-0.26330690433867265,0.4648557102593545,cornet_z_sl,imagenet_noface,aIT
adult,FFA,0.3759939766043162,0.00544863501862137,-0.003920342693956064,0.5528202457939093,cornet_z_sl,imagenet_noface,aIT
adult,A1,0.09351358571493366,0.004538965086112421,-0.1790477583939704,0.29639995605483216,cornet_z_sl,imagenet_noface,aIT
adult,EVC,0.5194788559396575,0.005412951261236049,0.21790824202793932,0.7361040324207955,cornet_z_sl,imagenet_noface,aIT
