age,roi,corr,se,ci_low,ci_high,isc,architecture,train_type,layer
infant,FFA,0.1875659190736206,0.015884874602876683,-0.13419380367796976,0.38490613712794725,0.32633792139641765,cornet_z_sl,imagenet_vggface,V4
infant,A1,0.04697362686193793,0.014279157448756945,-0.1628242632311584,0.25054190833841056,0.11172554718388567,cornet_z_sl,imagenet_vggface,V4
infant,EVC,0.1405504861912504,0.01701410728234796,-0.19362446500466102,0.3643813168551944,0.5764927278638691,cornet_z_sl,imagenet_vggface,V4
infant,lFFA,0.21176040960548673,0.014403018045359362,-0.017980613814795123,0.4323038269448556,0.22828665140252824,cornet_z_sl,imagenet_vggface,V4
infant,lA1,0.11074471205064938,0.016907510669056214,-0.14403700477988934,0.38841094301314305,0.160972660287435,cornet_z_sl,imagenet_vggface,V4
infant,lEVC,0.15060641081228923,0.01752574496972386,-0.17132125296258607,0.3942189125789733,0.5552648920195317,cornet_z_sl,imagenet_vggface,V4
infant,rFFA,0.12295989099745175,0.017958792288440543,-0.17930941450264737,0.3790437545375637,0.3239995460233539,cornet_z_sl,imagenet_vggface,V4
infant,rA1,-0.010736885280709776,0.0157041804718723,-0.2338542027069944,0.2479295489445959,0.004413213244514862,cornet_z_sl,imagenet_vggface,V4
infant,rEVC,0.13828063564445395,0.015038165222256702,-0.17099439504903802,0.3224881744691185,0.5642190427783971,cornet_z_sl,imagenet_vggface,V4
adult,FFA,0.1423011224791427,0.01389053639530841,-0.23972405216403517,0.28611377396911386,0.7680515015985471,cornet_z_sl,imagenet_vggface,V4
adult,A1,0.14972420588943802,0.016124295281797107,-0.1434758333201991,0.3597124860132999,0.7177304946189179,cornet_z_sl,imagenet_vggface,V4
adult,EVC,0.6223788544334967,0.00514272566649658,0.5304338055746426,0.702374914489333,0.8922874248241546,cornet_z_sl,imagenet_vggface,V4
adult,lFFA,0.07925035133549495,0.016180128856619354,-0.289466617504726,0.2509046700797855,0.7378744101147009,cornet_z_sl,imagenet_vggface,V4
adult,lA1,0.16407207039934213,0.01580187478021001,-0.1603971465585267,0.36660816629252824,0.6915866621769644,cornet_z_sl,imagenet_vggface,V4
adult,lEVC,0.623409599083075,0.00617713218394367,0.5160390219555971,0.7155093754033726,0.8985612453353349,cornet_z_sl,imagenet_vggface,V4
adult,rFFA,0.18846379050827808,0.009106125141761623,0.047218613633057134,0.3063975148577041,0.7554493909740522,cornet_z_sl,imagenet_vggface,V4
adult,rA1,0.13096420658258665,0.01538952394190474,-0.18139752935251982,0.3409085856572227,0.6835483088283284,cornet_z_sl,imagenet_vggface,V4
adult,rEVC,0.6069990820875416,0.005807780333822709,0.4833861441920049,0.684638194140945,0.8659106322923864,cornet_z_sl,imagenet_vggface,V4
