age,roi,corr,se,ci_low,ci_high,isc,architecture,train_type,layer
infant,FFA,0.010708733218107504,0.015073002514676765,-0.25583580492589914,0.2624631786249268,0.32633792139641765,cornet_z_sl,vggface_oneobject,aIT
infant,A1,0.04624709482652353,0.015884389045382245,-0.21387815442237593,0.3009542131115882,0.11172554718388567,cornet_z_sl,vggface_oneobject,aIT
infant,EVC,0.08322283461935336,0.013325519816361662,-0.1392807985681622,0.28855647546863217,0.5764927278638691,cornet_z_sl,vggface_oneobject,aIT
infant,lFFA,-0.059442664022213626,0.013294697261249855,-0.27908896400363575,0.1296152775638904,0.22828665140252824,cornet_z_sl,vggface_oneobject,aIT
infant,lA1,0.010419227907820976,0.011536847654385129,-0.16511647070613372,0.17899119317662412,0.160972660287435,cornet_z_sl,vggface_oneobject,aIT
infant,lEVC,0.14926267958976921,0.013727795501691512,-0.08784197106808372,0.3548626929443605,0.5552648920195317,cornet_z_sl,vggface_oneobject,aIT
infant,rFFA,0.002394097168022615,0.013671150903851337,-0.22467933963450423,0.2136543436409215,0.3239995460233539,cornet_z_sl,vggface_oneobject,aIT
infant,rA1,0.02890050176100888,0.015319795998946182,-0.2710206062760883,0.25316583830660655,0.004413213244514862,cornet_z_sl,vggface_oneobject,aIT
infant,rEVC,0.00783181207401861,0.014354833727892447,-0.26666047159258766,0.22900651926542195,0.5642190427783971,cornet_z_sl,vggface_oneobject,aIT
adult,FFA,0.19678288012552375,0.009979861621629458,-0.01980348326182545,0.32012670519128145,0.7680515015985471,cornet_z_sl,vggface_oneobject,aIT
adult,A1,0.0857739254127763,0.01393218106792662,-0.16156533612795584,0.27203685178254633,0.7177304946189179,cornet_z_sl,vggface_oneobject,aIT
adult,EVC,0.3908755865204887,0.006631205335516195,0.2761401317255786,0.4898759511549433,0.8922874248241546,cornet_z_sl,vggface_oneobject,aIT
adult,lFFA,0.18888335062484748,0.012864732378301515,0.020422974576539,0.3559093924413239,0.7378744101147009,cornet_z_sl,vggface_oneobject,aIT
adult,lA1,0.1185075070240028,0.015060654392898993,-0.187609556445829,0.30816611759916374,0.6915866621769644,cornet_z_sl,vggface_oneobject,aIT
adult,lEVC,0.5095861977728161,0.008547258952695381,0.35402888591132864,0.638135224893863,0.8985612453353349,cornet_z_sl,vggface_oneobject,aIT
adult,rFFA,0.19487169196918128,0.01011939328017367,0.01948551444708905,0.3438904264480316,0.7554493909740522,cornet_z_sl,vggface_oneobject,aIT
adult,rA1,0.06386149253214773,0.011630821564287689,-0.1332863678480161,0.22971267337746382,0.6835483088283284,cornet_z_sl,vggface_oneobject,aIT
adult,rEVC,0.42998254328348584,0.008706259620109786,0.284511890336375,0.5623936805929841,0.8659106322923864,cornet_z_sl,vggface_oneobject,aIT
