age,roi,corr,se,ci_low,ci_high,architecture,train_type,layer
5,LOC,0.03170421410903629,0.011057920227056536,-0.08622028635226676,0.15829989662963226,cornet_z_sl,vggface,aIT
5,FFA,0.11898137392232186,0.012693235229174501,-0.037299550937096596,0.22054352900077265,cornet_z_sl,vggface,aIT
5,A1,0.10741382388895611,0.010290157486294495,-0.028996634618294624,0.19895562218260884,cornet_z_sl,vggface,aIT
5,EVC,0.03784813678358706,0.016567435081279273,-0.14762286230737678,0.19860854189526359,cornet_z_sl,vggface,aIT
6,LOC,0.0074546219642785206,0.010770411404945203,-0.1316846339810083,0.13028973203931782,cornet_z_sl,vggface,aIT
6,FFA,0.03988826415861138,0.014668419138780722,-0.09464556509821109,0.2065454918099487,cornet_z_sl,vggface,aIT
6,A1,0.11791061292596783,0.01140092978558503,-0.04339191685482451,0.21431216834370026,cornet_z_sl,vggface,aIT
6,EVC,-0.019162934309248533,0.014296576325173315,-0.22264377592382614,0.11074962956129845,cornet_z_sl,vggface,aIT
7,LOC,0.04540985247834093,0.012833335935157647,-0.09625180837401762,0.19335242946029715,cornet_z_sl,vggface,aIT
7,FFA,0.08130277750829286,0.01072216486358855,-0.05387735764959952,0.18731817666140702,cornet_z_sl,vggface,aIT
7,A1,0.1968867797462071,0.010476939829387426,0.09782387418186145,0.2889082521189626,cornet_z_sl,vggface,aIT
7,EVC,-0.0023370989505869695,0.011623024954753182,-0.17461415704519265,0.10756672673796112,cornet_z_sl,vggface,aIT
18,LOC,0.11270732610094406,0.007329531493888365,0.038016034298373386,0.2084322266737654,cornet_z_sl,vggface,aIT
18,FFA,0.2410784418599743,0.008447003434074288,0.1077466458948817,0.307437146246831,cornet_z_sl,vggface,aIT
18,A1,0.22251612052939143,0.005531482654695129,0.15706519226603077,0.27435262673805705,cornet_z_sl,vggface,aIT
18,EVC,0.09037475357190904,0.02180468608037045,-0.18521099755572384,0.2541669163954911,cornet_z_sl,vggface,aIT
