age,roi,corr,se,ci_low,ci_high,architecture,train_type,layer
infant,LOC,0.21471567414805415,0.02688562473473973,-0.17251299815272497,0.4836083713664528,cornet_z_sl,vggface_oneobject,decoder
infant,FFA,0.22416933097125813,0.02494256251420593,-0.08214742670717468,0.4500459844614721,cornet_z_sl,vggface_oneobject,decoder
infant,A1,0.04769966677432189,0.01975530022114021,-0.15202572141627219,0.28208998830279236,cornet_z_sl,vggface_oneobject,decoder
infant,EVC,0.16915375800210244,0.019978142650013433,-0.051888783503433115,0.36403710714985255,cornet_z_sl,vggface_oneobject,decoder
infant,lLOC,0.26438932759314127,0.024929245122099368,-0.08191528857291272,0.4965475026698352,cornet_z_sl,vggface_oneobject,decoder
infant,lFFA,0.28192472701668875,0.027877066869693434,-0.061224746870878366,0.5628684173871228,cornet_z_sl,vggface_oneobject,decoder
infant,lA1,0.08998905548209611,0.01705443079688104,-0.11910679141272679,0.2638242663950967,cornet_z_sl,vggface_oneobject,decoder
infant,lEVC,0.19902852822002381,0.01819719333129967,-0.02838527877150403,0.40772498390331197,cornet_z_sl,vggface_oneobject,decoder
infant,rLOC,0.09649026645225878,0.01934942516825959,-0.1263366324629506,0.31607427490426615,cornet_z_sl,vggface_oneobject,decoder
infant,rFFA,0.1523612887248804,0.01798682578480446,-0.06698301627679389,0.32775558147648093,cornet_z_sl,vggface_oneobject,decoder
infant,rA1,-0.051001908225380914,0.018683586803220992,-0.2617406660431503,0.1602445600470735,cornet_z_sl,vggface_oneobject,decoder
infant,rEVC,0.10420068708162847,0.01919536553935904,-0.13409861105987658,0.2865908250171303,cornet_z_sl,vggface_oneobject,decoder
adult,LOC,0.38966334116057205,0.010053740171670936,0.23852614971355887,0.4732863850545493,cornet_z_sl,vggface_oneobject,decoder
adult,FFA,0.3899605685140271,0.019697888030190663,0.01935833691082031,0.4771156088207975,cornet_z_sl,vggface_oneobject,decoder
adult,A1,0.04590126032803257,0.02548370672767622,-0.25915700982223244,0.2695685871111359,cornet_z_sl,vggface_oneobject,decoder
adult,EVC,0.30189465234230656,0.007163974650989445,0.22243071367633627,0.36685288614337536,cornet_z_sl,vggface_oneobject,decoder
adult,lLOC,0.3305415865323418,0.015715599168734423,0.1072853744726749,0.45877442653747436,cornet_z_sl,vggface_oneobject,decoder
adult,lFFA,0.37300672682639757,0.0188161858448044,0.003611927474425517,0.45397257300119326,cornet_z_sl,vggface_oneobject,decoder
adult,lA1,0.09632383665233438,0.02297706363100345,-0.23818324989177092,0.27465898588236304,cornet_z_sl,vggface_oneobject,decoder
adult,lEVC,0.3410977003069972,0.007873603099367774,0.28132501068051785,0.40528258106700166,cornet_z_sl,vggface_oneobject,decoder
adult,rLOC,0.3580223492099621,0.013437911151746116,0.12895872930387692,0.4503258221783342,cornet_z_sl,vggface_oneobject,decoder
adult,rFFA,0.3900366805056465,0.01585889688280366,0.14074165431767996,0.48445581730761816,cornet_z_sl,vggface_oneobject,decoder
adult,rA1,-0.013542558423527928,0.02496665771869539,-0.2810964456624225,0.23336356428660662,cornet_z_sl,vggface_oneobject,decoder
adult,rEVC,0.2501341817808788,0.009749692165853321,0.13588937407775836,0.3280017372382015,cornet_z_sl,vggface_oneobject,decoder
