age,roi,corr,se,ci_low,ci_high,architecture,train_type,layer
infant,LOC,0.019058960738062954,0.03354415794708096,-0.39092990400418526,0.33710630224453486,cornet_z_sl,imagenet_oneface,V1
infant,FFA,0.25327409136286055,0.033281841488892565,-0.2111922643688888,0.5560898235648067,cornet_z_sl,imagenet_oneface,V1
infant,A1,-0.020366293380790657,0.023583490665954762,-0.3302414853773669,0.20734692375863456,cornet_z_sl,imagenet_oneface,V1
infant,EVC,0.3245491092207297,0.024984596553684728,0.058049031926991165,0.544878450724996,cornet_z_sl,imagenet_oneface,V1
adult,LOC,0.4417061888484312,0.024354091006782982,0.10038108808114601,0.6862582358874987,cornet_z_sl,imagenet_oneface,V1
adult,FFA,0.3480684317913164,0.030475615561471395,-0.07037956729938197,0.6156172680488267,cornet_z_sl,imagenet_oneface,V1
adult,A1,0.05385999711207795,0.028038909638970898,-0.3120964359731585,0.31118687729065664,cornet_z_sl,imagenet_oneface,V1
adult,EVC,0.34377239663170606,0.02470300834588859,0.059007245976715215,0.5928521000403081,cornet_z_sl,imagenet_oneface,V1
