age,roi,corr,se,ci_low,ci_high,architecture,train_type,layer
infant,FFA,0.22037507576298823,0.05492167124436802,0.076833323541156,0.31285403026379144,cornet_z_sl,vggface,aIT
infant,A1,-0.1442123928749066,0.12840270500440396,-0.4085235889350881,0.1744526177198648,cornet_z_sl,vggface,aIT
adult,FFA,0.5111461688746505,0.0882046138931511,0.2826117361483149,0.6707731265248835,cornet_z_sl,vggface,aIT
adult,A1,0.3370950057000599,0.01330550468925591,0.31128811104107623,0.372321923631846,cornet_z_sl,vggface,aIT
