age,roi,corr,se,ci_low,ci_high,seed_age,seed_roi
infant,LOC,-0.0027290536636725466,0.0682092185363734,,,adult,LOC
infant,FFA,0.11369250510089231,0.0731359453924528,,,adult,LOC
infant,A1,0.08311220384354776,0.06640742422063034,,,adult,LOC
infant,EVC,0.27204810199850976,0.06626605208522106,,,adult,LOC
adult,LOC,0.9447596601623103,0.00712050808732071,,,adult,LOC
adult,FFA,0.716722842434551,0.06317388975606963,,,adult,LOC
adult,A1,0.5517561154627846,0.024402700933471907,,,adult,LOC
adult,EVC,0.8576707568719668,0.010507919213244695,,,adult,LOC
infant,LOC,0.03347304752126871,0.044815368786862694,,,adult,FFA
infant,FFA,0.11713912471024276,0.06351007846380707,,,adult,FFA
infant,A1,-0.10896613533319635,0.05574112427966976,,,adult,FFA
infant,EVC,0.2985620096421992,0.02752778379011108,,,adult,FFA
adult,LOC,0.7557393364019571,0.02467706919996837,,,adult,FFA
adult,FFA,0.9333643777195479,0.006150632502597326,,,adult,FFA
adult,A1,0.6008901086162918,0.025000113952627297,,,adult,FFA
adult,EVC,0.6772325092586715,0.030605577775155383,,,adult,FFA
infant,LOC,0.1438362458278865,0.055803309571225264,,,adult,A1
infant,FFA,0.23728437248312076,0.04931835282506545,,,adult,A1
infant,A1,0.27401147793355496,0.06060644724024504,,,adult,A1
infant,EVC,0.20171842038055604,0.06375836137708826,,,adult,A1
adult,LOC,0.5663531329624507,0.0784381901076728,,,adult,A1
adult,FFA,0.6146970486192267,0.03734927132854099,,,adult,A1
adult,A1,0.9116095966361775,0.013244658009476329,,,adult,A1
adult,EVC,0.27373690919522625,0.03556049329321165,,,adult,A1
infant,LOC,0.013650442146195218,0.03712722473867718,,,adult,EVC
infant,FFA,-0.023095788974879183,0.0707469621425689,,,adult,EVC
infant,A1,0.044131573963112555,0.06558269015555598,,,adult,EVC
infant,EVC,0.18540150748212342,0.04106559797278753,,,adult,EVC
adult,LOC,0.436833156902286,0.04954604647085042,,,adult,EVC
adult,FFA,0.16873945973926785,0.04922285956350776,,,adult,EVC
adult,A1,0.3035586557142863,0.04956768552226338,,,adult,EVC
adult,EVC,0.9602694308395205,0.00635411499874004,,,adult,EVC
