age,roi,corr,seed_age,seed_roi,se
infant,LOC,0.030466145016969017,adult,LOC,0.03788309953930637
infant,FFA,0.12538749315202224,adult,LOC,0.03126330547308677
infant,A1,-0.15817019309763908,adult,LOC,0.03201078228951742
infant,EVC,0.2741552196627775,adult,LOC,0.026878152775021237
infant,lLOC,0.121644717376489,adult,LOC,0.03992987501120359
infant,lFFA,0.019871425866029652,adult,LOC,0.03807652257564948
infant,lA1,-0.05423651827141107,adult,LOC,0.04115296771914569
infant,lEVC,0.31159974202565827,adult,LOC,0.02888183967633079
infant,rLOC,-0.018513732509809627,adult,LOC,0.03382658044411589
infant,rFFA,0.1574571710801509,adult,LOC,0.024149396455942933
infant,rA1,-0.045456067707277496,adult,LOC,0.04056732385494421
infant,rEVC,0.29975832002204805,adult,LOC,0.03523527553477615
adult,LOC,0.9124520150513924,adult,LOC,0.012073513020425872
adult,FFA,0.6532194056828171,adult,LOC,0.02617518969587895
adult,A1,0.20869076835716394,adult,LOC,0.025409448671283155
adult,EVC,0.8662113597620891,adult,LOC,0.010676246559794702
adult,lLOC,0.9297026898939305,adult,LOC,0.006927363870697896
adult,lFFA,0.6088571458373939,adult,LOC,0.03606573438380432
adult,lA1,0.16668566379867525,adult,LOC,0.030527740252096276
adult,lEVC,0.8571802964596167,adult,LOC,0.011142563377420308
adult,rLOC,0.900269267364683,adult,LOC,0.013556575984158525
adult,rFFA,0.6101882123574827,adult,LOC,0.023291256071007953
adult,rA1,0.22444605493690434,adult,LOC,0.022899702378806886
adult,rEVC,0.8224453727578407,adult,LOC,0.01025595039742549
infant,LOC,0.04953697920917027,adult,FFA,0.04533669757327133
infant,FFA,0.16091558876394085,adult,FFA,0.0497047667724481
infant,A1,-0.04426287386922155,adult,FFA,0.037983800384349835
infant,EVC,0.011166834866284215,adult,FFA,0.06281845824624832
infant,lLOC,-0.027063037548194512,adult,FFA,0.048198173192468045
infant,lFFA,0.1251050631613008,adult,FFA,0.05499723531009705
infant,lA1,0.015194860730497379,adult,FFA,0.0382907378300828
infant,lEVC,-0.0319549908504276,adult,FFA,0.04690538583551349
infant,rLOC,0.060409937134563566,adult,FFA,0.04769849418993877
infant,rFFA,0.02832293929748368,adult,FFA,0.04321080177717289
infant,rA1,-0.03894315738346767,adult,FFA,0.03491477494896268
infant,rEVC,0.02984679374628204,adult,FFA,0.05529835239732568
adult,LOC,0.616230337441529,adult,FFA,0.0264297491090455
adult,FFA,0.8177196336524624,adult,FFA,0.014184120818499622
adult,A1,0.34744036686851476,adult,FFA,0.03329269477339767
adult,EVC,0.2838437825251213,adult,FFA,0.022724424800945053
