age,roi,corr,se,noise_ceiling,architecture,train_type,layer
5,LOC,0.3905423231550841,0.015802719021488946,0.37125130250259947,cornet_z_sl,imagenet_noface,V1
5,FFA,0.20854387591207443,0.02137986946168816,0.25043013738411746,cornet_z_sl,imagenet_noface,V1
5,A1,0.5536507350536853,0.009923743279652482,0.5458006549029614,cornet_z_sl,imagenet_noface,V1
5,EVC,0.0832013746268421,0.021780933618406783,0.15395250442032904,cornet_z_sl,imagenet_noface,V1
6,LOC,0.33528123272130284,0.014935865924194266,0.3928196120988699,cornet_z_sl,imagenet_noface,V1
6,FFA,0.20927706052406253,0.01171066193723181,0.29511162175532724,cornet_z_sl,imagenet_noface,V1
6,A1,0.5988261100786062,0.006141501165441109,0.6556705018824783,cornet_z_sl,imagenet_noface,V1
6,EVC,0.2985321840475693,0.015951433071086728,0.3451928602276321,cornet_z_sl,imagenet_noface,V1
7,LOC,0.425010032099295,0.009053453380201859,0.4772616556684647,cornet_z_sl,imagenet_noface,V1
7,FFA,0.4829416737146023,0.007069035460547583,0.5408556392318296,cornet_z_sl,imagenet_noface,V1
7,A1,0.6908831750974637,0.0067257117433196,0.7142044585634225,cornet_z_sl,imagenet_noface,V1
7,EVC,0.3962321603107584,0.009993864704263425,0.41592833014309283,cornet_z_sl,imagenet_noface,V1
18,LOC,0.6393002652348936,0.005904080927519007,0.7230729818122503,cornet_z_sl,imagenet_noface,V1
18,FFA,0.6579186116199021,0.005531792212925736,0.7369750660310201,cornet_z_sl,imagenet_noface,V1
18,A1,0.7474665181018607,0.004531757568656659,0.8302833551137327,cornet_z_sl,imagenet_noface,V1
18,EVC,0.5517543495555028,0.009316338030969198,0.5954196873627529,cornet_z_sl,imagenet_noface,V1
5,LOC,0.3582339041648575,0.016352547629922002,0.3759946020885698,cornet_z_sl,imagenet_noface,V2
5,FFA,0.2365131468281813,0.02009622683642482,0.2538858467523872,cornet_z_sl,imagenet_noface,V2
5,A1,0.5630228204124458,0.012519615212710146,0.5478557846555706,cornet_z_sl,imagenet_noface,V2
5,EVC,0.08434901085730773,0.013070694149617963,0.13424923336054867,cornet_z_sl,imagenet_noface,V2
6,LOC,0.29169918063965755,0.01276474907269566,0.3624448262042444,cornet_z_sl,imagenet_noface,V2
6,FFA,0.23672775645632452,0.018051672185484383,0.2882751357431629,cornet_z_sl,imagenet_noface,V2
6,A1,0.6349940469315392,0.009834031777002535,0.6502497801299592,cornet_z_sl,imagenet_noface,V2
6,EVC,0.3335968168366954,0.012517008445872356,0.3462176944730816,cornet_z_sl,imagenet_noface,V2
7,LOC,0.4450618819619804,0.011232142489869491,0.4797854325718668,cornet_z_sl,imagenet_noface,V2
7,FFA,0.48002808614252473,0.008635592236338654,0.5405003158954732,cornet_z_sl,imagenet_noface,V2
7,A1,0.6699740910159607,0.010415847473002558,0.6795689346039662,cornet_z_sl,imagenet_noface,V2
7,EVC,0.42266188541681704,0.014504787542528746,0.42269151694166907,cornet_z_sl,imagenet_noface,V2
18,LOC,0.6831276270546114,0.006098457648774503,0.7333139970695811,cornet_z_sl,imagenet_noface,V2
18,FFA,0.6660822580739495,0.00521252761884334,0.732887091806894,cornet_z_sl,imagenet_noface,V2
18,A1,0.7370263051731732,0.00477067086923852,0.8296869683556736,cornet_z_sl,imagenet_noface,V2
18,EVC,0.5853168391834743,0.006099501621945376,0.6040419425964726,cornet_z_sl,imagenet_noface,V2
5,LOC,0.35706323735916234,0.015439722161356544,0.38146196263495286,cornet_z_sl,imagenet_noface,V4
5,FFA,0.2697721382479734,0.012392919904967329,0.26977086441643516,cornet_z_sl,imagenet_noface,V4
5,A1,0.5641285747038272,0.007261771425926553,0.5421025765319168,cornet_z_sl,imagenet_noface,V4
5,EVC,0.19895505217762793,0.019014791906811143,0.1931210971250271,cornet_z_sl,imagenet_noface,V4
