age,roi,corr,se,noise_ceiling,architecture,train_type,layer
adult,LOC,0.753828961797858,0.010065397641939923,0.8412601585024229,cornet_z_sl,imagenet_noface,V1
adult,FFA,0.7105630574918274,0.009597831304285608,0.7785079891760358,cornet_z_sl,imagenet_noface,V1
adult,A1,0.6562198715964104,0.01348212749990247,0.6847275198996139,cornet_z_sl,imagenet_noface,V1
adult,EVC,0.8148080023718951,0.005651639969849832,0.8831454332123275,cornet_z_sl,imagenet_noface,V1
infant,LOC,0.3560544228001515,0.024120588686336118,0.383410374805186,cornet_z_sl,imagenet_noface,V1
infant,FFA,0.414163862058239,0.026272555707928285,0.3134155513348324,cornet_z_sl,imagenet_noface,V1
infant,A1,0.08225669411623,0.02134946755552348,0.10223577941285267,cornet_z_sl,imagenet_noface,V1
infant,EVC,0.6078182131334408,0.012503407993509505,0.5963637584057274,cornet_z_sl,imagenet_noface,V1
adult,LOC,0.7850897168280049,0.0108785308183889,0.8374515336533582,cornet_z_sl,imagenet_noface,V2
adult,FFA,0.6998881617610263,0.008363124413242452,0.7722154833020285,cornet_z_sl,imagenet_noface,V2
adult,A1,0.6404127897973735,0.012067776381206803,0.7200990087571618,cornet_z_sl,imagenet_noface,V2
adult,EVC,0.814348514135227,0.007263440270846897,0.8877725833003629,cornet_z_sl,imagenet_noface,V2
infant,LOC,0.42023392807292026,0.019798080758806937,0.403895213986427,cornet_z_sl,imagenet_noface,V2
infant,FFA,0.4550150433921022,0.018363398977506874,0.31152421426347243,cornet_z_sl,imagenet_noface,V2
infant,A1,0.09071085047119054,0.02237853040498236,0.10945868145264341,cornet_z_sl,imagenet_noface,V2
infant,EVC,0.6490086829302684,0.015037544064333639,0.5871431124092246,cornet_z_sl,imagenet_noface,V2
adult,LOC,0.7799892345111038,0.008315569049882806,0.8229718164697373,cornet_z_sl,imagenet_noface,V4
adult,FFA,0.7066523347156308,0.008431630449949656,0.7698458240752747,cornet_z_sl,imagenet_noface,V4
adult,A1,0.6003164343576864,0.014652082622247785,0.7147759438704039,cornet_z_sl,imagenet_noface,V4
adult,EVC,0.8165372486649961,0.005253960728933313,0.8945554837307096,cornet_z_sl,imagenet_noface,V4
infant,LOC,0.43580098776580306,0.015627143906556448,0.3977653024921422,cornet_z_sl,imagenet_noface,V4
infant,FFA,0.3923101817973652,0.02009888525762961,0.29475070823204397,cornet_z_sl,imagenet_noface,V4
infant,A1,0.0661102548181299,0.02176012781432227,0.101205997339944,cornet_z_sl,imagenet_noface,V4
infant,EVC,0.637493341702306,0.014417122357783854,0.5963964489004242,cornet_z_sl,imagenet_noface,V4
adult,LOC,0.7672523744232511,0.008481741666108713,0.8179726048410527,cornet_z_sl,imagenet_noface,pIT
adult,FFA,0.6765879858931367,0.01052765315677913,0.7716786239854335,cornet_z_sl,imagenet_noface,pIT
adult,A1,0.5305869452776452,0.010775728674155606,0.7069068199623724,cornet_z_sl,imagenet_noface,pIT
adult,EVC,0.8372572351773936,0.005793878733424346,0.8860663149976539,cornet_z_sl,imagenet_noface,pIT
infant,LOC,0.41865128350216346,0.020337739890972772,0.37963244775796945,cornet_z_sl,imagenet_noface,pIT
infant,FFA,0.33254524641468863,0.02112684038835797,0.28484304723860954,cornet_z_sl,imagenet_noface,pIT
infant,A1,0.14741756880831344,0.016824565272572495,0.13589678935695068,cornet_z_sl,imagenet_noface,pIT
infant,EVC,0.6345557780543105,0.015963181460531026,0.5910003734576601,cornet_z_sl,imagenet_noface,pIT
adult,LOC,0.7684666946899861,0.006666187991330344,0.8120030120820179,cornet_z_sl,imagenet_noface,aIT
adult,FFA,0.6826621540571349,0.007381074959145143,0.7776117800416583,cornet_z_sl,imagenet_noface,aIT
adult,A1,0.5388428697379745,0.012290146208405678,0.7298474626957497,cornet_z_sl,imagenet_noface,aIT
adult,EVC,0.85134297874059,0.0055870533809096795,0.8980018455463119,cornet_z_sl,imagenet_noface,aIT
infant,LOC,0.3743945214261504,0.026775512652112806,0.3742756880682307,cornet_z_sl,imagenet_noface,aIT
infant,FFA,0.37166190176407204,0.028131077004508065,0.31905010694226527,cornet_z_sl,imagenet_noface,aIT
infant,A1,0.11974211531782744,0.01644227904650616,0.10132830620825453,cornet_z_sl,imagenet_noface,aIT
infant,EVC,0.6124532992531776,0.010693660929662164,0.5735477996177484,cornet_z_sl,imagenet_noface,aIT
adult,LOC,0.7398094388576011,0.007097327513321749,0.8288836628970475,cornet_z_sl,imagenet_noface,decoder
adult,FFA,0.6535985794068505,0.007645721986787047,0.7466500300107197,cornet_z_sl,imagenet_noface,decoder
adult,A1,0.47393453207464137,0.013281587763191827,0.7089138854691376,cornet_z_sl,imagenet_noface,decoder
adult,EVC,0.7976313748188651,0.0044837717265315,0.8930353450825272,cornet_z_sl,imagenet_noface,decoder
infant,LOC,0.36874040491070115,0.02170017172742819,0.35537880902791963,cornet_z_sl,imagenet_noface,decoder
infant,FFA,0.36785536824180926,0.017653475027733737,0.31129625615363465,cornet_z_sl,imagenet_noface,decoder
infant,A1,0.03968211176367812,0.022969276360679986,0.08836416964496,cornet_z_sl,imagenet_noface,decoder
infant,EVC,0.5956058941501965,0.01336629169710767,0.5796149340783572,cornet_z_sl,imagenet_noface,decoder
