age,roi,corr,seed_age,seed_roi,se
infant,LOC,0.6271054796845228,adult,LOC,0.012074412876450785
infant,FFA,0.5368392989056601,adult,LOC,0.014715982052602041
infant,A1,0.6749544053725454,adult,LOC,0.006421160429881177
infant,EVC,0.5169846018422425,adult,LOC,0.01626644725000099
infant,lLOC,0.6421314832059224,adult,LOC,0.013272685153592137
infant,lFFA,0.387406348768701,adult,LOC,0.014796491726001025
infant,lA1,0.6714271301165667,adult,LOC,0.0052110974701826945
infant,lEVC,0.37977459670729474,adult,LOC,0.0251081130675825
infant,rLOC,0.5414218129462491,adult,LOC,0.015647788164040007
infant,rFFA,0.3859819774112459,adult,LOC,0.01915367268529641
infant,rA1,0.6089803816167405,adult,LOC,0.00905714668895702
infant,rEVC,0.526981870211919,adult,LOC,0.013930595594260381
adult,LOC,0.8591951049010961,adult,LOC,0.005677552209326524
adult,FFA,0.8013152947182508,adult,LOC,0.0055077169650802485
adult,A1,0.5964724397707881,adult,LOC,0.011140643516992713
adult,EVC,0.8283043680022872,adult,LOC,0.0051579129372690165
adult,lLOC,0.866990605905805,adult,LOC,0.006096692663480327
adult,lFFA,0.8158223367195578,adult,LOC,0.006086077217007677
adult,lA1,0.6442607594670883,adult,LOC,0.008639416465483645
adult,lEVC,0.8316586400336415,adult,LOC,0.004047424468339715
adult,rLOC,0.8297278803225536,adult,LOC,0.006193715730363017
adult,rFFA,0.7747345703308361,adult,LOC,0.005739249900709606
adult,rA1,0.5448695438553033,adult,LOC,0.012217296901668747
adult,rEVC,0.8036800974994446,adult,LOC,0.004823102791221111
infant,LOC,0.690411196487389,adult,FFA,0.014955740176718526
infant,FFA,0.5932354152119299,adult,FFA,0.016936234408892397
infant,A1,0.7675799078225747,adult,FFA,0.0064894136727766125
infant,EVC,0.6174714229781085,adult,FFA,0.011513649023373932
infant,lLOC,0.6395416820740895,adult,FFA,0.013094867098838
infant,lFFA,0.525905977935681,adult,FFA,0.012769512245253066
infant,lA1,0.7868166606625752,adult,FFA,0.005076386980140901
infant,lEVC,0.45387293729519895,adult,FFA,0.014078029453713066
infant,rLOC,0.6048341474343754,adult,FFA,0.016498087839121267
