age,roi,corr,se,architecture,train_type,layer
infant,LOC,0.2001665569615559,0.04954795565848059,cornet_z_sl,vggface,decoder
infant,FFA,0.3141888392316364,0.04566242649472655,cornet_z_sl,vggface,decoder
infant,A1,0.08005813474880592,0.03580466488545924,cornet_z_sl,vggface,decoder
infant,EVC,0.15959530644087774,0.04216765216308793,cornet_z_sl,vggface,decoder
adult,LOC,0.30895988533412583,0.043832658452314655,cornet_z_sl,vggface,decoder
adult,FFA,0.18558306825091875,0.053542169642059184,cornet_z_sl,vggface,decoder
adult,A1,0.1738427259958327,0.04445077834187059,cornet_z_sl,vggface,decoder
adult,EVC,0.3250152580290476,0.021648869242623034,cornet_z_sl,vggface,decoder
infant,LOC,-0.07547543700026012,0.04578768297897447,cornet_z_sl,random,V1
infant,FFA,-0.044095633088338804,0.041609701265887825,cornet_z_sl,random,V1
infant,A1,-0.03653419253964648,0.03650217730779321,cornet_z_sl,random,V1
infant,EVC,0.015251805387730655,0.038479773084109666,cornet_z_sl,random,V1
adult,LOC,0.37497591363651095,0.03729959217295913,cornet_z_sl,random,V1
adult,FFA,0.3662512911347188,0.03775083946639797,cornet_z_sl,random,V1
adult,A1,-0.007509977972997114,0.041920728682062994,cornet_z_sl,random,V1
adult,EVC,0.45413945498029556,0.02856714951393791,cornet_z_sl,random,V1
infant,LOC,-0.03157515305078225,0.03562205950150919,cornet_z_sl,random,V2
infant,FFA,0.034264337175347506,0.03654090005961077,cornet_z_sl,random,V2
infant,A1,-0.11140889702258183,0.037121145980981825,cornet_z_sl,random,V2
infant,EVC,-0.005622735787740629,0.02988976940922026,cornet_z_sl,random,V2
adult,LOC,0.04304237271067354,0.04132779339972597,cornet_z_sl,random,V2
adult,FFA,0.37170449006245215,0.04694098654303273,cornet_z_sl,random,V2
adult,A1,0.12808117259477533,0.027409707862012442,cornet_z_sl,random,V2
adult,EVC,0.3674418928347098,0.043128410578947125,cornet_z_sl,random,V2
infant,LOC,-0.09688314318417486,0.045162715252494386,cornet_z_sl,random,V4
infant,FFA,-0.07729686661409403,0.03509309971269053,cornet_z_sl,random,V4
infant,A1,-0.023380845646236877,0.0345511724067756,cornet_z_sl,random,V4
infant,EVC,-0.1372889215598193,0.03120237799614677,cornet_z_sl,random,V4
adult,LOC,0.39048349338563765,0.0325165708221548,cornet_z_sl,random,V4
adult,FFA,0.363056574661415,0.04807813427125643,cornet_z_sl,random,V4
adult,A1,0.097014278336595,0.03575663312833489,cornet_z_sl,random,V4
adult,EVC,0.319759734777264,0.0434102588988745,cornet_z_sl,random,V4
infant,LOC,-0.08606569079076158,0.03382100238897156,cornet_z_sl,random,pIT
infant,FFA,0.09627392603444257,0.04320448416591846,cornet_z_sl,random,pIT
infant,A1,-0.1170650420863143,0.034980142755713546,cornet_z_sl,random,pIT
infant,EVC,-0.007606641366983284,0.034258647567609456,cornet_z_sl,random,pIT
adult,LOC,0.3112250579099971,0.03383989533763593,cornet_z_sl,random,pIT
adult,FFA,0.49369697478349667,0.03861761075881024,cornet_z_sl,random,pIT
adult,A1,0.10656705818915747,0.03632757291071716,cornet_z_sl,random,pIT
adult,EVC,0.3816911138577484,0.04503357718889156,cornet_z_sl,random,pIT
infant,LOC,0.03259573541507494,0.03865081050434478,cornet_z_sl,random,aIT
infant,FFA,0.13713632226269953,0.04654546598438289,cornet_z_sl,random,aIT
infant,A1,-0.09150932083571044,0.030667227646061744,cornet_z_sl,random,aIT
infant,EVC,-0.003745924520933279,0.03587973400844375,cornet_z_sl,random,aIT
adult,LOC,0.3327545477867768,0.027220606755546887,cornet_z_sl,random,aIT
adult,FFA,0.35933814684503124,0.031198925216109962,cornet_z_sl,random,aIT
adult,A1,0.07571906201229589,0.03783457291676824,cornet_z_sl,random,aIT
adult,EVC,0.3061490913517213,0.031881294140567756,cornet_z_sl,random,aIT
infant,LOC,-0.025771840677860546,0.039332087402038605,cornet_z_sl,random,decoder
infant,FFA,-0.026032573176616697,0.04811719861745795,cornet_z_sl,random,decoder
infant,A1,-0.08743085433590436,0.03859308690976034,cornet_z_sl,random,decoder
infant,EVC,-0.04443519373052939,0.035750925118853846,cornet_z_sl,random,decoder
adult,LOC,0.5380708381512842,0.03943001448454353,cornet_z_sl,random,decoder
adult,FFA,0.46208281274662094,0.045529698016446525,cornet_z_sl,random,decoder
adult,A1,0.169113705365169,0.032517284113160475,cornet_z_sl,random,decoder
adult,EVC,0.3427492959405105,0.03644612211396009,cornet_z_sl,random,decoder
