"stim1";"stim2";"acc";"resp_time";"standardrt"
"AU07_31.jpg";"AU10_16.jpg";1;7,32005;0,58972228813886
"AU07_31.jpg";"AU10_27.jpg";1;2,17133333333333;-0,12984331940405
"AU07_31.jpg";"AU13_02.jpg";1;1,463;-0,940600572339419
"AU07_31.jpg";"AU13_25.jpg";1;2,74785;-0,00268615709295372
"AU07_31.jpg";"AU16_30.jpg";1;1,699;-0,702141301663618
"AU07_31.jpg";"AU17_16.jpg";1;2,56058;-0,154861071217041
"AU07_31.jpg";"AU22_11.jpg";1;3,46036666666667;0,65430480134805
"AU07_31.jpg";"AU22_18.jpg";1;2,41592;-0,257422398178933
"AU07_31.jpg";"AU25_16.jpg";1;1,747;-0,653641111017693
"AU07_31.jpg";"AU25_25.jpg";1;2,7701;0,258695554760691
"AU07_31.jpg";"AU26_07.jpg";1;2,745;0,354758686162177
"AU07_31.jpg";"AU28_08.jpg";1;2,31126666666667;-0,325883014434657
"AU07_31.jpg";"AU37_11.jpg";1;1,89716;-0,492395782434522
"AU07_31.jpg";"AU40_46.jpg";1;2,00896666666667;-0,257088774935983
"AU10_16.jpg";"AU10_27.jpg";1;2,048;-0,349504498842201
"AU10_16.jpg";"AU13_02.jpg";0,666666666666667;3,41773333333333;-0,260502257712661
"AU10_16.jpg";"AU13_25.jpg";1;3,533;1,15097014926612
"AU10_16.jpg";"AU16_30.jpg";1;1,67673333333333;-0,548828208016675
"AU10_16.jpg";"AU17_16.jpg";1;2,063;-0,334348189265349
"AU10_16.jpg";"AU22_11.jpg";1;5,06235;0,0816983376481105
"AU10_16.jpg";"AU22_18.jpg";1;1,696;-0,705172563578989
"AU10_16.jpg";"AU25_16.jpg";1;1,6626;-0,599625127626263
"AU10_16.jpg";"AU25_25.jpg";0,666666666666667;2,8486;-0,0366747051906501
"AU10_16.jpg";"AU26_07.jpg";1;2,279;-0,116097331358684
"AU10_16.jpg";"AU28_08.jpg";1;3,32932;0,573847657379282
"AU10_16.jpg";"AU37_11.jpg";1;2,6;0,208247693585943
"AU10_16.jpg";"AU40_46.jpg";1;2,17186666666667;-0,246088768224869
"AU10_27.jpg";"AU13_02.jpg";1;5,98845;1,05969923027407
"AU10_27.jpg";"AU13_25.jpg";1;2,5099;-0,466765335694893
"AU10_27.jpg";"AU16_30.jpg";1;2,29745;-0,729014174082017
"AU10_27.jpg";"AU17_16.jpg";1;2,3542;-0,153445280558101
"AU10_27.jpg";"AU22_11.jpg";1;1,8327;-0,463910094408024
"AU10_27.jpg";"AU22_18.jpg";1;3,05045;-0,0435171273415658
"AU10_27.jpg";"AU25_16.jpg";1;2,208;-0,187837196689116
"AU10_27.jpg";"AU25_25.jpg";1;2,7774;0,0333850331195595
"AU10_27.jpg";"AU26_07.jpg";1;4,307;1,93303572343167
"AU10_27.jpg";"AU28_08.jpg";1;2,13305;-0,633757994366174
"AU10_27.jpg";"AU37_11.jpg";1;3,798;1,41873161845717
"AU10_27.jpg";"AU40_46.jpg";1;2,80215;-0,627470365742618
"AU13_02.jpg";"AU13_25.jpg";1;2,54266;-0,0433140937684013
"AU13_02.jpg";"AU16_30.jpg";1;2,468;0,0748721693096477
"AU13_02.jpg";"AU17_16.jpg";1;2,06862;-0,0565527953806497
"AU13_02.jpg";"AU22_11.jpg";1;2,85925;-0,492296106560061
"AU13_02.jpg";"AU22_18.jpg";1;1,74296666666667;-0,497050198265023
"AU13_02.jpg";"AU25_16.jpg";0,5;3,74765;-0,19485635152674
"AU13_02.jpg";"AU25_25.jpg";0,666666666666667;3,04296666666667;0,05154358187032
"AU13_02.jpg";"AU26_07.jpg";0,8;2,37042;0,0531992517612184
"AU13_02.jpg";"AU28_08.jpg";1;2,264;-0,266326234894027
"AU13_02.jpg";"AU37_11.jpg";1;2,51068;0,0546315966411477
"AU13_02.jpg";"AU40_46.jpg";1;1,76772;-0,642926287734499
"AU13_25.jpg";"AU16_30.jpg";1;7,16395;0,77204674238968
"AU13_25.jpg";"AU17_16.jpg";1;2,59466666666667;-0,176384602194736
"AU13_25.jpg";"AU22_11.jpg";0,8;1,61398;-0,667899238182803
"AU13_25.jpg";"AU22_18.jpg";0,6;2,55346;0,112383320509744
"AU13_25.jpg";"AU25_16.jpg";1;4,75274;0,0111567200911307
"AU13_25.jpg";"AU25_25.jpg";1;1,719;-0,681932888894483
"AU13_25.jpg";"AU26_07.jpg";0,8;2,39716;0,292703265322704
"AU13_25.jpg";"AU28_08.jpg";1;1,835;-0,564724094833496
"AU13_25.jpg";"AU37_11.jpg";1;1,96913333333333;-0,390123915166659
"AU13_25.jpg";"AU40_46.jpg";1;2,42055;-0,564472703086002
"AU16_30.jpg";"AU17_16.jpg";1;1,54404;-0,785338922956245
"AU16_30.jpg";"AU22_11.jpg";0,8;2,15634;-0,430876086522129
"AU16_30.jpg";"AU22_18.jpg";0,666666666666667;5,6355;-0,371981782336371
