stim1,stim2
AU22_11.jpg,AU07_31.jpg
AU40_46.jpg,AU28_08.jpg
AU13_25.jpg,AU37_11.jpg
AU28_08.jpg,AU26_07.jpg
AU13_02.jpg,AU22_18.jpg
AU25_25.jpg,AU07_31.jpg
AU40_46.jpg,AU10_16.jpg
AU25_25.jpg,AU10_16.jpg
AU16_30.jpg,AU22_18.jpg
AU25_16.jpg,AU10_16.jpg
AU25_16.jpg,AU22_18.jpg
AU13_02.jpg,AU25_25.jpg
AU25_25.jpg,AU10_27.jpg
AU13_02.jpg,AU10_16.jpg
AU07_31.jpg,AU10_27.jpg
AU25_16.jpg,AU37_11.jpg
AU25_25.jpg,AU26_07.jpg
AU22_11.jpg,AU10_27.jpg
AU10_27.jpg,AU17_16.jpg
AU07_31.jpg,AU07_31.jpg
AU28_08.jpg,AU07_31.jpg
AU22_11.jpg,AU28_08.jpg
AU25_16.jpg,AU25_16.jpg
AU40_46.jpg,AU40_46.jpg
AU28_08.jpg,AU13_02.jpg
AU40_46.jpg,AU25_16.jpg
AU40_46.jpg,AU07_31.jpg
AU28_08.jpg,AU16_30.jpg
AU10_16.jpg,AU16_30.jpg
AU13_25.jpg,AU17_16.jpg
