model_type,train_type,epoch,im1,im2,similarity
classify,imagenet_objects,20,r01_15.jpg,r02_06.jpg,0.71574277
classify,imagenet_objects,20,r01_15.jpg,r03_01.jpg,0.7515466
classify,imagenet_objects,20,r01_15.jpg,r04_28.jpg,0.7048055
classify,imagenet_objects,20,r01_15.jpg,r07_01.jpg,0.72964966
classify,imagenet_objects,20,r01_15.jpg,r10_01.jpg,0.70377487
classify,imagenet_objects,20,r01_15.jpg,r12_20.jpg,0.7385578
classify,imagenet_objects,20,r01_15.jpg,r14_07.jpg,0.69086665
classify,imagenet_objects,20,r01_15.jpg,r15_01.jpg,0.75548416
classify,imagenet_objects,20,r01_15.jpg,r16_01.jpg,0.7314025
classify,imagenet_objects,20,r01_15.jpg,r18_14.jpg,0.7651698
classify,imagenet_objects,20,r01_15.jpg,r21_02.jpg,0.7074616
classify,imagenet_objects,20,r01_15.jpg,r27_07.jpg,0.7457889
classify,imagenet_objects,20,r01_15.jpg,r30_11.jpg,0.7844209
classify,imagenet_objects,20,r01_15.jpg,r31_01.jpg,0.74525374
classify,imagenet_objects,20,r01_15.jpg,r33_17.jpg,0.70449907
classify,imagenet_objects,20,r01_15.jpg,r34_02.jpg,0.76293665
classify,imagenet_objects,20,r02_06.jpg,r03_01.jpg,0.7984952
classify,imagenet_objects,20,r02_06.jpg,r04_28.jpg,0.6670495
classify,imagenet_objects,20,r02_06.jpg,r07_01.jpg,0.72879404
classify,imagenet_objects,20,r02_06.jpg,r10_01.jpg,0.6749764
classify,imagenet_objects,20,r02_06.jpg,r12_20.jpg,0.80654114
classify,imagenet_objects,20,r02_06.jpg,r14_07.jpg,0.7516139
classify,imagenet_objects,20,r02_06.jpg,r15_01.jpg,0.7683023
classify,imagenet_objects,20,r02_06.jpg,r16_01.jpg,0.78618246
classify,imagenet_objects,20,r02_06.jpg,r18_14.jpg,0.7324056
classify,imagenet_objects,20,r02_06.jpg,r21_02.jpg,0.6532442
classify,imagenet_objects,20,r02_06.jpg,r27_07.jpg,0.7688081
classify,imagenet_objects,20,r02_06.jpg,r30_11.jpg,0.72696555
classify,imagenet_objects,20,r02_06.jpg,r31_01.jpg,0.7478173
classify,imagenet_objects,20,r02_06.jpg,r33_17.jpg,0.6873745
classify,imagenet_objects,20,r02_06.jpg,r34_02.jpg,0.76504105
classify,imagenet_objects,20,r03_01.jpg,r04_28.jpg,0.6835188
classify,imagenet_objects,20,r03_01.jpg,r07_01.jpg,0.74695927
classify,imagenet_objects,20,r03_01.jpg,r10_01.jpg,0.72310436
classify,imagenet_objects,20,r03_01.jpg,r12_20.jpg,0.84234
classify,imagenet_objects,20,r03_01.jpg,r14_07.jpg,0.7765329
classify,imagenet_objects,20,r03_01.jpg,r15_01.jpg,0.8255882
classify,imagenet_objects,20,r03_01.jpg,r16_01.jpg,0.84791964
classify,imagenet_objects,20,r03_01.jpg,r18_14.jpg,0.80362034
classify,imagenet_objects,20,r03_01.jpg,r21_02.jpg,0.6934212
classify,imagenet_objects,20,r03_01.jpg,r27_07.jpg,0.79707927
classify,imagenet_objects,20,r03_01.jpg,r30_11.jpg,0.8137277
classify,imagenet_objects,20,r03_01.jpg,r31_01.jpg,0.7591729
classify,imagenet_objects,20,r03_01.jpg,r33_17.jpg,0.74929345
classify,imagenet_objects,20,r03_01.jpg,r34_02.jpg,0.81351423
classify,imagenet_objects,20,r04_28.jpg,r07_01.jpg,0.74211717
classify,imagenet_objects,20,r04_28.jpg,r10_01.jpg,0.7151004
classify,imagenet_objects,20,r04_28.jpg,r12_20.jpg,0.6884599
classify,imagenet_objects,20,r04_28.jpg,r14_07.jpg,0.6628934
classify,imagenet_objects,20,r04_28.jpg,r15_01.jpg,0.7162467
classify,imagenet_objects,20,r04_28.jpg,r16_01.jpg,0.6808108
classify,imagenet_objects,20,r04_28.jpg,r18_14.jpg,0.7419845
classify,imagenet_objects,20,r04_28.jpg,r21_02.jpg,0.7452681
classify,imagenet_objects,20,r04_28.jpg,r27_07.jpg,0.6879824
classify,imagenet_objects,20,r04_28.jpg,r30_11.jpg,0.7047852
classify,imagenet_objects,20,r04_28.jpg,r31_01.jpg,0.71680105
classify,imagenet_objects,20,r04_28.jpg,r33_17.jpg,0.6977146
classify,imagenet_objects,20,r04_28.jpg,r34_02.jpg,0.714899
classify,imagenet_objects,20,r07_01.jpg,r10_01.jpg,0.7916339
classify,imagenet_objects,20,r07_01.jpg,r12_20.jpg,0.75781196
classify,imagenet_objects,20,r07_01.jpg,r14_07.jpg,0.6947313
classify,imagenet_objects,20,r07_01.jpg,r15_01.jpg,0.7915844
classify,imagenet_objects,20,r07_01.jpg,r16_01.jpg,0.7778045
classify,imagenet_objects,20,r07_01.jpg,r18_14.jpg,0.8298481
classify,imagenet_objects,20,r07_01.jpg,r21_02.jpg,0.80188006
classify,imagenet_objects,20,r07_01.jpg,r27_07.jpg,0.7490933
classify,imagenet_objects,20,r07_01.jpg,r30_11.jpg,0.78895324
classify,imagenet_objects,20,r07_01.jpg,r31_01.jpg,0.73710644
classify,imagenet_objects,20,r07_01.jpg,r33_17.jpg,0.7764852
classify,imagenet_objects,20,r07_01.jpg,r34_02.jpg,0.8050279
classify,imagenet_objects,20,r10_01.jpg,r12_20.jpg,0.70869535
classify,imagenet_objects,20,r10_01.jpg,r14_07.jpg,0.65317816
classify,imagenet_objects,20,r10_01.jpg,r15_01.jpg,0.777343
classify,imagenet_objects,20,r10_01.jpg,r16_01.jpg,0.7190118
classify,imagenet_objects,20,r10_01.jpg,r18_14.jpg,0.79661304
classify,imagenet_objects,20,r10_01.jpg,r21_02.jpg,0.8268063
classify,imagenet_objects,20,r10_01.jpg,r27_07.jpg,0.7254594
classify,imagenet_objects,20,r10_01.jpg,r30_11.jpg,0.7661544
classify,imagenet_objects,20,r10_01.jpg,r31_01.jpg,0.72460806
classify,imagenet_objects,20,r10_01.jpg,r33_17.jpg,0.7944462
classify,imagenet_objects,20,r10_01.jpg,r34_02.jpg,0.7916371
classify,imagenet_objects,20,r12_20.jpg,r14_07.jpg,0.84718007
classify,imagenet_objects,20,r12_20.jpg,r15_01.jpg,0.8077643
classify,imagenet_objects,20,r12_20.jpg,r16_01.jpg,0.8570646
classify,imagenet_objects,20,r12_20.jpg,r18_14.jpg,0.7881609
classify,imagenet_objects,20,r12_20.jpg,r21_02.jpg,0.6770874
classify,imagenet_objects,20,r12_20.jpg,r27_07.jpg,0.8048931
classify,imagenet_objects,20,r12_20.jpg,r30_11.jpg,0.8064523
classify,imagenet_objects,20,r12_20.jpg,r31_01.jpg,0.7944664
classify,imagenet_objects,20,r12_20.jpg,r33_17.jpg,0.7539201
classify,imagenet_objects,20,r12_20.jpg,r34_02.jpg,0.7981541
classify,imagenet_objects,20,r14_07.jpg,r15_01.jpg,0.74242705
classify,imagenet_objects,20,r14_07.jpg,r16_01.jpg,0.7648691
classify,imagenet_objects,20,r14_07.jpg,r18_14.jpg,0.71529436
classify,imagenet_objects,20,r14_07.jpg,r21_02.jpg,0.6337974
classify,imagenet_objects,20,r14_07.jpg,r27_07.jpg,0.7311847
classify,imagenet_objects,20,r14_07.jpg,r30_11.jpg,0.7257619
classify,imagenet_objects,20,r14_07.jpg,r31_01.jpg,0.75241715
classify,imagenet_objects,20,r14_07.jpg,r33_17.jpg,0.6883681
classify,imagenet_objects,20,r14_07.jpg,r34_02.jpg,0.7249849
classify,imagenet_objects,20,r15_01.jpg,r16_01.jpg,0.8267028
classify,imagenet_objects,20,r15_01.jpg,r18_14.jpg,0.8337281
classify,imagenet_objects,20,r15_01.jpg,r21_02.jpg,0.7670707
classify,imagenet_objects,20,r15_01.jpg,r27_07.jpg,0.82292706
classify,imagenet_objects,20,r15_01.jpg,r30_11.jpg,0.84762406
classify,imagenet_objects,20,r15_01.jpg,r31_01.jpg,0.7986593
classify,imagenet_objects,20,r15_01.jpg,r33_17.jpg,0.77848655
classify,imagenet_objects,20,r15_01.jpg,r34_02.jpg,0.82176006
classify,imagenet_objects,20,r16_01.jpg,r18_14.jpg,0.80884916
classify,imagenet_objects,20,r16_01.jpg,r21_02.jpg,0.6716002
classify,imagenet_objects,20,r16_01.jpg,r27_07.jpg,0.8230069
classify,imagenet_objects,20,r16_01.jpg,r30_11.jpg,0.81197166
classify,imagenet_objects,20,r16_01.jpg,r31_01.jpg,0.7696234
classify,imagenet_objects,20,r16_01.jpg,r33_17.jpg,0.7698644
classify,imagenet_objects,20,r16_01.jpg,r34_02.jpg,0.81720614
classify,imagenet_objects,20,r18_14.jpg,r21_02.jpg,0.77356905
classify,imagenet_objects,20,r18_14.jpg,r27_07.jpg,0.7920552
classify,imagenet_objects,20,r18_14.jpg,r30_11.jpg,0.82719904
classify,imagenet_objects,20,r18_14.jpg,r31_01.jpg,0.7754554
classify,imagenet_objects,20,r18_14.jpg,r33_17.jpg,0.8298812
classify,imagenet_objects,20,r18_14.jpg,r34_02.jpg,0.84308946
classify,imagenet_objects,20,r21_02.jpg,r27_07.jpg,0.69394046
classify,imagenet_objects,20,r21_02.jpg,r30_11.jpg,0.763425
classify,imagenet_objects,20,r21_02.jpg,r31_01.jpg,0.7129797
classify,imagenet_objects,20,r21_02.jpg,r33_17.jpg,0.76208466
classify,imagenet_objects,20,r21_02.jpg,r34_02.jpg,0.7486691
classify,imagenet_objects,20,r27_07.jpg,r30_11.jpg,0.83266664
classify,imagenet_objects,20,r27_07.jpg,r31_01.jpg,0.79729843
classify,imagenet_objects,20,r27_07.jpg,r33_17.jpg,0.7446754
classify,imagenet_objects,20,r27_07.jpg,r34_02.jpg,0.791055
classify,imagenet_objects,20,r30_11.jpg,r31_01.jpg,0.80440867
classify,imagenet_objects,20,r30_11.jpg,r33_17.jpg,0.76511204
classify,imagenet_objects,20,r30_11.jpg,r34_02.jpg,0.7972484
classify,imagenet_objects,20,r31_01.jpg,r33_17.jpg,0.7610373
classify,imagenet_objects,20,r31_01.jpg,r34_02.jpg,0.7833253
classify,imagenet_objects,20,r33_17.jpg,r34_02.jpg,0.82245207
